Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2,
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.00,0.30,81.16,170.47,0.91,476.31,4.21,328.07,307.04,33.45,162.05,365.83,0.00,304.46,102.19,30.58,827.24,417.36,4.82,0.00
15.50,0.00,0.30,87.08,180.80,0.80,490.29,6.94,328.07,315.37,32.07,151.67,395.27,0.00,357.30,130.13,34.20,823.04,429.39,4.82,0.00
45.50,0.00,0.30,73.20,171.99,0.93,490.48,3.33,328.07,300.05,32.80,141.20,381.11,0.00,330.58,116.27,35.68,707.65,422.22,4.82,0.00
75.50,33.42,0.30,68.33,171.04,1.15,480.55,2.30,353.09,303.70,32.80,171.69,384.37,0.00,297.79,108.75,41.44,691.37,438.09,4.82,0.00
105.50,33.42,0.30,63.78,170.60,0.74,536.20,4.02,353.09,291.02,33.00,140.93,385.58,0.00,319.76,118.98,32.90,721.79,423.28,4.82,0.00
135.00,43.79,0.30,70.66,191.69,0.54,482.58,3.36,373.24,343.94,35.58,177.00,360.42,0.00,343.69,122.88,32.59,689.29,399.89,4.82,0.00
165.00,46.69,0.30,72.02,186.28,0.71,576.16,65.02,471.91,478.90,34.09,160.07,398.82,0.00,316.86,134.74,35.50,786.75,438.37,3.48,0.00
195.50,25.40,0.30,99.31,195.65,0.93,688.94,55.96,595.41,1409.99,33.41,159.49,387.95,0.00,335.04,134.79,33.57,635.64,415.35,3.48,0.00
225.50,45.11,0.30,80.13,192.36,0.36,904.86,64.50,713.21,1878.08,37.54,165.31,377.74,0.00,335.88,127.20,33.45,598.03,432.05,3.85,0.00
255.50,63.48,0.30,60.95,285.32,94.55,1530.31,103.29,810.25,1979.05,39.59,169.07,364.38,0.00,351.83,121.71,30.40,596.63,428.17,3.85,0.00
285.50,74.50,0.30,75.46,1057.04,144.97,2115.40,122.40,875.56,1949.55,41.84,221.87,372.69,0.00,313.30,93.08,35.46,581.15,429.94,3.39,0.00
315.50,46.18,0.30,208.56,1067.39,131.87,2460.26,126.63,917.07,2042.94,45.35,406.80,369.48,0.00,318.76,120.85,37.54,630.94,429.82,3.39,0.00
345.50,50.84,180.97,148.62,1073.89,133.30,2666.71,121.52,959.18,2208.81,39.49,327.46,374.61,0.00,305.74,106.35,37.54,592.84,412.63,3.39,0.00
375.50,43.49,800.97,227.20,1096.73,138.87,2799.22,112.73,1000.69,2376.20,44.93,238.14,383.18,0.00,301.11,130.01,37.54,562.65,411.92,3.39,0.00
405.50,304.87,1072.14,360.50,1071.10,143.41,2895.28,94.34,980.24,2422.72,45.63,191.55,379.46,0.00,336.67,91.91,37.54,635.55,415.79,3.39,0.00
