Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2,
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.00,0.00,102.08,0.00,0.00,67.04,10.04,561.84,99.22,74.74,211.03,607.95,14.69,109.25,160.93,95.09,432.66,289.01,0.00,0.00
3.50,0.00,0.00,102.08,0.00,0.00,101.17,10.04,565.19,146.16,78.33,216.03,659.07,18.63,106.05,141.60,95.09,246.52,303.76,0.00,0.00
22.50,0.00,0.00,102.08,0.00,0.00,104.12,10.04,565.19,112.17,78.61,259.50,659.94,11.28,106.05,122.53,95.09,293.31,278.19,0.00,0.00
53.50,0.00,0.00,102.08,0.00,0.00,132.30,10.04,565.19,135.06,77.70,256.93,653.35,11.73,106.05,131.27,95.09,425.74,284.94,0.00,0.00
83.50,0.00,0.00,102.08,0.00,0.00,130.88,10.04,565.19,110.63,77.64,251.41,652.00,10.53,106.05,165.92,103.94,391.57,292.28,0.00,0.00
112.50,0.00,0.00,102.08,0.00,0.00,119.17,10.04,565.19,109.10,77.70,213.82,672.27,10.53,103.30,172.14,99.71,290.53,283.39,0.00,0.00
141.00,0.00,0.00,102.08,0.00,0.00,119.17,10.04,569.77,152.45,78.80,262.64,662.69,32.35,103.30,141.02,101.68,775.95,258.72,0.00,0.00
171.00,0.00,0.00,102.08,0.00,0.00,111.54,10.04,543.53,158.73,78.80,258.98,657.53,95.41,103.91,151.09,101.99,1376.89,321.70,0.00,0.00
201.50,0.00,0.00,102.08,0.00,0.00,111.54,10.04,585.03,111.85,77.65,273.50,680.61,225.58,103.91,356.50,110.60,1459.18,470.89,0.00,0.00
232.50,0.00,0.00,102.08,0.00,0.00,111.54,10.04,585.03,1344.22,77.65,305.59,723.68,328.88,196.31,514.89,112.22,1460.52,538.17,0.00,0.00
263.50,0.00,0.00,102.08,0.00,0.00,109.10,10.04,585.03,1708.77,81.48,289.21,717.68,361.95,527.52,605.63,120.55,1399.53,503.24,0.00,0.00
293.50,0.00,0.00,102.08,0.00,0.00,670.83,10.04,585.03,1708.86,83.92,514.30,817.22,427.68,721.19,453.84,136.00,1390.15,486.41,0.00,0.00
323.50,0.00,0.00,789.09,0.00,0.00,1853.60,27.16,801.62,1562.11,95.74,719.41,943.38,421.55,1013.77,444.72,131.25,1249.77,445.37,0.00,0.00
353.50,0.00,0.00,1380.09,0.00,0.00,2159.64,21.25,1023.27,1397.87,108.06,826.53,997.82,206.94,894.21,396.70,141.05,1191.03,443.25,0.00,0.00
383.50,431.03,0.00,1303.08,0.00,0.00,2037.28,21.19,1020.42,1271.25,117.74,714.35,998.55,123.46,611.04,278.78,141.05,365.51,423.22,0.00,0.00
413.50,406.10,0.00,1283.99,0.00,0.00,2001.00,16.32,1031.20,1250.43,113.04,718.20,933.10,109.52,417.66,253.79,140.81,187.34,436.03,0.00,0.00
443.50,361.29,0.00,1212.84,0.00,0.00,1858.28,34.54,965.29,1167.40,110.17,603.16,1063.86,85.88,372.93,292.30,144.35,227.91,419.01,0.00,0.00
473.50,318.11,0.00,1128.00,0.00,0.00,1708.30,41.05,965.29,1140.93,118.65,515.68,1133.53,96.67,423.28,238.10,148.74,405.44,426.23,0.00,0.00
503.50,106.77,0.00,1020.64,0.00,0.00,1614.32,45.47,931.92,1063.62,118.80,458.69,1198.12,83.68,394.70,189.73,142.03,280.35,385.06,0.00,0.00
532.50,125.32,0.00,987.87,0.00,0.00,1574.03,37.25,931.92,1077.84,109.80,458.69,1205.36,64.47,388.63,222.38,139.10,565.38,402.20,0.00,0.00
562.50,126.23,0.00,994.09,0.00,0.00,1568.53,44.98,931.92,997.63,105.04,431.14,1251.01,46.57,343.84,159.41,130.25,281.60,365.20,0.00,0.00
593.50,101.46,0.00,973.73,0.00,0.00,1522.63,51.76,931.92,1056.84,105.04,415.96,1119.38,42.73,321.96,170.29,130.33,242.37,363.47,0.00,0.00
623.50,151.52,0.00,983.16,0.00,0.00,1518.08,43.37,931.92,1142.55,108.13,419.45,1039.04,42.66,290.50,191.04,128.97,530.44,382.80,0.00,0.00
653.50,127.60,0.00,973.57,0.00,0.00,1510.99,38.20,931.92,1169.76,104.92,371.81,1004.86,70.62,291.77,138.80,120.55,199.17,362.45,0.00,0.00
683.50,224.75,0.00,978.31,0.00,0.00,1529.04,33.75,931.92,1187.15,102.11,409.00,975.15,135.04,243.14,216.21,117.74,238.84,380.56,0.00,0.00
713.50,164.61,0.00,1003.02,0.00,0.00,1538.96,33.37,871.90,1181.47,110.27,378.02,991.06,140.81,204.24,172.27,121.61,268.63,348.12,0.00,0.00
743.50,166.02,0.00,952.13,0.00,0.00,1457.81,34.33,899.37,1253.20,111.53,386.66,1011.55,130.53,219.27,140.02,126.69,410.39,359.81,0.00,0.00
773.50,123.27,0.00,972.35,0.00,0.00,1523.64,34.67,899.37,1232.81,113.41,397.34,1069.41,157.99,175.24,205.32,126.28,428.74,350.04,0.00,0.00
803.50,119.78,0.00,982.71,0.00,0.00,1555.36,35.27,899.37,1069.46,114.81,390.24,1084.74,131.92,189.80,175.99,120.01,487.43,338.55,0.00,0.00
833.50,107.42,0.00,999.30,0.00,0.00,1541.60,41.08,899.37,904.07,110.87,394.53,1037.43,59.23,134.98,175.08,120.83,344.16,342.84,0.00,0.00
863.50,107.58,0.00,957.59,0.00,0.00,1516.90,36.68,899.37,885.73,111.17,370.08,1177.39,48.55,169.53,189.84,120.55,328.91,333.77,0.00,0.00
893.50,107.58,0.00,926.08,0.00,0.00,1477.19,35.71,885.94,855.98,109.96,374.56,1069.88,43.10,149.16,176.60,118.42,806.37,323.62,0.00,0.00
923.50,107.58,0.00,909.70,0.00,0.00,1408.45,34.09,892.35,830.40,108.46,356.55,993.31,35.71,113.53,221.37,115.72,1390.82,339.26,0.00,0.00
953.50,107.58,0.00,863.97,0.00,0.00,1345.07,33.17,892.35,799.23,109.19,366.11,974.14,28.87,105.59,217.56,116.67,1200.94,338.81,0.00,0.00
983.50,107.58,0.00,851.62,0.00,0.00,1364.68,33.39,892.35,819.97,109.19,378.80,913.91,32.43,152.40,249.31,116.95,480.72,300.97,0.00,0.00
1013.00,107.58,0.00,832.10,0.00,0.00,1301.70,34.67,839.75,856.71,105.99,349.16,872.10,34.89,102.78,243.99,116.40,502.85,317.69,0.00,0.00
1042.50,107.58,0.00,819.69,0.00,0.00,1277.87,30.27,839.75,957.35,113.83,371.10,875.07,60.36,169.07,235.12,119.19,428.02,339.00,0.00,0.00
1072.50,107.58,0.00,806.92,0.00,0.00,1293.24,32.78,839.75,984.49,110.84,336.79,872.43,94.45,102.58,218.92,119.19,406.95,325.41,0.00,0.00
1103.00,107.58,0.00,805.93,0.00,0.00,1266.13,32.29,839.75,1015.56,110.90,371.68,1009.92,84.90,117.72,224.17,118.31,401.31,339.67,0.00,0.00
1133.00,107.58,0.00,796.35,0.00,0.00,1277.45,31.07,839.75,944.15,107.85,395.82,1050.97,90.76,129.48,231.78,121.11,314.73,318.81,0.00,0.00
1163.00,107.58,0.00,814.36,0.00,0.00,1258.34,30.76,839.75,954.39,112.25,369.06,1052.74,107.43,111.34,254.67,129.46,526.06,317.22,0.00,0.00
1192.50,107.58,0.00,786.71,0.00,0.00,1287.82,20.26,839.75,1018.95,111.88,363.71,1046.54,123.30,136.48,280.55,130.94,613.29,339.36,0.00,0.00
1220.00,107.58,0.00,783.11,0.00,0.00,1262.20,9.43,839.75,1060.45,111.88,390.63,1056.92,117.02,119.22,284.39,136.17,878.28,316.27,0.00,0.00
1249.50,107.58,0.00,788.55,0.00,0.00,1274.88,10.53,841.38,1118.28,114.29,390.33,1005.66,131.37,163.53,304.03,136.17,443.73,313.34,0.00,0.00
1282.00,107.58,0.00,827.51,0.00,0.00,1274.31,10.53,865.19,1135.97,110.84,408.79,948.61,119.95,176.76,310.12,136.54,891.21,306.37,0.00,0.00
1313.50,107.58,0.00,822.58,0.00,0.00,1326.54,10.53,837.72,1120.18,111.84,408.59,934.70,72.77,123.75,253.96,136.54,854.20,310.88,0.00,0.00
1343.50,107.58,0.00,847.33,0.00,0.00,1345.85,24.96,837.72,1110.03,106.02,399.85,951.58,62.20,128.38,307.62,138.06,694.87,301.55,0.00,0.00
1372.50,107.58,0.00,862.85,0.00,0.00,1378.14,0.00,792.55,1055.08,108.73,387.14,979.26,62.17,122.89,286.56,129.29,380.28,311.95,0.00,0.00
1402.50,107.58,0.00,844.18,0.00,0.00,1335.55,10.28,837.72,985.08,106.87,397.77,1030.70,55.45,140.36,260.95,130.25,384.47,322.88,0.00,0.00
1433.50,107.58,0.00,858.80,0.00,0.00,1381.33,10.53,837.72,1047.07,107.03,399.48,1058.37,75.26,118.66,293.80,134.16,609.22,308.94,0.00,0.00
1463.50,107.58,0.00,856.25,0.00,0.00,1382.16,12.84,837.72,1178.13,107.03,398.49,1047.01,99.63,122.16,287.48,125.31,336.31,300.91,0.00,0.00
1493.50,107.58,0.00,902.31,0.00,0.00,1421.39,16.60,837.72,1193.09,112.73,398.20,1086.98,83.65,160.24,297.94,129.29,373.94,310.70,0.00,0.00
1523.50,107.58,0.00,937.13,0.00,0.00,1457.81,11.75,837.72,1072.10,114.44,413.34,1129.17,61.44,120.63,284.34,129.29,572.11,307.40,0.00,0.00
1552.50,107.58,0.00,953.19,0.00,0.00,1486.01,9.72,837.72,750.19,112.20,412.55,1117.94,49.44,120.94,305.21,129.29,293.14,317.59,0.00,0.00
1582.00,107.58,0.00,886.30,0.00,0.00,1436.18,11.60,794.99,458.75,112.79,385.62,1149.49,41.66,126.61,262.30,129.29,379.49,324.84,0.00,0.00
1613.00,107.58,0.00,711.60,0.00,0.00,1350.82,16.58,718.70,344.06,110.58,400.00,1062.16,38.76,109.68,296.61,128.64,386.33,314.91,0.00,0.00
1643.50,107.58,0.00,356.52,0.00,0.00,957.39,12.97,654.61,298.57,108.31,432.24,1017.78,38.76,112.95,243.88,128.64,310.28,330.20,0.00,0.00
1673.50,107.58,0.00,146.20,0.00,0.00,460.65,29.36,610.06,240.96,110.84,414.02,924.50,32.35,131.13,278.85,130.31,383.35,294.09,0.00,0.00
1703.50,107.58,0.00,100.84,0.00,0.00,281.90,26.67,584.11,193.26,110.84,404.91,924.45,31.31,148.28,307.45,130.03,346.65,307.85,0.00,0.00
1733.50,107.58,0.00,108.49,0.00,0.00,242.85,26.92,569.77,190.05,104.03,393.55,890.12,31.31,124.06,312.73,128.33,551.50,307.68,0.00,0.00
1763.50,0.00,0.00,117.24,0.00,0.00,189.96,12.27,569.77,130.04,104.98,405.41,878.55,30.51,113.37,297.33,128.87,493.23,309.58,0.00,0.00
1793.50,0.00,0.00,71.51,0.00,0.00,153.38,14.51,527.66,132.42,104.98,388.49,882.72,31.34,125.43,312.89,128.30,417.14,289.67,0.00,0.00
1823.50,0.00,0.00,112.46,0.00,0.00,117.04,10.69,567.94,134.26,99.47,377.05,845.38,30.90,122.18,303.20,132.78,429.46,322.66,0.00,0.00
1853.50,0.00,0.00,115.51,0.00,0.00,130.72,10.39,567.94,167.70,100.39,376.97,847.55,27.99,124.16,310.41,132.78,731.26,285.41,0.00,0.00
1883.50,0.00,0.00,115.51,0.00,0.00,142.04,12.29,522.77,124.11,98.60,369.49,864.41,27.99,127.72,319.36,129.29,825.07,295.26,0.00,0.00
1913.50,0.00,0.00,130.77,0.00,0.00,135.32,9.78,522.77,134.18,100.08,353.09,841.38,30.93,108.49,293.58,129.91,511.68,284.02,0.00,0.00
1943.50,0.00,0.00,107.58,0.00,0.00,104.83,11.02,522.77,115.25,98.18,352.48,853.12,27.44,108.49,321.41,128.48,297.02,299.84,0.00,0.00
