Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,988.73,1361.54
15.50,2800.63,3682.21
45.50,4620.72,5961.39
75.50,6674.06,8459.87
105.00,10814.49,14541.45
133.50,11236.48,19000.08
163.50,9146.64,17542.31
195.00,11923.34,20805.50
225.50,13720.81,21703.65
255.50,14899.32,21703.65
285.50,16579.77,20732.79
315.50,15345.86,19226.26
345.50,15762.72,19012.10
375.50,15762.72,19012.10
405.50,16693.94,19592.20
435.50,15782.66,19147.38
465.50,15144.84,18122.28
495.50,14568.01,17363.30
525.50,15357.87,18155.71
555.50,16165.45,19179.83
585.50,16739.19,19695.80
615.50,18133.81,21335.86
645.50,17640.79,20846.35
675.50,16866.94,20000.92
705.50,16596.76,19147.38
735.50,13823.19,15992.73
765.50,13959.71,16421.75
795.50,13395.84,15950.92
825.50,14194.79,16771.82
855.50,15915.04,18697.16
885.50,19149.58,22418.89
915.50,17931.69,20682.02
945.50,20680.15,24437.40
975.50,18381.78,21548.12
1005.50,23331.95,27004.94
1035.50,22176.08,26619.31
1065.50,21714.97,25185.37
1095.50,17975.61,21174.60
1125.50,17475.08,20560.21
1154.50,16118.01,18842.35
1184.00,19741.46,23400.08
1215.00,22893.49,26861.95
1245.50,17870.27,21450.14
1275.50,19675.90,23795.19
1305.50,7707.76,9408.87
1335.50,1996.03,2108.73
1365.50,638.45,466.42
1395.50,638.45,466.42
1425.50,137.90,466.42
1455.50,137.90,466.42
1485.50,137.90,466.42
1515.50,137.90,466.42
1545.50,137.90,466.42
1575.50,137.90,466.42
1605.50,137.90,466.42
1635.50,137.90,466.42
1664.50,137.90,466.42
1694.50,137.90,466.42
1725.50,137.90,466.42
1755.50,137.90,466.42
1785.50,137.90,466.42
1815.50,137.90,466.42
1845.50,137.90,466.42
1875.50,137.90,466.42
1905.50,137.90,466.42
1935.50,137.90,466.42
1965.50,137.90,466.42
1995.50,137.90,466.42
2025.50,137.90,466.42
2055.50,137.90,466.42
2085.50,137.90,466.42
2115.50,137.90,466.42
2145.50,137.90,466.42
