Time,CT214J3,CT214F2,CT209H2,CT209F2,CT209C2,CT207H2,CT207F2,CT207C2,CT307H2,CT307F2,CT307C2,CT302H2,CT302F2,CT302C2,CT301H2,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.00,561.84,378.21,354.49,0.00,464.57,143.74,0.00,157.78,355.23,16.57,98.17,292.26,0.00,0.30,20.75,23.45,0.30,71.64,16.30
1.00,0.00,548.41,388.66,352.38,0.00,436.25,121.31,0.00,157.78,360.42,16.57,99.18,295.41,0.00,0.30,20.75,22.46,0.30,43.40,13.98
16.50,0.00,556.26,386.36,352.73,0.00,483.71,207.08,0.00,157.78,365.76,16.57,81.24,311.03,0.00,0.30,20.75,19.47,0.30,63.55,15.90
46.50,0.00,547.85,399.65,354.52,0.00,471.46,138.76,0.00,157.78,381.48,16.57,76.48,282.44,0.00,0.30,20.75,23.90,0.30,64.14,16.83
76.50,0.00,542.31,400.15,352.38,0.00,458.52,174.79,0.00,157.78,372.62,16.57,112.61,321.84,0.00,0.30,20.75,24.43,0.30,51.17,15.95
106.50,0.00,558.36,401.07,370.79,0.00,433.29,130.07,0.00,157.78,374.25,16.57,82.58,327.34,0.00,0.30,20.75,23.50,0.30,74.02,15.69
136.50,0.00,558.09,392.77,364.30,0.00,452.68,183.26,0.00,180.06,399.79,16.57,87.43,368.76,0.00,0.30,30.52,22.40,0.30,61.85,15.44
166.50,0.00,499.64,382.59,360.39,0.00,1096.91,841.46,0.00,189.92,370.25,14.07,78.23,521.80,0.00,0.30,30.52,22.98,0.30,81.36,16.00
196.50,0.00,533.62,376.35,318.69,0.00,2731.20,1604.01,0.00,170.60,376.37,14.07,81.89,556.41,0.00,0.30,30.52,23.38,0.30,95.40,13.98
226.50,0.00,514.84,379.14,354.97,0.00,2927.64,1729.01,0.00,170.60,465.84,14.07,96.89,623.24,0.00,108.28,30.52,22.67,0.30,57.73,16.64
256.50,0.00,561.84,426.68,348.97,0.00,3053.33,1824.30,0.00,170.60,890.21,14.38,63.78,1037.71,0.00,108.28,30.52,24.30,0.30,75.51,17.88
286.50,0.00,1358.18,415.70,720.95,49.99,3161.09,1938.81,0.00,151.06,1174.15,12.76,80.38,2741.72,0.00,920.35,30.52,24.35,0.30,420.40,34.30
316.50,0.00,1299.60,674.89,1041.69,102.51,3207.04,1923.99,9.83,214.24,1257.22,12.76,47.91,2656.90,0.00,2051.16,468.53,24.66,0.30,2703.52,162.01
346.50,0.00,601.51,1646.62,1052.71,30.28,3000.43,1796.09,37.05,350.80,1321.86,25.45,47.91,2661.10,40.73,1867.40,493.42,23.72,0.30,3417.10,268.85
376.50,0.00,548.78,1899.81,1100.18,10.50,2793.83,1607.11,60.02,504.06,1340.05,60.51,108.95,2728.25,129.34,1923.11,582.45,22.46,0.30,3242.82,314.20
406.50,0.00,515.50,1889.25,1146.56,12.21,2477.29,1553.52,85.55,592.35,1311.43,90.27,78.69,2835.20,193.35,2016.77,623.92,31.19,0.30,3274.20,281.94
435.50,0.00,540.54,1929.21,945.83,0.70,2219.15,1359.58,54.71,636.91,1183.62,108.80,307.77,2711.91,191.40,2112.20,678.01,97.93,0.30,3314.75,243.03
465.50,0.00,527.05,1875.16,695.36,0.40,1956.80,1242.52,41.69,684.52,1112.02,86.87,627.15,2580.47,157.06,1979.46,583.54,217.20,0.30,3212.76,230.34
496.50,0.00,508.05,1407.00,710.91,0.00,1788.26,1131.74,32.39,667.84,984.95,71.84,867.63,2549.34,141.11,1901.72,486.08,262.33,0.30,3090.79,212.21
526.50,0.00,519.89,1109.77,636.68,0.00,1654.54,968.38,13.79,667.84,996.29,66.35,955.03,2478.46,120.06,1874.57,482.35,225.59,0.30,3021.74,197.70
555.50,0.00,518.24,1052.79,583.09,0.00,1447.56,788.53,7.22,614.33,898.15,54.02,1031.45,2359.80,112.29,1773.17,417.08,225.59,0.30,2934.61,181.41
585.50,0.00,502.77,928.36,558.37,0.00,1252.61,711.42,7.22,563.06,855.65,41.08,1113.81,2332.04,95.31,1654.45,344.72,191.59,0.30,2812.44,164.43
616.00,0.00,517.89,859.33,481.61,0.00,1069.26,539.13,7.22,519.72,801.59,35.22,1124.89,2310.52,85.21,1643.45,325.38,174.75,0.30,2760.97,161.81
645.50,0.00,529.15,767.43,455.02,0.00,979.32,432.39,7.22,470.89,727.35,26.31,1096.51,2316.97,77.33,1613.82,292.86,161.17,0.30,2716.36,160.46
675.50,0.00,513.86,680.45,414.05,0.00,732.13,362.03,7.22,404.36,674.24,13.61,1073.76,2276.34,73.63,1595.73,251.95,155.03,0.30,2721.90,158.44
705.50,0.00,514.32,591.93,340.16,0.00,602.41,251.08,7.22,362.86,583.44,19.01,1067.46,2208.82,67.65,1575.36,258.62,145.90,0.30,2680.75,163.42
735.00,0.00,531.74,434.14,362.36,0.00,480.17,235.52,7.22,332.34,520.33,19.01,1101.66,2208.20,74.22,1557.44,248.60,140.40,0.30,2649.36,157.90
765.50,0.00,497.55,430.27,380.27,0.00,448.03,242.90,7.22,307.32,503.04,12.63,1042.80,2217.59,71.99,1509.30,226.30,137.05,0.30,2633.71,159.42
796.50,0.00,494.33,398.72,370.29,0.00,499.72,211.66,7.22,287.17,439.94,12.70,944.53,2205.67,73.57,1458.12,232.29,145.51,0.30,2657.48,148.79
826.50,0.00,500.34,418.17,363.97,0.00,452.45,232.90,7.22,244.45,409.09,12.70,932.10,2234.47,70.01,1480.48,250.93,136.05,0.30,2671.34,159.20
856.50,0.00,501.34,436.37,369.36,0.00,495.39,216.94,7.22,244.45,401.65,12.70,932.10,2251.23,78.40,1441.71,219.85,132.78,0.30,2687.91,153.77
886.50,0.00,525.14,422.14,370.56,0.00,449.38,230.22,7.22,204.17,397.92,21.55,858.59,2287.38,72.78,1489.92,229.80,134.71,0.30,2655.31,160.42
916.50,0.00,529.05,418.88,407.70,0.00,473.54,213.88,7.22,204.17,349.74,14.22,841.02,2243.65,80.87,1440.28,246.51,133.82,0.30,2714.01,162.69
