Time,202-T-A2,202-T-B2,202-T-C2,202-T-D2,202-T-E2,202-T-F2,202-T-G2,301-T-A2,301-T-B2,301-T-C2,301-T-D2,301-T-E2,301-T-F2,301-T-G2,301-T-H2,302-T-A2,302-T-B2,302-T-C2,302-T-D2,302-T-E2,302-T-F2,302-T-G2,302-T-H2,303-T-A2,303-T-B2,303-T-C2,303-T-D2,303-T-E2,303-T-F2,303-T-G2,303-T-H2,304-T-A2,304-T-B2,304-T-C2,304-T-D2,304-T-E2,304-T-F2,304-T-G2,304-T-H2,205-T-A2,205-T-B2,205-T-C2,205-T-D2,205-T-E2,205-T-F2,205-T-G2,205-T-H2,305-T-A2,305-T-B2,305-T-C2,305-T-D2,305-T-E2,305-T-F2,305-T-G2,305-T-H2,306-T-A2,306-T-B2,306-T-C2,306-T-D2,306-T-E2,306-T-F2,306-T-G2,306-T-H2,307-T-A2,307-T-B2,307-T-C2,307-T-D2,307-T-E2,307-T-F2,307-T-G2,307-T-H2,207-T-A2,207-T-B2,207-T-C2,207-T-D2,207-T-E2,207-T-F2,207-T-G2,207-T-H2,208-T-A2,208-T-B2,208-T-C2,208-T-D2,208-T-E2,208-T-F2,208-T-G2,208-T-H2,209-T-A2,209-T-B2,209-T-C2,209-T-D2,209-T-E2,209-T-F2,209-T-G2,209-T-H2,211-T-A2,211-T-B2,211-T-C2,211-T-D2,211-T-E2,211-T-F2,211-T-G2,211-T-H2,213-T-A2,213-T-B2,213-T-C2,213-T-D2,213-T-E2,213-T-F2,213-T-G2,213-T-H2,214-T-A2,214-T-B2,214-T-C2,214-T-D2,214-T-E2,214-T-F2,214-T-G2
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.0,14,14,15,14,15,15,14,14,14,14,15,15,15,15,15,14,14,15,15,17,17,17,18,17,16,17,18,23,26,31,32,14,17,19,20,30,41,39,52,27,116,36,26,20,21,27,25,14,16,16,17,17,18,16,21,15,15,15,15,15,15,15,15,14,15,15,15,16,16,15,15,14,15,15,16,16,16,16,17,14,14,17,17,17,17,17,18,15,16,17,17,18,17,17,17,15,17,18,18,18,19,19,19,18,19,19,19,20,19,19,19,19,20,21,21,21,21,21
1.0,14,14,15,14,15,15,14,17,17,19,22,21,24,28,28,14,16,17,21,37,40,48,52,20,23,28,37,52,68,81,92,19,22,32,54,86,94,110,130,42,219,53,43,33,33,48,48,16,17,17,18,17,18,19,31,15,16,15,15,15,15,15,15,14,15,15,15,16,16,15,15,14,15,15,16,16,16,16,17,14,14,17,17,17,17,17,18,15,16,17,17,18,17,17,17,15,17,18,18,18,19,19,19,18,19,19,19,20,19,19,19,19,20,21,21,21,21,21
16.5,15,19,23,25,28,28,23,32,34,38,42,40,44,47,50,27,30,31,35,47,58,79,86,25,30,40,58,78,91,101,110,24,27,37,64,101,112,131,137,52,217,64,57,47,42,51,53,16,17,17,18,17,19,19,31,15,16,15,15,15,15,15,15,14,15,15,15,16,16,15,15,14,15,15,16,16,16,16,17,14,14,17,17,17,17,17,18,15,16,17,17,18,17,17,17,15,17,18,18,18,19,19,19,18,19,19,19,20,19,19,19,19,20,21,21,21,21,21
46.5,30,32,36,40,41,40,37,43,46,46,51,49,50,49,50,27,37,38,38,44,51,60,67,31,33,43,53,63,70,74,79,27,35,49,68,73,64,62,61,50,180,66,64,57,48,53,49,17,17,17,18,17,21,19,31,15,16,15,15,15,15,15,16,15,15,15,15,16,16,15,15,14,15,16,16,16,16,17,17,14,14,17,17,17,17,17,18,16,16,17,17,18,17,17,17,17,17,18,18,18,19,19,19,18,19,19,19,20,19,19,19,19,20,21,21,21,21,21
76.5,30,32,36,42,42,40,39,46,46,50,54,49,53,56,56,38,38,41,46,57,65,72,85,40,44,55,70,90,107,109,121,46,60,106,146,123,91,75,66,51,175,72,70,63,53,58,52,17,19,19,18,17,22,19,31,17,16,16,16,15,17,15,16,15,15,15,15,16,16,15,16,15,16,16,16,16,16,17,17,15,14,18,17,18,19,18,19,16,16,18,17,19,17,17,17,17,18,18,18,18,19,19,19,20,19,19,19,20,19,19,19,19,20,21,21,21,21,21
106.5,51,52,56,60,63,61,55,71,79,88,102,92,106,111,114,47,54,59,74,117,138,166,188,50,66,93,117,162,201,239,249,88,129,261,373,315,268,237,223,64,236,90,80,69,58,64,54,19,19,19,19,19,23,19,31,17,16,16,16,17,17,17,16,15,16,16,17,17,17,15,16,15,16,16,17,16,17,17,17,15,14,18,17,18,19,18,19,16,18,18,17,19,19,18,19,17,18,18,18,18,19,19,19,20,19,19,19,20,19,19,19,19,20,21,21,21,21,21
136.5,84,85,89,100,102,98,89,107,120,134,150,142,165,170,182,63,73,81,105,170,198,241,260,60,89,130,162,213,267,322,344,101,178,360,446,419,382,366,372,93,377,182,105,80,65,72,56,20,21,20,21,21,26,19,31,17,17,16,16,17,17,17,16,16,16,16,17,17,17,15,16,15,16,16,17,16,17,17,17,15,14,18,18,18,19,18,19,16,18,18,17,19,19,18,19,17,18,18,18,18,19,19,19,20,19,19,19,20,19,19,19,19,20,21,21,21,21,21
165.5,118,121,128,139,140,135,123,142,162,180,215,197,219,238,250,80,96,128,179,260,292,314,339,127,166,235,301,363,410,439,455,146,241,435,494,490,503,520,550,123,427,365,192,108,88,91,71,26,28,26,26,27,35,22,21,18,17,18,18,17,17,17,18,16,16,16,17,17,17,15,16,15,16,16,17,16,17,17,17,15,14,18,18,18,19,18,19,16,18,18,17,19,19,18,19,17,18,18,18,18,19,19,19,20,19,19,19,20,19,19,19,19,20,21,21,21,21,21
195.0,156,159,170,190,191,183,165,199,243,270,304,286,310,329,340,103,134,201,269,361,388,403,430,174,260,374,459,527,570,600,611,175,328,531,602,628,637,680,727,146,437,450,254,148,116,123,105,33,33,30,28,30,47,25,21,18,17,18,18,17,18,17,18,16,16,16,17,17,17,15,16,15,16,16,17,16,17,17,17,15,14,18,18,18,19,18,19,16,18,18,17,19,19,18,19,17,18,18,18,18,19,19,19,20,19,19,19,20,19,19,19,21,20,21,21,21,21,21
