Time,Loop 214,Loop 209,Loop 208,Loop 207,Loop 307,Loop 305,Loop 304,Loop 302,Loop 301,Loop 202
s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
0.00,12.74,20.17,17.47,18.44,14.64,19.46,12.27,13.11,9.95,8.35
8.50,16.57,22.37,19.05,20.97,23.61,26.50,6.32,8.81,4.87,3.89
32.00,19.63,32.73,29.24,30.55,33.76,38.57,1.19,3.17,-0.33,-6.47
62.50,15.84,39.97,36.65,43.52,45.87,60.68,3.30,6.99,3.22,-9.00
92.50,19.24,42.87,36.28,48.06,52.56,72.17,6.01,9.97,5.11,-5.31
122.50,20.50,44.22,34.89,50.61,56.66,82.42,8.22,11.93,8.56,-2.39
152.50,22.69,39.10,38.48,56.54,61.60,94.10,11.12,17.07,11.48,-0.41
181.50,26.00,39.44,40.49,60.21,66.33,110.78,12.06,17.69,12.47,3.12
211.00,28.69,42.89,43.12,63.03,69.46,116.57,13.89,19.43,14.01,4.83
242.00,32.22,45.70,47.83,67.46,76.96,119.70,17.76,22.30,16.21,10.07
272.50,39.57,53.98,54.04,77.06,83.05,124.47,21.20,25.60,19.36,14.30
302.50,43.29,60.10,59.27,86.15,92.01,121.12,24.55,29.08,22.45,18.01
332.50,45.03,62.06,63.64,94.36,97.12,124.81,28.77,33.07,25.30,20.15
361.00,48.13,64.48,66.16,100.33,106.18,125.66,31.64,32.82,27.39,21.62
390.00,50.70,67.16,68.64,104.14,113.51,132.49,32.60,35.22,29.22,24.12
420.50,53.05,71.63,73.77,111.41,119.64,142.15,35.95,37.72,32.77,28.99
451.50,55.20,75.44,76.11,117.28,122.28,144.66,38.08,40.20,35.63,30.19
482.50,55.10,75.91,78.24,118.73,129.37,143.29,38.65,41.01,37.27,30.34
512.50,52.37,74.21,74.08,110.64,132.56,144.88,39.14,39.75,35.27,27.86
540.50,50.90,77.20,80.80,114.96,134.01,151.74,38.70,39.76,35.13,26.39
569.00,44.07,79.52,80.83,115.50,134.44,142.28,38.62,40.00,33.27,27.03
600.50,46.07,79.59,82.09,118.40,134.65,142.54,39.39,40.51,34.90,28.33
631.50,47.81,79.75,82.19,119.58,135.60,146.10,39.49,39.77,33.63,28.83
662.00,46.89,80.38,82.67,115.86,138.28,150.96,40.57,40.94,33.58,29.65
692.50,48.06,83.25,81.87,116.27,133.39,139.47,41.38,41.06,34.43,29.42
722.50,49.69,84.27,83.49,122.97,140.01,142.09,40.18,40.53,34.49,27.57
752.00,51.52,80.10,80.26,121.01,146.34,150.08,44.53,43.19,36.60,29.20
781.50,53.01,86.80,89.81,133.77,149.94,149.43,46.73,45.03,37.76,29.13
811.50,52.93,92.07,94.80,137.68,153.66,161.77,47.13,46.32,38.76,34.86
842.00,53.32,91.60,95.11,137.93,153.87,166.50,48.86,47.87,41.38,34.93
872.00,53.98,91.49,94.24,140.68,155.32,155.93,46.56,45.83,37.66,33.30
902.00,53.34,92.54,94.56,140.79,156.29,153.37,49.56,47.18,40.83,35.69
932.50,51.55,91.37,93.31,135.75,144.52,151.53,53.01,50.57,45.26,38.93
962.50,50.96,88.34,89.93,130.38,141.27,150.66,54.03,51.91,43.73,38.30
992.50,46.85,78.24,78.42,105.83,126.97,133.78,54.24,52.71,43.85,39.92
1022.00,42.01,77.20,75.42,99.88,114.02,103.83,57.95,54.04,46.76,41.05
1052.00,32.15,68.84,68.42,83.66,94.43,74.92,57.98,55.44,46.64,40.85
1082.50,34.88,63.46,64.38,69.61,78.05,68.40,51.24,49.84,39.35,33.96
1112.50,32.94,60.16,60.46,60.96,68.71,64.11,39.34,39.28,30.67,26.19
1142.50,29.66,54.63,55.56,55.34,63.32,59.97,39.30,38.47,31.68,25.28
1172.50,28.55,49.54,52.64,52.55,56.05,50.03,36.22,36.16,28.92,23.44
1202.50,27.48,46.80,50.91,49.52,53.80,47.69,36.15,34.98,28.60,23.52
1231.50,28.74,42.36,44.46,55.67,51.54,45.52,34.96,33.71,26.58,20.93
