Time,202-T-A2,202-T-B2,202-T-C2,202-T-D2,202-T-E2,202-T-F2,202-T-G2,301-T-A2,301-T-B2,301-T-C2,301-T-D2,301-T-E2,301-T-F2,301-T-G2,301-T-H2,302-T-A2,302-T-B2,302-T-C2,302-T-D2,302-T-E2,302-T-F2,302-T-G2,302-T-H2,303-T-A2,303-T-B2,303-T-C2,303-T-D2,303-T-E2,303-T-F2,303-T-G2,303-T-H2,304-T-A2,304-T-B2,304-T-C2,304-T-D2,304-T-E2,304-T-F2,304-T-G2,304-T-H2,205-T-A2,205-T-B2,205-T-C2,205-T-D2,205-T-E2,205-T-F2,205-T-G2,205-T-H2,305-T-A2,305-T-B2,305-T-C2,305-T-D2,305-T-E2,305-T-F2,305-T-G2,305-T-H2,306-T-A2,306-T-B2,306-T-C2,306-T-D2,306-T-E2,306-T-F2,306-T-G2,306-T-H2,307-T-A2,307-T-B2,307-T-C2,307-T-D2,307-T-E2,307-T-F2,307-T-G2,307-T-H2,207-T-A2,207-T-B2,207-T-C2,207-T-D2,207-T-E2,207-T-F2,207-T-G2,207-T-H2,208-T-A2,208-T-B2,208-T-C2,208-T-D2,208-T-E2,208-T-F2,208-T-G2,208-T-H2,209-T-A2,209-T-B2,209-T-C2,209-T-D2,209-T-E2,209-T-F2,209-T-G2,209-T-H2,211-T-A2,211-T-B2,211-T-C2,211-T-D2,211-T-E2,211-T-F2,211-T-G2,211-T-H2,213-T-A2,213-T-B2,213-T-C2,213-T-D2,213-T-E2,213-T-F2,213-T-G2,213-T-H2,214-T-A2,214-T-B2,214-T-C2,214-T-D2,214-T-E2,214-T-F2,214-T-G2
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0,4,3,5,3,3,3,5,6,5,5,6,7,7,8,9,7,7,8,8,10,12,23,37,9,9,10,11,12,26,73,92,15,14,17,17,20,65,111,149,25,66,71,57,50,72,118,173,14,15,16,15,17,61,52,142,10,11,10,11,11,35,83,94,10,10,10,11,16,29,33,52,10,10,10,10,10,10,11,11,10,11,11,11,11,11,12,12,11,11,11,11,12,11,11,12,8,10,10,11,11,11,12,12,8,9,10,11,12,12,12,11,5,7,11,9,11,11,12
13.5,7,6,11,36,81,80,54,12,18,44,139,158,228,263,283,30,50,83,165,263,317,335,359,75,92,144,275,372,411,448,469,95,112,225,403,499,549,592,615,115,366,152,127,148,258,351,381,18,19,23,27,58,126,111,258,16,14,16,39,87,143,195,209,12,13,13,17,45,86,84,148,12,11,12,15,29,49,77,97,13,14,15,16,22,30,40,45,11,11,11,11,12,11,11,12,11,11,11,11,12,11,12,12,10,9,8,9,9,10,10,10,3,3,5,5,2,6,7
41.5,24,34,82,155,196,202,140,52,80,139,234,241,279,290,307,86,123,191,255,296,322,328,338,92,118,166,215,268,336,385,398,119,169,354,434,430,434,441,431,139,401,185,111,106,159,207,246,18,18,19,23,35,77,69,87,16,14,15,20,32,55,63,69,15,14,15,16,20,30,34,54,13,14,14,15,16,21,37,34,13,13,14,13,14,14,19,19,11,11,13,11,12,11,11,12,9,9,9,9,9,9,10,11,8,7,6,6,6,8,8,8,3,3,3,5,2,6,2
71.5,72,94,136,191,215,211,168,88,110,145,223,235,267,276,287,97,156,226,263,288,309,319,329,88,118,165,205,262,308,374,399,144,203,412,453,431,457,462,478,155,437,294,129,88,107,126,149,18,18,19,19,23,55,56,28,15,14,15,15,18,22,19,21,14,14,14,14,15,16,18,18,13,13,12,13,16,13,22,16,12,13,14,13,14,14,14,13,11,11,11,11,10,9,10,9,7,7,7,6,7,7,8,8,7,5,5,6,5,6,5,7,3,3,3,5,2,6,2
101.5,101,124,159,207,235,238,188,108,140,193,275,281,323,333,349,142,211,284,327,361,387,396,402,139,177,240,299,372,436,504,525,177,254,491,542,504,540,572,609,180,463,412,196,101,94,103,118,22,21,22,20,23,50,56,28,13,14,13,13,13,15,19,21,14,14,14,14,13,16,14,18,13,13,12,13,16,13,18,16,12,12,11,11,12,11,12,12,9,9,9,9,9,8,8,8,7,6,7,6,7,7,8,8,7,5,5,6,5,6,5,5,3,3,3,5,2,6,2
131.5,127,158,197,249,272,275,222,142,182,243,323,327,364,374,384,174,235,305,359,394,418,426,434,169,205,266,339,425,493,541,557,190,288,540,574,525,531,539,542,207,489,470,235,112,97,103,108,26,24,26,22,24,53,53,28,13,14,13,13,13,15,19,12,13,13,12,12,13,13,14,12,12,11,11,11,11,12,15,12,10,10,10,10,10,10,11,10,8,9,9,9,9,8,8,8,7,6,5,6,7,7,8,8,7,5,5,6,5,6,5,5,3,3,3,5,2,6,2
161.5,154,185,220,265,286,288,241,164,201,250,321,326,363,371,379,190,243,303,355,392,414,424,433,165,200,269,345,426,489,542,554,205,294,520,571,535,533,550,574,218,489,467,261,128,98,105,105,28,24,26,22,26,55,52,17,13,12,12,12,12,13,12,11,11,11,11,10,11,11,12,10,11,10,11,10,9,10,13,10,9,9,10,10,10,10,9,10,8,9,9,9,9,8,8,8,7,6,5,6,7,7,8,8,7,5,5,6,5,6,5,5,3,3,3,5,2,6,2
191.5,165,199,225,265,285,287,250,168,206,250,326,332,369,378,389,183,239,301,361,400,424,435,437,159,206,290,355,435,510,557,564,212,285,504,571,541,563,580,600,223,486,459,266,135,102,109,105,28,24,26,21,25,56,52,16,12,12,12,12,12,11,12,11,11,11,11,10,11,11,12,9,11,10,9,10,9,9,11,10,9,9,10,10,10,10,9,10,8,9,9,9,7,7,8,8,5,6,5,6,7,5,6,6,7,5,5,6,5,4,5,5,3,3,3,5,2,6,2
220.5,169,204,232,272,291,292,255,167,204,251,329,337,377,386,394,190,250,313,369,406,430,438,446,169,211,281,351,434,505,561,577,230,332,561,570,536,544,577,580,231,499,472,271,133,97,112,107,28,24,26,22,25,59,50,16,12,11,11,10,10,11,12,11,11,10,9,10,11,10,12,9,9,10,9,10,9,9,11,10,9,9,10,10,10,10,9,9,8,9,9,9,7,7,8,7,5,6,5,6,7,5,6,6,5,5,5,4,5,4,4,4,3,3,3,5,2,6,2
