Time,Loop 214,Loop 209,Loop 208,Loop 207,Loop 307,Loop 305,Loop 304,Loop 302,Loop 301,Loop 202
s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
0.00,28.42,21.54,21.93,25.82,27.95,32.39,20.26,22.85,22.46,23.83
11.50,31.29,24.12,24.44,30.54,33.30,40.54,17.60,21.39,21.29,20.64
37.50,33.03,26.21,27.11,30.06,38.06,46.71,17.76,23.40,23.47,23.68
67.50,33.03,28.93,30.31,37.62,42.37,52.62,19.78,26.01,25.97,27.40
97.50,34.57,32.71,31.51,44.19,47.43,58.18,22.63,28.16,27.91,27.26
127.00,34.39,38.97,37.44,50.98,54.02,68.38,22.72,28.16,27.91,28.91
156.50,7.81,40.68,43.69,65.69,67.75,86.75,39.04,42.97,41.62,38.93
187.00,-50.42,21.92,36.68,76.32,69.07,87.19,60.08,65.81,68.09,79.65
217.50,-84.39,4.95,28.43,64.87,72.84,104.08,60.61,71.25,74.49,85.53
247.00,-92.59,-1.28,22.28,53.84,66.56,97.81,54.87,65.28,68.83,85.53
276.50,-92.35,-4.65,19.16,53.56,66.97,95.90,53.08,63.02,66.08,72.98
306.50,-93.64,-5.48,17.45,52.30,65.34,93.91,50.71,60.68,63.73,69.99
336.50,-96.96,-7.45,15.30,50.66,62.30,92.17,48.69,58.53,62.47,66.97
366.50,-96.96,-8.68,14.91,49.12,61.20,91.50,48.24,57.86,61.68,65.88
397.00,-94.10,-11.18,14.02,47.52,59.53,89.38,46.75,55.38,60.16,64.16
427.00,-99.15,-11.97,12.72,46.42,59.05,87.29,46.53,55.38,60.16,64.77
456.50,-100.08,-11.59,12.69,46.55,60.24,86.70,43.10,52.30,56.46,63.09
486.50,-99.95,-11.31,13.11,47.26,60.39,86.88,45.08,53.69,58.61,61.65
516.50,-100.38,-11.93,12.45,47.93,58.77,85.64,44.43,54.30,57.69,62.75
547.00,-105.21,-12.78,11.64,46.21,58.90,86.36,42.93,52.65,56.63,62.75
577.00,-104.58,-12.84,11.45,45.19,59.30,84.55,42.56,50.72,56.15,10.91
602.50,-101.65,-11.49,11.85,47.58,59.40,85.71,43.75,51.86,57.07,16.00
630.00,-101.16,-11.50,11.92,47.43,59.79,87.80,44.03,53.72,57.28,11.01
664.00,-99.83,-13.44,10.61,46.15,58.99,84.16,41.30,51.41,55.15,12.00
696.50,-104.18,-12.46,10.83,46.18,59.37,84.37,39.30,50.86,54.88,-7.01
727.00,-102.78,-12.30,12.39,46.17,60.85,86.88,40.46,51.06,55.94,63.99
756.00,-90.35,-7.21,12.66,44.23,57.23,79.30,34.71,44.49,47.19,49.07
784.50,-73.46,-1.19,14.15,41.57,51.82,77.10,28.52,37.07,37.35,36.93
816.00,-71.00,1.82,17.69,41.74,54.66,80.24,29.00,37.98,37.05,37.64
847.00,-66.89,2.91,21.13,46.95,57.13,83.51,31.89,39.66,38.36,40.46
877.00,-64.39,2.91,19.45,48.57,57.27,84.31,31.31,39.39,38.23,40.17
907.50,-68.73,0.81,18.65,45.93,55.23,83.84,29.43,39.09,37.60,36.26
937.00,-69.36,-0.29,18.54,43.91,54.77,82.08,28.81,37.14,36.05,36.72
