Time,214-CO-J3,214-CO-F2,209-CO-H2,209-CO-F2,209-CO-C2,207-CO-H2,207-CO-F2,207-CO-C2,307-CO-H2,307-CO-F2,307-CO-C2,302-CO-H2,302-CO-F2,302-CO-C2,301-CO-H2,301-CO-F2,301-CO-C2,202-CO-J3,202-CO-F2,202-CO-C2
s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
0.0,0.0,0.0,0.000356,0.000344,0.0,0.0,0.000608,3e-06,0.000243,0.000233,6e-06,7.6e-05,9.9e-05,3e-06,0.0,7.4e-05,2.5e-05,0.000426,7.7e-05,0.0
2.0,0.0,0.0,0.000365,0.000315,0.0,0.0,0.00068,3e-06,0.000243,0.000223,6e-06,6.4e-05,9.2e-05,7e-06,0.0,0.000104,2.5e-05,0.000257,8.5e-05,0.0
18.5,0.0,0.0,0.000355,0.000333,0.0,0.0,0.000625,3e-06,0.000221,0.000233,3e-06,6.5e-05,9e-05,7e-06,0.0,0.000107,2.8e-05,0.00049,7.6e-05,0.0
48.0,0.0,0.0,0.000365,0.000325,0.0,0.0,0.000644,3e-06,0.000248,0.000244,3e-06,7.1e-05,0.000105,7e-06,0.0,9e-05,2.6e-05,0.000449,8.9e-05,0.0
77.0,0.0,0.0,0.000352,0.000328,0.0,0.0,0.000641,5e-06,0.000248,0.000258,3e-06,6.8e-05,9.8e-05,7e-06,0.0,0.000109,2.8e-05,0.000167,9.2e-05,0.0
106.5,0.0,0.0,0.000342,0.000315,0.0,0.0,0.000654,0.0,0.000231,0.000233,3e-06,6e-05,8.8e-05,9e-06,0.0,9.4e-05,2.7e-05,0.0004,9.8e-05,0.0
136.0,0.0,0.0,0.000341,0.000304,0.0,0.0,0.000644,0.0,0.000312,0.000328,2e-06,7.1e-05,0.000381,7e-06,0.00021,6.5e-05,2.7e-05,0.000161,9e-05,0.0
166.0,0.0,0.0,0.000342,0.000302,0.0,0.0,0.000634,0.0,0.000459,0.000718,6e-06,4.1e-05,0.001287,7e-06,0.001195,0.000101,2.7e-05,0.00024,8.3e-05,0.0
197.0,0.0,0.0,0.000349,0.000307,0.0,0.0,0.001154,0.0,0.000593,0.001027,9e-06,4.7e-05,0.001962,7e-06,0.001707,9e-05,2.7e-05,0.000745,9.4e-05,0.0
227.5,0.0,0.0,0.000341,0.0003,0.0,0.0,0.002028,0.0,0.000593,0.001149,9e-06,0.000431,0.00199,6e-06,0.001822,0.00011,3e-05,0.000399,7.8e-05,0.0
258.0,0.0,0.000275,0.000335,0.000318,0.0,0.0,0.002321,3e-06,0.000655,0.00119,1.2e-05,0.000911,0.002233,5e-06,0.001845,9e-05,2.8e-05,5.3e-05,0.000336,3.5e-05
