Time,South Central Fans,North Central Fans
s,m3/s,m3/s
0.00,-0.81,0.17
7.50,-1.04,0.13
29.50,-0.65,0.06
59.50,-0.86,-0.31
89.00,-0.48,-0.24
119.00,-0.70,-0.02
148.50,26.37,-16.22
178.00,60.05,-53.47
209.00,61.92,-58.98
239.00,60.44,-61.70
269.00,60.66,-61.14
299.50,62.63,-62.15
329.00,61.39,-62.08
359.00,62.86,-61.17
389.50,63.21,-59.60
419.50,62.01,-61.53
449.50,63.40,-59.14
479.00,63.74,-59.77
508.00,63.09,-60.17
538.50,61.47,-61.35
567.50,61.50,-59.78
596.00,61.54,-58.81
627.00,62.28,-61.31
657.50,61.99,-60.15
687.50,62.05,-60.48
717.50,62.26,-61.10
748.00,61.15,-60.48
778.00,57.09,-60.21
806.50,7.04,-16.58
837.00,-100.25,52.47
868.50,-129.35,75.19
898.50,-131.31,82.55
927.50,-130.87,122.31
956.50,-130.20,136.02
988.00,-128.49,138.90
1019.00,-128.35,139.88
1049.00,-130.80,139.10
1078.50,-129.83,139.62
1108.00,-130.18,139.66
1139.00,-129.24,139.71
1169.00,-129.35,139.58
1198.50,-130.03,139.58
1228.50,-129.43,139.62
1258.50,-129.37,139.12
1288.50,-130.73,139.06
1318.50,-129.04,139.20
1348.50,-129.08,139.26
1378.50,-129.24,139.70
1408.50,-130.16,139.59
1438.00,-129.81,138.92
1468.00,-129.24,138.62
1498.50,-130.64,139.66
1528.50,-131.44,139.47
1558.50,-131.58,139.23
1588.50,-131.20,139.21
1618.50,-130.65,138.87
1648.50,-131.40,139.07
1678.50,-129.74,139.35
1708.50,-131.02,139.45
1738.50,-129.94,139.34
1768.00,-129.92,139.10
1798.00,-130.85,138.95
1828.50,-129.90,138.67
1858.50,-129.93,138.77
