Time,South Central Fans,North Central Fans
s,C,C
0.00,15.44,12.61
9.50,15.44,12.61
33.50,15.44,12.61
63.50,15.44,12.61
93.50,15.44,12.61
123.50,15.44,12.61
153.50,24.93,12.61
183.50,29.82,12.61
213.50,21.01,12.65
243.50,24.43,12.85
273.00,30.62,13.48
303.00,33.30,13.90
333.50,31.46,13.90
363.50,29.68,13.90
393.50,27.46,14.05
423.50,25.28,14.05
453.50,25.24,14.05
482.50,25.41,14.27
512.50,25.32,14.27
543.50,25.74,14.38
573.50,25.94,14.49
603.50,26.57,14.60
632.50,26.58,14.60
662.50,26.71,14.60
693.50,25.94,14.60
723.50,27.58,14.60
753.50,28.06,14.72
783.50,28.04,15.05
813.50,29.82,15.05
843.50,40.72,15.05
873.50,50.69,15.05
903.00,49.22,15.05
933.00,44.49,15.05
963.50,39.50,15.05
993.50,35.31,15.05
1023.50,32.20,15.05
1053.50,31.95,15.27
1082.50,34.02,15.27
1112.50,36.47,15.38
1143.50,36.54,15.38
1173.50,33.04,15.49
1203.50,28.58,15.49
1233.00,26.10,15.72
1259.50,25.37,15.83
1290.00,25.55,16.05
1322.00,25.66,16.05
1352.00,24.75,16.05
1383.50,24.75,16.05
1413.50,24.75,16.05
1443.00,24.86,16.05
1473.00,24.68,16.05
1503.50,24.06,16.05
1533.50,23.73,16.05
1563.50,23.28,16.05
1593.50,23.05,16.05
1623.50,22.61,16.05
1652.00,22.50,16.05
1682.00,22.06,16.05
1713.50,21.49,16.27
1743.50,21.27,16.61
1773.50,21.16,16.72
1803.50,20.83,16.84
1833.50,20.51,17.06
1863.00,20.29,17.61
1893.00,20.29,17.95
1923.50,19.85,18.06
1953.50,19.62,18.06
1983.50,19.40,18.06
2013.50,19.40,18.06
2043.50,19.18,17.95
2073.50,19.07,17.62
2103.50,18.96,17.52
2133.50,18.73,17.52
2163.50,18.73,17.52
2193.50,18.62,17.29
2223.50,18.62,17.18
