Time,202-T-A2,202-T-B2,202-T-C2,202-T-D2,202-T-E2,202-T-F2,202-T-G2,301-T-A2,301-T-B2,301-T-C2,301-T-D2,301-T-E2,301-T-F2,301-T-G2,301-T-H2,302-T-A2,302-T-B2,302-T-C2,302-T-D2,302-T-E2,302-T-F2,302-T-G2,302-T-H2,303-T-A2,303-T-B2,303-T-C2,303-T-D2,303-T-E2,303-T-F2,303-T-G2,303-T-H2,304-T-A2,304-T-B2,304-T-C2,304-T-D2,304-T-E2,304-T-F2,304-T-G2,304-T-H2,205-T-A2,205-T-B2,205-T-C2,205-T-D2,205-T-E2,205-T-F2,205-T-G2,205-T-H2,305-T-A2,305-T-B2,305-T-C2,305-T-D2,305-T-E2,305-T-F2,305-T-G2,305-T-H2,306-T-A2,306-T-B2,306-T-C2,306-T-D2,306-T-E2,306-T-F2,306-T-G2,306-T-H2,307-T-A2,307-T-B2,307-T-C2,307-T-D2,307-T-E2,307-T-F2,307-T-G2,307-T-H2,207-T-A2,207-T-B2,207-T-C2,207-T-D2,207-T-E2,207-T-F2,207-T-G2,207-T-H2,208-T-A2,208-T-B2,208-T-C2,208-T-D2,208-T-E2,208-T-F2,208-T-G2,208-T-H2,209-T-A2,209-T-B2,209-T-C2,209-T-D2,209-T-E2,209-T-F2,209-T-G2,209-T-H2,211-T-A2,211-T-B2,211-T-C2,211-T-D2,211-T-E2,211-T-F2,211-T-G2,211-T-H2,213-T-A2,213-T-B2,213-T-C2,213-T-D2,213-T-E2,213-T-F2,213-T-G2,213-T-H2,214-T-A2,214-T-B2,214-T-C2,214-T-D2,214-T-E2,214-T-F2,214-T-G2
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.0,12,12,13,12,12,12,12,13,13,13,14,14,14,14,14,14,14,15,15,15,15,14,14,14,14,14,14,15,15,15,15,12,14,15,15,14,15,14,14,11,14,14,14,15,15,15,14,12,14,14,15,14,13,13,14,14,14,14,14,14,15,14,14,14,14,14,15,14,15,14,15,14,14,14,15,15,15,16,16,14,13,15,16,16,16,16,17,15,16,16,17,17,17,16,17,14,15,16,16,17,16,17,17,18,17,17,18,18,18,18,17,18,18,19,19,20,20,20
0.0,13,12,13,12,14,14,13,15,14,15,15,15,15,15,15,16,16,17,16,17,17,16,17,16,16,18,19,20,21,22,23,13,16,20,21,23,21,21,22,13,18,19,19,18,17,18,17,14,14,14,15,14,14,13,16,14,14,14,14,14,15,15,15,14,14,14,15,15,15,14,15,14,14,14,15,15,15,16,16,14,13,15,16,16,16,16,17,15,16,16,17,17,17,16,17,16,15,17,16,17,16,18,17,18,17,17,18,18,18,18,17,18,18,19,19,20,20,20
5.5,13,13,15,15,15,14,13,18,18,19,19,19,19,20,20,20,21,21,22,26,26,26,30,18,20,25,29,36,42,49,51,19,21,30,45,57,70,75,81,15,31,36,33,29,26,27,23,14,15,15,16,16,16,13,16,14,14,14,14,15,15,15,15,14,14,14,15,15,15,14,15,14,14,14,15,15,15,16,16,14,14,15,16,16,16,16,17,15,16,16,17,17,17,16,17,16,17,17,16,17,16,18,18,18,17,17,18,18,18,18,17,18,18,19,19,20,20,20
25.0,16,16,18,18,18,18,16,29,30,33,36,31,33,37,36,34,36,40,41,49,51,53,63,22,26,38,56,77,90,103,112,24,27,47,88,115,135,157,182,19,45,55,51,43,36,38,30,15,15,15,16,16,18,14,16,14,14,14,14,15,15,15,15,14,14,14,15,15,15,14,15,14,14,14,15,15,15,16,16,14,14,15,16,16,16,16,17,15,16,16,17,17,17,16,17,16,17,17,16,17,16,18,18,18,17,17,18,18,18,18,17,18,18,19,19,20,20,20
55.5,21,22,26,30,31,30,25,43,48,51,56,52,53,55,58,48,52,55,56,68,74,77,93,26,31,48,80,111,129,149,163,28,33,59,128,167,188,223,243,23,53,68,62,52,43,56,49,15,15,17,17,17,18,14,16,14,14,14,14,15,15,15,15,14,14,14,15,15,15,14,15,14,14,15,15,15,15,16,16,14,14,15,16,16,16,16,17,15,16,16,17,17,17,16,17,16,17,17,16,17,16,18,18,18,17,17,18,18,18,18,17,18,18,19,19,20,20,20
86.5,28,34,40,45,48,47,38,53,61,64,68,65,66,68,69,59,62,64,65,75,81,90,104,30,35,56,95,129,150,168,188,33,38,65,131,186,213,254,284,26,57,76,68,58,51,81,85,15,15,17,17,17,18,17,18,14,14,15,14,15,15,15,15,14,14,14,15,15,15,14,15,14,14,15,15,15,15,16,16,14,14,15,16,16,16,16,17,15,16,16,17,17,17,16,17,16,17,17,16,17,16,18,18,18,17,17,18,18,18,18,17,18,18,19,19,20,20,20
116.5,35,43,49,56,58,56,48,61,68,73,76,71,74,76,77,64,68,69,70,80,90,98,110,30,37,59,100,137,160,183,196,34,41,64,138,199,230,268,298,28,57,80,71,62,57,101,130,15,17,17,17,18,18,27,48,14,14,15,14,15,15,15,15,14,14,14,15,15,15,14,15,14,14,15,15,15,15,16,16,14,14,15,16,16,16,16,17,15,16,16,17,17,17,16,17,16,17,17,16,17,16,18,18,18,17,17,18,18,18,18,17,18,18,19,19,20,20,20
146.5,42,49,54,62,64,61,53,67,73,77,80,76,77,79,80,69,73,73,74,85,96,104,113,30,37,62,106,142,168,189,207,35,41,66,137,202,236,281,312,30,60,81,74,62,62,118,168,17,17,17,17,18,20,35,85,14,14,15,14,15,15,15,15,14,14,14,15,15,15,14,15,14,14,15,15,15,15,16,16,14,14,15,16,16,16,16,17,15,16,16,17,17,17,16,17,16,17,17,16,17,16,18,18,18,17,17,18,18,18,18,17,18,18,19,19,20,20,20
175.5,47,53,58,65,67,65,56,67,74,78,83,78,80,82,83,70,76,75,77,88,98,108,117,32,39,64,106,148,174,196,214,35,41,67,143,209,243,286,323,31,60,83,75,64,66,126,189,17,17,17,17,18,21,39,105,14,14,15,14,15,15,15,15,14,14,14,15,15,15,14,15,14,14,15,15,15,15,16,16,14,14,15,16,16,16,16,17,15,16,16,17,17,17,16,17,16,17,17,17,17,16,18,18,18,17,17,18,18,18,18,17,18,18,19,19,20,20,20
