Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,-1219.77,-734.46
7.50,-3351.63,-3460.88
29.50,-815.46,-842.04
59.50,2429.44,2508.71
89.50,4577.49,4803.42
119.50,7459.13,8462.61
149.00,6113.30,9397.49
178.50,6640.91,10301.97
209.00,6640.91,10069.82
239.00,8001.80,10279.40
269.00,8265.84,9848.33
299.50,8524.25,10139.00
329.50,8408.66,11457.90
359.50,6227.13,9637.35
389.50,5990.08,8542.46
419.50,6856.24,10283.62
449.50,6856.24,10705.53
479.50,8280.55,10705.53
510.00,8280.55,10705.53
540.50,8543.62,10263.44
570.00,8465.67,10269.85
598.50,8566.01,10151.73
628.00,8566.01,10151.73
659.50,9027.77,10151.73
690.50,9027.77,10151.73
720.00,9027.77,10151.73
750.00,9234.96,11031.11
780.50,8374.07,10148.36
810.50,8420.94,10039.32
840.00,8420.94,10312.85
870.00,9674.97,11149.40
900.50,9056.30,10613.17
930.50,9513.44,11263.78
960.50,8343.55,9084.76
989.50,9303.78,10369.23
1018.50,10133.51,11211.54
1049.50,9847.02,11159.74
1080.50,10238.72,11159.74
1110.50,10238.72,11159.74
1140.50,11116.17,12052.93
1170.50,11926.16,13792.11
1200.50,11382.33,13909.90
1230.50,11382.33,13909.90
1260.50,11094.31,13362.50
1290.50,11046.96,13349.71
1320.50,8926.49,10421.40
1350.50,8230.20,10144.09
1380.50,8776.65,10620.50
1410.50,9726.42,11558.98
1440.50,10159.76,12294.09
1470.50,12006.26,14538.14
1500.50,11481.80,13815.59
1530.50,10355.15,12471.91
1560.50,11664.35,14102.53
1590.50,11604.75,13843.77
1620.50,10522.94,12489.27
1650.50,11352.86,13298.67
1680.50,11116.34,13178.73
1710.50,11123.81,13148.38
1740.50,12657.97,14699.08
1770.50,3721.22,4339.38
1800.50,3721.22,-238.42
1830.50,3721.22,-238.42
1860.50,3721.22,-238.42
1890.50,3721.22,-238.42
1920.50,3721.22,-238.42
1950.50,3721.22,-238.42
1980.50,3721.22,-238.42
2010.50,3721.22,-238.42
2040.50,3721.22,55.46
2070.50,3721.22,55.46
2100.50,3721.22,55.46
2130.50,3721.22,55.46
2160.50,3721.22,55.46
2190.50,3721.22,55.46
2220.50,3721.22,45.02
2250.50,3721.22,45.02
2280.50,3721.22,45.02
2310.50,3721.22,45.02
2340.50,3721.22,45.02
2370.50,3721.22,45.02
