Time,TIWC202G,TIWC202F,TIWC202E,TIWC202D,TIWC202C,TIWC202B,TIWC202A,TIWC301G,TIWC301F,TIWC301E,TIWC301D,TIWC301C,TIWC301B,TIWC301A,TIWC302G,TIWC302F,TIWC302E,TIWC302D,TIWC302C,TIWC302B,TIWC302A,TIWC303G,TIWC303F,TIWC303E,TIWC303D,TIWC303C,TIWC303B,TIWC303A,TIWC304G,TIWC304F,TIWC304E,TIWC304D,TIWC304C,TIWC304B,TIWC304A,TIWC205G,TIWC205F,TIWC205E,TIWC205D,TIWC205C,TIWC205B,TIWC205A,TIWC305G,TIWC305F,TIWC305E,TIWC305D,TIWC305C,TIWC305B,TIWC305A,TIWC306G,TIWC306F,TIWC306E,TIWC306D,TIWC306C,TIWC306B,TIWC306A,TIWC307G,TIWC307F,TIWC307E,TIWC307D,TIWC307C,TIWC307B,TIWC307A,TIWC207G,TIWC207F,TIWC207E,TIWC207D,TIWC207C,TIWC207B,TIWC207A,TIWC208G,TIWC208F,TIWC208E,TIWC208D,TIWC208C,TIWC208B,TIWC208A,TIWC209G,TIWC209F,TIWC209E,TIWC209D,TIWC209C,TIWC209B,TIWC209A,TIWC211G,TIWC211F,TIWC211E,TIWC211D,TIWC211C,TIWC211B,TIWC211A,TIWC213G,TIWC213F,TIWC213E,TIWC213D,TIWC213C,TIWC213B,TIWC213A,TIWC214G,TIWC214F,TIWC214E,TIWC214D,TIWC214C,TIWC214B,TIWC214A
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.00,13.34,12.30,12.27,12.14,12.85,11.92,11.15,13.36,13.01,13.21,13.51,12.96,12.75,12.75,13.11,13.64,14.05,13.67,13.69,13.24,11.65,14.05,14.28,14.05,14.10,13.90,13.49,13.51,30.17,22.86,15.39,15.62,14.83,15.37,13.59,135.34,52.92,46.73,46.54,51.05,59.13,16.50,42.82,40.23,24.33,21.76,20.18,20.70,21.56,34.02,25.86,19.33,15.19,14.05,13.36,14.43,13.51,13.90,13.74,13.64,13.67,13.84,13.82,13.79,13.59,13.39,13.46,13.46,13.44,13.29,14.10,14.00,13.72,14.17,13.97,13.74,13.25,13.72,13.95,14.50,14.53,14.33,13.87,13.13,15.00,14.39,14.69,14.43,14.39,14.09,13.02,14.78,15.01,15.16,14.96,14.66,14.45,13.25,15.09,15.60,15.09,14.83,15.09,14.53,13.78
6.50,13.34,12.30,12.27,12.14,12.85,11.92,11.15,13.36,13.01,13.21,13.51,12.96,12.75,12.75,13.11,13.64,14.05,13.67,13.69,13.24,11.65,35.61,36.30,16.20,15.67,15.42,14.89,14.35,133.14,113.42,66.36,22.34,20.03,19.90,15.65,424.76,232.35,229.78,131.02,119.96,124.67,23.79,175.57,168.28,141.18,70.87,44.97,45.93,53.95,132.69,113.08,83.78,21.77,18.89,16.42,17.47,22.51,24.54,18.33,15.29,13.67,13.84,13.82,13.79,13.59,13.39,13.46,13.46,13.44,13.29,14.10,14.00,13.72,14.17,13.97,13.74,13.25,13.72,13.95,14.50,14.53,14.33,13.87,13.13,15.00,14.39,14.69,14.43,14.39,14.09,13.02,14.78,15.01,15.16,14.96,14.66,14.45,13.25,15.09,15.60,15.09,14.83,15.09,14.53,13.78
28.00,13.34,12.30,12.27,12.14,12.85,11.92,11.15,13.36,13.01,13.21,13.51,12.96,12.75,12.75,22.86,20.34,17.69,13.67,13.69,13.24,11.65,117.48,120.59,27.25,19.81,19.48,17.12,16.60,292.00,288.38,212.90,38.15,28.09,28.04,19.58,711.69,509.24,486.21,277.24,194.67,221.51,36.56,495.07,491.28,426.30,238.25,135.19,132.15,175.66,332.75,304.09,233.80,46.83,27.33,21.69,23.67,64.28,67.85,47.07,20.50,14.17,15.24,14.54,13.79,13.59,13.39,13.46,13.46,13.44,13.29,14.10,14.00,13.72,14.17,13.97,13.74,13.25,13.72,13.95,14.50,14.53,14.33,13.87,13.13,15.00,14.39,14.69,14.43,14.39,14.09,13.02,14.78,15.01,15.16,14.96,14.66,14.45,13.25,15.09,15.60,15.09,14.83,15.09,14.53,13.78
58.50,13.34,12.30,12.27,12.14,12.85,11.92,11.15,13.36,13.01,13.21,13.51,12.96,12.75,12.75,38.55,27.42,17.55,13.67,13.69,13.24,11.65,170.73,176.12,53.37,26.69,22.74,19.39,18.82,344.50,343.40,273.81,78.76,32.43,33.21,22.63,871.08,716.74,638.09,394.80,265.27,327.12,55.41,725.98,712.51,621.17,411.28,269.40,224.46,275.31,405.62,381.17,308.10,65.46,38.34,26.87,30.12,91.04,97.53,59.88,25.09,15.65,15.24,15.99,28.68,27.07,17.28,15.24,13.67,13.44,13.86,14.10,14.00,13.72,14.17,13.97,13.74,13.25,13.72,13.95,14.50,14.53,14.33,13.87,13.13,15.00,14.39,14.69,14.43,14.39,14.09,13.02,14.78,15.01,15.16,14.96,14.66,14.45,13.25,15.09,15.60,15.09,14.83,15.09,13.13,13.78
88.50,13.34,13.82,12.27,12.14,12.85,11.92,11.15,13.36,13.01,13.21,13.51,12.96,12.75,12.75,50.66,33.68,17.55,13.67,13.69,13.24,11.65,199.57,206.83,74.86,35.14,22.74,19.39,18.82,381.80,383.77,321.98,125.62,34.10,34.71,24.38,964.37,821.16,756.50,517.75,341.45,437.39,76.30,815.42,807.18,674.96,488.19,352.73,288.79,320.35,432.33,403.77,325.85,106.93,50.28,31.40,33.00,100.33,104.55,63.02,28.99,17.93,16.69,15.99,49.31,46.45,28.57,17.42,13.67,13.44,13.86,14.10,14.00,13.72,14.17,13.97,13.74,13.25,13.72,13.95,14.50,14.53,14.33,13.87,13.13,15.00,14.39,14.69,14.43,14.39,14.09,13.02,13.87,15.01,15.16,14.96,14.66,14.45,13.25,15.09,15.60,15.09,14.83,15.09,13.13,13.78
118.50,14.76,15.29,13.79,13.54,12.85,11.92,11.15,13.36,13.01,13.21,13.51,12.96,12.75,12.75,60.27,39.46,19.07,13.67,14.48,13.24,11.65,226.39,232.11,85.56,41.49,22.74,19.39,18.82,424.96,421.14,370.33,152.56,36.32,36.47,26.67,978.69,865.46,808.04,611.39,386.24,510.31,89.34,904.09,891.24,752.91,570.66,432.17,369.54,368.34,463.40,435.92,353.84,179.36,64.87,37.30,36.24,108.52,110.39,69.78,35.61,21.11,18.09,17.45,58.24,55.38,35.20,19.65,13.67,13.44,13.86,16.50,16.15,15.32,16.38,15.47,13.74,13.63,13.72,13.95,14.50,14.53,14.33,13.87,13.63,15.00,14.39,14.69,14.43,14.39,14.09,13.02,13.87,15.01,15.16,14.96,14.66,14.45,13.25,15.09,14.20,15.09,14.83,15.09,13.13,13.78
148.50,16.92,16.71,16.04,15.98,15.77,15.18,15.28,13.36,13.01,13.21,13.51,12.96,12.75,12.75,47.79,28.54,17.13,13.67,14.48,13.24,11.65,207.07,186.03,67.46,31.65,21.06,17.89,16.56,393.85,350.00,290.31,125.75,29.49,31.75,25.24,899.21,762.61,669.47,523.99,287.39,447.04,78.59,1009.07,1017.01,955.60,805.50,596.78,476.80,429.72,647.27,622.27,524.42,331.24,158.90,86.24,67.40,114.45,120.80,88.75,43.65,23.80,19.54,17.45,63.72,61.53,44.61,23.04,15.88,14.83,13.86,20.25,19.29,18.35,18.63,15.47,13.74,13.63,13.72,13.95,14.50,14.53,14.33,13.87,13.63,15.00,14.39,14.69,14.43,14.39,14.09,13.02,13.87,15.01,14.28,14.96,14.66,14.45,13.25,15.09,14.20,15.09,13.39,15.09,13.13,11.61
178.50,17.93,18.13,16.04,18.01,18.58,17.83,15.28,13.36,15.11,13.21,13.51,12.96,12.75,12.75,19.92,16.14,14.64,12.25,13.01,13.24,11.65,101.05,71.78,29.20,19.64,18.54,15.53,14.24,161.65,115.17,89.14,44.53,22.29,26.09,25.24,664.06,402.99,245.62,212.26,179.21,287.54,56.67,960.92,955.98,968.14,904.82,558.17,429.09,365.64,882.95,877.44,832.76,675.11,477.57,251.56,200.55,133.27,141.68,111.90,53.23,25.99,21.11,18.89,72.77,69.57,53.13,26.97,15.88,14.83,15.27,22.56,20.71,18.40,17.07,16.87,13.74,13.63,13.72,13.95,14.50,14.53,14.33,13.87,13.63,15.00,14.39,14.69,14.43,14.39,14.09,13.02,13.87,15.01,14.28,14.96,13.79,14.45,13.25,15.09,14.20,15.09,13.39,15.09,13.13,13.13
207.50,17.93,18.13,18.21,18.01,18.58,17.83,15.28,15.22,15.11,15.44,14.91,14.86,12.75,12.75,19.92,15.01,15.42,13.82,14.40,13.24,11.65,51.57,34.92,18.68,16.36,18.54,15.53,14.24,85.19,52.24,46.70,27.16,22.29,26.09,23.07,628.69,319.81,180.85,180.71,164.03,257.24,52.66,928.14,933.91,948.71,901.17,511.42,370.43,348.33,863.01,862.75,838.18,738.01,564.37,288.92,216.18,142.46,138.02,93.56,47.62,25.15,21.11,18.89,72.53,58.19,41.56,24.72,18.08,16.23,15.27,18.76,16.99,16.24,15.65,15.47,13.74,13.63,13.72,13.95,14.50,14.53,14.33,13.87,13.63,15.00,14.39,14.69,13.02,14.39,12.68,13.02,13.87,15.01,14.28,14.96,13.79,14.45,13.25,15.09,14.20,15.09,13.39,15.09,13.13,13.13
