Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2,
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.00,0.00,190.20,0.00,0.00,392.67,0.00,379.95,0.00,44.46,0.00,192.78,0.00,380.61,121.68,78.76,229.97,0.00,0.00,0.00
3.50,0.00,0.00,163.58,0.00,0.00,369.57,0.00,330.51,0.00,47.08,0.00,200.00,0.00,402.34,108.64,78.55,229.97,0.00,0.00,0.00
21.50,0.00,0.00,194.38,0.00,0.00,401.70,0.00,372.01,0.00,45.78,0.00,203.66,0.00,349.20,142.82,81.54,115.82,0.00,0.00,0.00
51.50,0.00,0.00,150.45,0.00,0.00,370.18,0.00,372.01,0.00,47.38,0.00,156.86,0.00,381.70,112.15,74.59,191.20,0.00,0.00,0.00
81.50,0.00,0.00,128.04,0.00,0.00,350.24,0.00,372.01,0.00,47.38,0.00,218.97,0.00,362.25,111.64,81.42,191.20,0.00,0.00,0.00
111.50,0.00,0.00,152.97,0.00,0.00,417.65,0.00,356.45,0.00,42.51,0.00,240.75,0.00,382.11,102.62,81.42,316.11,0.00,0.00,0.00
141.50,0.00,0.00,170.65,0.00,0.00,370.96,0.00,338.44,0.00,48.35,0.00,340.22,0.00,339.22,112.36,81.45,322.84,0.00,0.00,0.00
171.50,0.00,0.00,192.09,0.00,0.00,340.61,0.00,338.44,1292.13,45.08,202.33,1259.81,0.00,359.81,184.02,82.30,322.84,0.00,0.00,0.00
201.50,0.00,0.00,165.12,0.00,0.00,353.68,0.00,393.38,1670.63,44.56,355.05,2029.08,0.00,396.18,283.45,80.51,145.11,0.00,0.00,0.00
231.50,0.00,0.00,147.66,0.00,0.00,365.18,0.00,466.62,1638.46,44.43,526.44,2026.84,0.00,882.45,301.76,80.93,178.99,0.00,0.00,0.00
261.50,767.46,0.00,158.69,0.00,0.00,377.13,0.00,545.97,1662.16,59.14,655.34,1904.28,0.00,1349.66,191.17,82.50,198.82,0.00,0.00,0.00
