Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207F2,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,57.19,319.66,0.92,63.17,12.20,53.04,44.52,0.00,0.30,40.74,4.94,0.30,279.54,13.00,0.30,0.30,22.24,0.30,0.30,23.18
13.50,41.20,287.51,0.92,82.25,12.15,61.23,91.80,3.05,0.30,52.19,5.00,0.30,257.78,13.00,0.30,0.30,24.57,0.30,0.30,23.96
42.50,61.34,261.75,0.92,39.50,12.50,45.47,52.69,3.05,0.30,33.05,5.00,0.30,260.27,13.00,0.30,0.30,24.60,0.30,0.30,25.85
72.50,32.60,271.12,0.92,64.91,12.14,59.75,59.51,3.02,0.30,57.83,10.50,0.30,275.03,13.00,0.30,0.30,24.77,0.30,0.30,22.03
102.50,36.47,240.48,0.92,70.77,10.58,47.19,56.93,2.75,0.30,30.21,10.50,0.30,327.13,13.00,0.30,0.30,24.23,0.30,27.77,25.33
133.50,36.15,252.20,0.92,36.32,12.29,55.68,61.90,3.05,92.77,40.55,2.14,0.30,1069.44,13.00,0.30,0.30,23.96,0.30,27.77,22.00
163.50,24.85,235.40,0.92,41.16,10.70,63.05,56.08,2.99,225.32,41.20,7.53,0.30,2186.51,14.95,0.30,0.30,22.64,0.30,42.72,25.92
193.50,39.44,199.40,0.92,41.43,12.75,572.68,53.13,2.99,326.85,64.24,3.97,126.85,2589.41,14.95,0.30,133.06,31.31,0.30,41.20,22.97
223.50,53.10,205.71,0.92,39.83,10.84,1705.30,119.02,3.00,372.62,341.63,6.61,246.02,2590.41,14.95,38.50,280.87,25.57,0.30,0.30,23.01
253.50,47.77,186.21,0.92,43.95,10.45,1952.61,142.27,2.96,415.35,875.62,6.61,289.53,2344.76,25.76,253.10,249.89,25.57,0.30,23.80,22.03
283.50,52.92,184.20,421.39,52.97,11.84,2000.66,683.91,2.96,399.94,870.96,6.61,381.78,2204.65,17.88,675.52,157.78,25.57,0.30,23.80,24.62
313.50,53.96,170.08,941.85,41.69,11.89,2029.59,1929.74,2.79,500.39,809.24,10.80,426.34,2277.90,7.14,741.44,115.40,25.57,0.30,22.58,22.03
342.00,32.04,227.58,1219.30,71.95,12.75,2043.59,1879.18,4.01,536.81,760.47,4.97,505.07,2329.87,11.09,629.97,115.40,27.41,0.30,34.18,21.51
