Time,214-CO-J3,214-CO-F2,209-CO-H2,209-CO-F2,209-CO-C2,207-CO-H2,207-CO-F2,207-CO-C2,307-CO-H2,307-CO-F2,307-CO-C2,302-CO-H2,302-CO-F2,302-CO-C2,301-CO-H2,301-CO-F2,301-CO-C2,202-CO-J3,202-CO-F2,202-CO-C2
s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
0.0,0.0,0.000257,0.000444,8.2e-05,0.000263,8.7e-05,0.000201,0.0,0.0,0.000182,1.7e-05,0.0,0.0,0.0,4.6e-05,0.0,7e-06,0.0,0.0,1.8e-05
9.0,0.0,0.000222,0.000427,8.9e-05,0.000263,0.000113,0.000215,0.0,0.0,0.000176,1.6e-05,0.0,0.0,0.0,8.8e-05,0.0,7e-06,0.0,0.0,1.7e-05
32.5,0.0,0.000252,0.000404,8.2e-05,0.000263,6.8e-05,0.000232,0.0,0.0,0.000172,1.6e-05,0.0,0.0,0.0,0.000159,0.0,8e-06,0.0,0.0,1.5e-05
62.5,0.0,0.000251,0.000411,9.7e-05,0.000265,0.000102,0.000204,0.0,0.0,0.000177,1.6e-05,0.0,0.0,0.0,0.000225,0.0,6e-06,0.0,0.0,1.5e-05
92.5,0.0,0.000213,0.000434,6.7e-05,0.000263,4.5e-05,0.000221,0.0,0.0,0.000174,1.6e-05,0.0,0.0,0.0,0.000289,0.0,6e-06,0.0,0.0,2.3e-05
122.5,0.0,0.000229,0.000399,7.4e-05,0.000265,9.1e-05,0.000212,0.0,0.0,0.00015,1.6e-05,0.0,0.0,0.0,0.000389,0.0,6e-06,0.0,0.0,3.1e-05
152.5,0.0,0.000223,0.000403,6.8e-05,0.000264,5.6e-05,0.000214,0.0,0.0,0.00015,1.9e-05,0.0,0.0,0.0,0.000778,0.0,7e-06,0.000356,0.000268,4e-05
182.5,0.0,0.000248,0.000381,7.5e-05,0.000264,7.2e-05,0.000212,0.0,0.0,0.000151,1.3e-05,0.0,0.0,3e-06,0.001483,2.6e-05,7e-06,0.000356,0.000931,5.1e-05
212.5,0.0,0.00022,0.000388,9e-05,0.000264,7.1e-05,0.000217,0.0,0.0,0.000158,1.3e-05,0.0,0.0,3e-06,0.001801,3.6e-05,1.6e-05,0.000356,0.001327,5.9e-05
242.5,0.0,0.000222,0.000391,8e-05,0.000262,0.000106,0.000217,0.0,0.0,0.00015,1.9e-05,0.0,0.0,6e-06,0.001978,6.5e-05,2.4e-05,9.5e-05,0.00156,6.1e-05
272.5,0.0,0.000237,0.000397,8.7e-05,0.000262,7.7e-05,0.000243,0.0,0.0,0.000146,1.9e-05,0.0,0.0,8e-06,0.001908,6.7e-05,2.4e-05,9.5e-05,0.001665,6.7e-05
302.5,0.0,0.000243,0.000409,8.5e-05,0.000261,3.8e-05,0.000208,0.0,0.0,0.000158,1.9e-05,0.0,0.0,8e-06,0.00198,3.7e-05,3.3e-05,9.5e-05,0.001782,6.6e-05
332.5,0.0,0.000247,0.000393,9.5e-05,0.000261,5.6e-05,0.00021,0.0,0.0,0.000115,1.8e-05,0.0,0.0,8e-06,0.001984,4.1e-05,4.1e-05,9.5e-05,0.001786,6.9e-05
362.5,0.0,0.00026,0.000406,9.4e-05,0.00026,3.7e-05,0.000232,0.0,0.0,0.000125,1.7e-05,0.0,0.0,8e-06,0.002062,6.4e-05,3.7e-05,9.5e-05,0.001785,6.4e-05
392.5,0.0,0.000255,0.000385,7e-05,0.000261,5.7e-05,0.000212,0.0,0.0,0.000118,1.8e-05,0.0,0.0,7e-06,0.002012,5.2e-05,4.1e-05,9.5e-05,0.001799,6.9e-05
421.5,0.0,0.000305,0.000407,9.2e-05,0.000261,7.1e-05,0.000231,0.0,0.0,0.000113,1.6e-05,0.0,0.0,1.1e-05,0.002049,6.5e-05,4.3e-05,9.5e-05,0.001746,6.9e-05
450.5,0.0,0.00027,0.000381,0.000104,0.000259,0.000106,0.000232,0.0,0.0,0.000124,1.7e-05,0.0,0.0,1.1e-05,0.002022,6.8e-05,4.3e-05,9.5e-05,0.001863,6.9e-05
481.0,0.0,0.000293,0.000375,0.000112,0.000259,7.2e-05,0.000261,0.0,0.0,0.000112,1.7e-05,0.0,0.0,1.2e-05,0.001993,4.9e-05,4.5e-05,0.000204,0.00183,6.7e-05
512.0,0.0,0.000282,0.000357,8.9e-05,0.00026,6.9e-05,0.000221,0.0,0.0,0.000115,1.7e-05,0.0,0.0,1.2e-05,0.001939,4.5e-05,4.5e-05,0.000204,0.001904,6.8e-05
542.5,0.0,0.000282,0.000353,0.000115,0.000259,8.5e-05,0.000186,0.0,0.0,0.000117,1.7e-05,0.0,0.0,1.2e-05,0.00193,2.7e-05,4.1e-05,0.000204,0.001861,6.7e-05
572.5,0.0,0.000297,0.000348,0.0001,0.000258,5.1e-05,0.000219,0.0,0.0,0.000109,1.7e-05,0.0,0.0,1.7e-05,0.001921,4.1e-05,4.2e-05,8.8e-05,0.001812,6.4e-05
602.5,0.0,0.000294,0.000358,0.000121,0.000258,6.7e-05,0.000182,0.0,0.0,0.000117,1.6e-05,0.0,0.0,6e-06,0.001873,4.1e-05,4.5e-05,8.8e-05,0.001703,6.8e-05
632.5,0.0,0.000315,0.000382,0.000155,0.000257,4.1e-05,0.00021,0.0,0.0,0.000157,1.7e-05,0.0,0.0,6e-06,0.001835,3.6e-05,4.4e-05,0.000105,0.001693,7.2e-05
662.5,0.0,0.000313,0.000364,0.000153,0.000256,3.2e-05,0.000227,0.0,0.0,0.000386,1.7e-05,0.0,0.0,6e-06,0.001823,5e-05,4.3e-05,0.000105,0.001708,7.8e-05
692.5,0.0,0.00028,0.000374,0.00015,0.000257,4.8e-05,0.000242,0.0,6.9e-05,0.000633,1.8e-05,0.0,0.0,1.1e-05,0.00183,3.4e-05,4.3e-05,0.000158,0.001763,9.1e-05
722.5,0.0,0.00028,0.000359,0.000181,0.000256,9.3e-05,0.000677,0.0,0.000122,0.000631,1.6e-05,0.0,0.0,1.7e-05,0.001766,4.8e-05,3.9e-05,9.2e-05,0.001927,8.7e-05
751.5,0.0,0.000264,0.000381,0.000198,0.000256,0.000111,0.00122,0.0,0.000162,0.000478,1.8e-05,0.0,0.0,2.3e-05,0.001772,4.4e-05,4.4e-05,3.5e-05,0.002003,8.9e-05
780.5,0.0,0.000287,0.000383,0.000167,0.000257,4.3e-05,0.000628,0.0,0.000162,0.000358,2.2e-05,0.0,0.0,2.5e-05,0.001757,5.2e-05,5e-05,0.000313,0.001982,8.4e-05
811.0,0.0,0.000283,0.000385,0.000159,0.000256,8.9e-05,0.000282,0.0,0.000116,0.000286,2.2e-05,0.0,0.0,2.4e-05,0.001667,4.2e-05,5.8e-05,0.000313,0.002045,8.1e-05
842.0,0.0,0.000271,0.000377,0.000195,0.000257,6.1e-05,0.000237,0.0,4.5e-05,0.000168,1.6e-05,0.0,0.0,1.5e-05,0.001631,3.2e-05,6.2e-05,0.000209,0.00212,7.5e-05
872.5,0.0,0.000301,0.000391,0.000188,0.000256,0.000418,0.000234,0.0,4.5e-05,0.000171,1.6e-05,0.0,0.0,1.2e-05,0.001554,2e-05,5.3e-05,0.000209,0.002076,7.8e-05
902.5,0.0,0.000238,0.000395,0.000173,0.000256,0.001704,0.000176,0.0,4.5e-05,0.000165,1.5e-05,0.0,0.0,1.2e-05,0.001426,3.1e-05,5.3e-05,0.000209,0.002031,7.8e-05
932.5,0.0,0.000253,0.000371,0.000194,0.000254,0.001741,0.000246,0.0,4.5e-05,0.000192,1.7e-05,0.0,0.0,1.2e-05,0.001445,2.2e-05,4.9e-05,7e-05,0.001984,7e-05
