Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,-8416.42,-9490.20
1.00,3348.00,3756.45
16.50,10329.66,11722.52
46.50,12381.18,13989.01
76.50,9090.75,10799.70
106.50,18174.22,21124.18
136.50,43345.44,49583.70
165.50,86058.89,93727.68
195.00,91569.78,110278.59
225.50,91723.34,122239.57
255.50,95900.91,119827.70
285.50,104150.19,119046.07
316.00,107596.32,124832.22
346.50,98474.99,111962.51
376.50,113374.00,127022.28
406.50,112425.06,126556.32
436.50,110488.76,124051.96
465.50,103666.27,116197.33
495.50,107111.64,120209.69
526.50,108749.18,121923.01
556.50,112621.84,126238.98
586.50,98026.51,109757.47
616.50,110266.91,123135.87
645.00,106562.53,119140.40
675.00,104526.80,116915.15
706.50,111692.55,124810.96
736.50,102653.46,114371.11
765.50,113400.81,126483.83
795.50,104509.63,116779.11
826.50,114546.81,127308.20
856.50,108589.34,120886.82
886.00,110472.31,122727.75
916.00,111779.46,124294.91
946.50,106256.97,118825.00
976.50,106157.39,118460.89
1006.50,104729.26,116661.71
1035.00,98283.66,109216.33
1065.00,97563.19,108329.03
1096.50,106372.85,117870.13
1126.50,91771.10,102148.61
1155.00,96458.87,107300.63
1185.00,90414.02,100304.66
1216.50,95315.39,105590.37
1245.50,106024.77,117529.35
1275.50,96135.64,106381.73
1306.50,95872.25,106479.01
1336.50,102357.26,113815.42
1366.50,103611.48,114838.86
1396.50,100757.86,112134.37
1426.00,103265.62,114891.92
1456.00,106067.19,118155.03
1486.50,101357.76,111550.83
1516.50,54698.30,60507.37
1546.50,-429139.34,-474036.74
1576.50,-640961.61,-707465.03
1604.50,-609536.50,-678496.52
1632.50,-254137.56,-280208.01
1663.00,-45956.20,-50653.40
1692.00,-40947.93,-45162.70
1722.00,-4968.70,-5601.96
1753.50,424.76,467.33
1784.00,424.76,467.33
1814.50,424.76,467.33
1844.50,424.76,467.33
1874.50,424.76,467.33
1905.00,15985.61,19886.05
1935.50,42979.95,50484.89
