Time,South Central Fans,North Central Fans
s,m3/s,m3/s
0.00,-0.40,1.32
11.50,-0.52,0.91
37.50,-0.62,0.84
67.50,-0.63,0.84
97.50,-0.52,0.54
127.00,3.02,4.50
156.50,54.68,69.30
187.00,64.25,170.26
217.50,63.75,203.72
247.00,63.75,206.55
276.50,53.80,206.46
306.50,55.31,206.70
336.50,54.87,206.64
366.50,54.21,206.64
397.00,52.96,202.75
427.00,52.96,206.70
456.50,54.06,206.70
486.50,53.49,207.51
516.50,55.51,207.29
547.00,55.51,207.14
577.00,31.66,207.23
602.50,32.20,207.53
630.00,32.07,207.07
664.00,29.88,207.96
696.50,13.33,203.04
727.00,62.83,206.57
756.00,94.23,207.03
784.50,122.72,207.75
816.00,126.60,207.68
847.00,125.73,208.08
877.00,124.62,207.68
907.50,123.71,207.75
937.00,124.15,207.75
966.00,125.08,207.89
996.50,125.82,207.68
1026.50,125.86,207.75
1056.00,125.79,207.65
1086.00,124.94,207.54
1116.00,125.29,208.11
1146.50,149.96,208.10
1176.50,169.36,207.77
1206.50,170.57,207.94
1236.50,168.33,208.14
1266.50,168.09,208.19
1296.50,169.27,208.37
1326.50,169.66,208.07
1356.50,168.60,208.56
1386.50,167.45,208.36
1416.50,165.34,207.86
1446.50,168.66,208.68
1476.00,172.53,208.29
1506.00,169.02,208.20
1536.50,170.55,208.18
1566.50,167.98,208.31
1596.50,169.31,209.29
1626.50,169.05,209.03
1656.50,171.06,208.98
1686.50,170.28,208.83
1716.50,169.25,208.51
1746.50,170.81,208.39
1776.50,171.45,209.26
1806.50,168.33,208.46
1834.50,170.83,199.60
1864.00,170.94,193.71
1894.50,169.02,193.04
1923.50,170.84,193.83
1954.00,171.06,193.78
1984.50,168.50,193.68
2015.00,171.46,192.84
2046.00,169.21,193.79
2075.50,166.89,192.82
2105.00,80.07,192.82
2135.50,5.29,190.82
2165.50,3.13,191.35
2195.50,2.43,191.53
2226.00,15.03,189.96
2255.50,52.57,190.79
2285.50,60.01,191.11
2316.00,65.58,190.64
2346.00,65.33,190.45
2375.50,64.04,190.03
2405.50,65.69,190.62
2436.00,64.82,190.46
