Time,South Central Fans,North Central Fans
s,C,C
0.00,17.71,19.01
11.50,17.71,19.01
37.50,17.71,19.01
67.50,17.71,19.01
97.50,17.71,19.01
127.00,17.71,19.01
157.00,17.71,19.01
187.50,17.71,19.01
217.50,17.71,19.01
247.50,17.71,19.01
276.50,17.71,19.01
306.00,17.71,19.01
336.00,19.70,19.01
366.00,21.69,22.37
396.50,22.13,26.87
426.50,22.13,29.81
456.50,22.13,29.23
486.50,22.13,29.29
515.50,22.13,28.88
545.00,22.13,28.77
576.50,22.13,28.22
601.50,22.13,28.22
631.50,22.13,27.67
667.50,22.26,27.67
697.50,22.26,27.67
727.50,22.26,27.39
757.50,22.26,27.39
787.50,22.26,27.37
817.50,22.15,27.38
847.50,22.15,27.38
877.00,22.60,27.34
907.00,22.60,27.72
937.50,22.60,27.61
967.50,22.38,27.72
997.50,22.38,27.84
1027.50,22.38,28.06
1057.50,22.38,28.16
1087.50,22.38,28.49
1117.50,22.38,28.82
1147.50,22.38,28.93
1177.50,22.38,28.93
1207.50,22.38,28.93
1237.50,22.38,28.93
1267.00,22.38,29.16
1297.00,22.38,29.94
1327.50,22.38,30.17
1357.50,22.38,30.96
1387.50,22.38,31.19
1417.50,22.38,31.42
1447.50,22.38,31.79
1477.50,22.38,31.90
1507.50,22.38,32.01
1537.50,22.38,32.01
1567.50,22.38,32.01
1597.50,22.38,32.01
1627.50,22.38,32.01
1657.50,22.38,32.28
1687.50,22.60,32.51
1717.50,22.71,33.10
1747.50,22.71,33.32
1777.50,22.71,33.55
1807.50,22.71,33.55
1837.50,22.71,33.55
1867.50,22.71,33.55
1897.50,22.71,33.68
1927.50,22.71,33.69
1957.50,22.71,34.27
1987.50,22.71,34.49
2017.50,22.71,34.94
2047.50,22.38,35.37
2077.50,22.38,35.61
2107.50,22.38,36.52
2137.50,22.38,36.64
2167.50,22.38,36.97
2197.50,22.38,37.41
2227.50,22.38,37.41
2257.50,22.38,36.95
2287.50,22.38,35.87
2317.50,22.38,34.34
2347.50,22.38,33.45
2377.50,22.38,33.06
2406.00,22.38,32.29
2434.50,22.38,31.84
