Time,South Central Fans,North Central Fans
s,C,C
0.00,10.76,10.27
15.50,10.76,10.27
45.50,10.76,10.27
75.50,10.76,10.27
105.50,10.76,10.27
135.50,10.76,10.01
165.50,12.59,7.46
195.50,25.98,7.36
225.50,39.71,7.36
255.50,43.64,7.36
285.50,44.63,7.25
315.50,45.21,7.08
345.50,46.44,7.08
375.50,47.52,7.08
404.50,48.86,7.08
434.00,49.79,7.08
465.00,50.70,6.97
495.50,51.67,6.97
525.50,52.52,6.63
555.50,53.10,6.63
585.50,54.29,6.63
615.50,54.69,6.63
645.50,55.07,6.63
675.50,56.31,6.63
705.50,56.87,6.63
735.50,57.59,6.63
765.50,57.77,6.31
795.50,58.92,6.31
825.50,59.23,6.31
855.50,59.73,6.31
885.50,60.51,6.31
915.50,60.80,6.14
945.50,61.25,5.98
975.50,61.64,5.75
1005.50,62.24,5.58
1035.00,62.15,5.58
1065.00,62.39,5.58
1094.00,62.59,5.58
1124.00,63.54,5.58
1155.50,63.49,5.58
1184.50,63.72,5.41
1213.50,63.72,5.41
1244.50,64.27,5.41
1275.00,64.63,5.41
1303.50,65.13,5.41
1332.50,65.59,5.41
1362.50,62.74,5.41
1392.50,57.42,5.41
1422.50,51.01,5.41
1453.50,44.89,5.41
1484.50,40.26,5.41
1514.50,37.09,5.41
1544.00,34.79,5.41
1573.00,32.89,5.41
1603.00,31.88,5.41
1633.00,30.72,5.41
1664.00,30.16,5.18
1694.50,29.50,5.18
1724.00,29.17,5.07
1754.50,29.17,4.96
1784.50,28.72,4.96
1814.50,28.05,4.96
1844.50,27.94,4.96
1874.50,27.71,4.96
1904.00,27.38,4.96
1933.50,27.05,4.96
1964.50,26.72,4.96
1994.50,26.61,4.85
2023.50,26.06,4.85
2054.50,25.95,4.85
2085.50,25.39,4.85
2115.50,25.39,4.75
2145.50,25.39,4.75
