Time,202-U-A2,202-U-B2,202-U-C2,202-U-D2,202-U-E2,202-U-F2,202-U-G2,301-U-A2,301-U-B2,301-U-C2,301-U-D2,301-U-E2,301-U-F2,301-U-G2,301-U-H2,302-U-A2,302-U-B2,302-U-C2,302-U-D2,302-U-E2,302-U-F2,302-U-G2,302-U-H2,304-U-A2,304-U-B2,304-U-C2,304-U-D2,304-U-E2,304-U-F2,304-U-G2,304-U-H2,305-U-A2,305-U-B2,305-U-C2,305-U-D2,305-U-E2,305-U-F2,305-U-G2,305-U-H2,307-U-A2,307-U-B2,307-U-C2,307-U-D2,307-U-E2,307-U-F2,307-U-G2,307-U-H2,207-U-A2,207-U-B2,207-U-C2,207-U-D2,207-U-E2,207-U-F2,207-U-G2,207-U-H2,208-U-A2,208-U-B2,208-U-C2,208-U-D2,208-U-E2,208-U-F2,208-U-G2,208-U-H2,209-U-A2,209-U-B2,209-U-C2,209-U-D2,209-U-E2,209-U-F2,209-U-G2,209-U-H2,214-U-A2,214-U-B2,214-U-C2,214-U-D2,214-U-E2,214-U-F2,214-U-G2
s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
0,1.0,1.0,0.8,0.9,1.1,1.2,1.3,0.7,0.6,0.6,0.5,0.4,0.5,0.4,0.3,0.7,0.7,0.6,0.5,0.4,0.4,0.4,0.3,0.8,0.8,0.6,0.4,0.5,0.4,0.4,0.3,0.5,0.8,0.7,0.5,0.5,0.5,1.0,1.3,0.5,0.5,0.8,0.8,0.7,0.7,0.7,0.5,0.6,0.8,0.9,0.8,0.7,0.6,0.7,0.7,0.7,0.8,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.9,0.7,0.6,0.5,0.6,0.5,0.6,1.2,1.2,1.2,1.1,1.1,1.2,1.2
8,0.4,0.6,0.5,0.4,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.3,0.2,0.1,0.2,0.0,-0.2,1.2,1.2,1.0,0.9,0.7,-0.5,-1.1,-1.8,-0.2,-0.1,0.1,0.2,0.5,1.3,2.6,3.7,-0.2,0.1,0.2,0.2,0.8,1.7,2.1,2.2,0.5,0.6,0.8,0.7,0.9,1.2,1.9,2.2,0.9,1.0,0.9,0.8,0.6,0.6,0.7,0.5,1.1,0.9,0.9,0.8,0.7,0.8,0.7,0.6,1.5,1.6,1.5,1.4,1.4,1.6,1.5
30,0.6,0.5,0.6,0.2,0.6,0.7,0.6,0.3,0.3,0.2,0.3,0.1,0.0,0.0,-0.1,0.8,0.8,0.6,0.5,0.5,-0.5,-1.1,-2.0,1.4,1.6,1.4,1.0,0.6,-0.6,-1.2,-2.2,-0.7,-0.6,-0.1,0.2,0.9,1.6,3.4,5.2,-0.7,-0.5,-0.5,-0.1,1.1,2.7,3.9,4.5,-0.6,-0.5,-0.5,0.0,1.0,2.3,3.5,4.3,0.5,0.6,0.6,0.7,1.0,1.5,2.0,1.7,1.1,1.1,1.0,0.8,0.8,0.7,0.8,0.7,1.8,1.8,1.7,1.6,1.6,1.8,1.7
60,1.0,1.2,1.1,0.8,1.1,1.0,0.9,0.9,0.9,0.8,0.6,0.6,0.4,0.2,-0.5,1.2,1.2,1.0,0.8,0.8,0.4,-0.3,-0.9,1.8,1.8,1.7,1.3,1.0,0.1,-0.9,-1.1,-1.0,-0.8,-0.1,0.2,1.2,2.0,4.3,6.4,-1.0,-0.4,-0.6,-0.1,1.6,3.2,4.5,5.2,-0.5,-0.5,-0.6,-0.2,1.4,3.1,4.4,5.2,-1.0,-1.0,-1.0,-0.1,1.4,3.2,4.6,5.7,1.0,0.9,0.9,0.9,1.0,1.2,1.5,1.7,2.1,2.2,2.0,1.9,2.0,2.1,2.0
90,1.2,1.3,1.2,1.2,1.4,1.3,1.2,1.0,1.0,1.0,0.8,0.7,0.6,0.5,0.0,1.2,1.3,1.2,0.9,0.9,0.7,-0.2,-0.8,2.1,2.1,1.8,1.5,1.0,0.0,-0.4,-1.2,-1.3,-0.4,-0.2,0.3,1.3,2.6,5.1,6.5,-1.3,0.0,-0.3,0.1,1.9,3.5,4.7,5.4,-0.4,-0.5,-0.4,0.3,1.8,3.5,4.8,5.6,-0.7,-0.8,-0.9,0.0,1.9,4.0,5.5,6.4,-0.9,-0.9,-0.8,0.7,2.0,3.1,4.3,5.1,2.4,2.5,2.3,2.2,2.2,2.5,2.3
120,1.4,1.6,1.6,1.5,1.5,1.5,1.5,1.2,1.2,1.1,1.0,0.9,0.7,0.7,-0.2,1.4,1.5,1.5,1.2,1.3,1.1,-0.1,-0.6,2.4,2.4,2.1,1.5,1.0,0.0,-0.6,-1.1,1.5,1.0,-0.5,0.2,1.8,3.4,4.6,5.5,1.5,-0.5,-0.7,1.1,2.8,4.3,5.4,6.0,-0.6,-0.5,-0.7,0.7,2.4,3.9,5.3,6.0,-0.9,-0.9,-1.0,0.1,2.5,4.5,5.9,7.0,-1.3,-1.3,-0.9,0.3,2.4,3.7,5.0,5.9,2.7,2.8,2.6,2.5,2.4,2.8,2.4
150,1.7,1.8,1.8,1.6,1.9,2.0,2.0,1.4,1.5,1.5,1.2,0.9,0.8,1.0,0.3,1.7,1.8,1.6,1.4,1.4,1.3,0.3,-0.4,2.5,2.5,2.3,1.9,1.4,0.2,-0.4,-1.0,2.4,1.8,0.2,1.7,3.7,4.2,4.7,4.8,2.4,-0.4,-0.5,1.2,3.1,4.5,5.6,6.0,-0.6,-0.6,-0.7,1.2,2.9,4.3,5.5,6.2,-1.3,-1.3,-1.1,0.6,3.1,4.9,6.3,7.4,-1.5,-1.5,-1.0,0.9,2.8,3.9,5.3,6.2,2.9,3.0,2.7,2.7,2.7,3.0,2.5
180,1.9,1.9,2.1,1.8,2.0,2.1,2.0,1.4,1.5,1.4,1.2,0.9,0.8,0.9,0.5,1.8,1.9,1.8,1.5,1.4,1.4,0.5,-0.3,2.5,2.6,2.3,1.9,1.6,0.4,-0.2,-1.0,2.9,2.9,1.2,3.8,4.5,4.3,4.3,4.1,2.9,-0.6,-0.2,1.6,3.3,4.4,5.7,6.1,-0.6,-0.7,-0.5,1.6,3.0,4.3,5.6,6.3,-1.5,-1.4,-1.1,0.7,3.2,5.0,6.5,7.5,-1.7,-1.6,-0.7,0.8,2.8,4.2,5.4,6.3,2.5,3.0,3.5,4.1,3.1,1.2,-0.7
210,2.0,2.3,2.2,2.2,2.1,2.0,2.0,1.4,1.5,1.5,1.2,1.0,0.8,0.9,0.7,1.8,1.9,1.8,1.4,1.3,1.4,0.7,-0.1,2.5,2.6,2.3,1.9,1.6,0.4,-0.1,-0.9,3.4,3.7,1.8,4.6,5.0,4.5,4.0,2.8,3.4,-0.6,0.3,1.7,3.4,4.5,5.8,6.1,-0.7,-0.7,-0.5,1.4,3.1,4.5,5.8,6.5,-1.8,-1.6,-0.8,0.8,3.4,5.0,6.6,7.6,-1.8,-1.7,-0.7,1.3,3.2,4.3,5.6,6.4,2.4,3.0,3.5,3.7,3.2,1.2,-0.4
