Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,1065.76,609.20
9.00,6579.41,6469.16
32.50,9738.60,10053.67
62.50,11656.27,12033.74
92.50,12843.73,13260.13
122.50,12789.91,13200.51
152.50,31755.99,32748.52
182.50,9992.05,10823.39
212.50,8366.18,8625.96
242.50,14364.87,14793.44
272.50,19911.73,20529.66
302.50,20780.97,21523.14
332.50,18760.62,19342.81
362.50,16192.53,16694.99
392.50,14959.91,15437.29
421.50,16155.26,16656.49
450.50,14035.02,14646.95
481.00,12356.90,12663.04
512.00,12441.91,12827.93
542.50,14722.67,14953.39
572.50,15618.53,16327.83
602.50,20051.87,20673.93
632.50,15322.52,16256.16
662.50,12007.07,12379.38
692.50,10563.82,10891.40
722.50,11873.24,12241.42
751.50,13120.82,13527.67
780.50,14075.00,14511.44
811.00,15031.01,15309.13
842.00,14929.00,15384.27
872.50,13555.98,13976.38
902.50,12269.75,12650.26
932.50,11975.38,12158.16
962.50,11533.48,11891.18
992.50,14025.28,14460.68
1022.50,13015.00,13428.13
1052.50,13380.95,13796.00
1082.50,13000.75,13403.99
1112.50,15659.97,16145.65
1142.00,16250.20,16754.17
1172.00,15142.92,15571.13
1202.00,16017.02,16350.15
1232.00,12820.13,13373.98
1262.50,14816.12,15335.46
1292.50,16352.96,16860.09
1322.00,16419.11,16928.30
1352.00,17350.75,17878.66
1382.50,16676.66,17193.54
1412.00,16013.45,16509.94
1441.68,17146.06,17677.75
1471.50,16343.00,16849.78
1502.00,15560.54,16043.03
1532.00,10295.22,10614.44
1561.50,11781.10,12146.40
1591.50,14875.23,15336.48
1621.50,16928.37,17453.23
1650.50,19177.91,19772.54
1680.50,20197.10,20823.34
1711.50,19037.25,19627.55
1742.00,22196.19,22884.41
1772.00,33435.93,34472.53
1801.50,21766.67,22441.48
1831.50,34680.00,35755.12
1862.00,53055.98,54700.76
1892.00,27485.76,28337.85
1921.50,15243.91,15716.49
1951.50,10177.69,10493.21
1981.50,9568.17,9864.80
2011.50,7734.20,7973.95
2041.50,7147.68,7369.25
2071.50,5513.06,5683.99
2102.00,5228.75,5391.08
2132.50,4509.95,4650.08
2162.00,3960.63,4083.80
2192.00,3115.43,3212.49
2222.50,2077.61,2142.44
2252.00,33815.21,34870.88
2282.00,8533.47,8799.88
2312.50,352.01,363.00
2342.00,352.01,-422.63
