Time,Loop 214,Loop 209,Loop 208,Loop 207,Loop 307,Loop 305,Loop 304,Loop 302,Loop 301,Loop 202
s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
1.00,35.62,28.33,28.98,29.43,36.67,44.54,20.89,24.10,25.19,12.60
20.00,31.54,25.95,27.74,31.26,36.31,46.03,18.60,23.37,23.65,18.26
52.50,26.64,24.26,23.87,31.65,35.63,46.57,13.41,19.36,18.22,9.56
82.50,22.36,25.03,21.63,31.03,35.39,47.66,12.24,18.00,16.48,6.13
112.50,19.24,23.76,22.54,29.90,33.42,44.44,10.94,17.27,14.80,6.45
142.50,5.60,25.83,23.78,32.55,46.24,61.08,17.96,24.73,22.70,12.96
172.50,-45.74,15.87,27.02,54.68,66.97,90.35,42.31,47.26,47.68,55.60
202.50,-84.97,-4.02,16.56,53.81,67.69,98.22,50.61,58.09,63.01,74.03
232.50,-108.12,-19.26,9.36,42.76,55.22,86.55,41.96,50.73,55.17,61.90
262.50,-112.71,-21.29,6.39,38.97,53.19,81.07,37.54,49.26,53.39,62.10
292.50,-108.16,-18.14,7.61,42.51,55.93,84.57,37.22,47.77,52.42,65.95
322.50,-105.49,-12.57,11.80,47.44,57.30,89.10,43.49,52.94,57.05,68.68
352.50,-110.75,-10.25,13.07,49.64,59.67,89.85,44.31,53.01,58.35,69.44
382.50,-107.42,-10.11,12.57,47.49,59.79,90.42,43.41,51.73,56.08,67.34
412.50,-104.05,-9.36,11.90,45.38,61.24,91.43,43.51,51.58,55.67,67.44
442.50,-103.27,-7.90,14.00,51.00,64.76,93.67,45.52,53.42,58.22,69.72
472.50,-97.31,-3.72,16.87,53.96,67.93,98.56,46.16,56.07,59.67,71.00
502.50,-102.40,0.04,19.68,59.01,70.59,99.66,46.52,56.61,61.17,75.22
532.50,-98.94,3.06,22.37,60.75,72.75,101.21,49.29,57.46,62.49,77.75
562.50,-101.86,0.08,20.55,59.15,73.38,101.49,49.22,59.06,63.45,73.04
592.50,-103.45,-2.88,19.17,56.65,67.06,97.02,47.61,57.01,61.93,73.34
622.50,-105.28,-5.31,17.92,55.26,69.92,98.44,47.96,56.93,61.09,74.83
652.50,-103.97,-2.52,17.67,54.12,68.47,97.94,47.10,56.85,60.48,82.11
682.00,-104.92,-5.36,15.48,51.72,66.53,95.35,44.05,53.17,57.60,73.65
712.00,-99.91,-4.74,14.87,47.96,61.86,90.01,39.21,48.17,50.82,65.85
742.50,-83.76,3.12,16.71,46.24,55.33,80.60,34.37,41.32,42.62,48.83
772.00,-70.59,11.33,22.74,52.97,61.57,86.25,33.87,41.14,43.41,52.31
802.00,-65.87,16.74,29.24,61.76,65.27,89.33,41.68,45.83,47.83,53.39
832.00,-64.27,17.98,32.68,63.26,67.49,94.21,44.31,49.68,50.81,55.25
861.50,-60.93,18.85,32.82,65.65,70.15,97.07,43.22,50.39,51.26,53.82
891.50,-60.82,19.34,32.29,61.83,69.83,97.38,42.02,49.02,49.63,53.16
921.50,-63.96,17.68,31.69,59.92,66.09,94.88,41.45,47.16,48.84,46.06
951.50,-64.15,17.01,29.39,60.97,65.12,92.86,41.59,47.05,47.74,49.08
982.00,-64.80,18.35,32.88,61.53,66.47,93.78,43.55,47.61,48.66,52.02
1012.00,-67.27,16.91,32.45,59.77,65.84,92.51,38.41,44.67,46.21,50.38
1042.00,-64.10,19.11,34.26,63.38,67.71,92.75,43.00,48.77,49.62,52.05
1072.00,-62.19,19.09,33.53,65.12,67.44,94.68,43.60,49.43,50.46,54.32
1101.50,-62.66,18.35,32.80,62.25,66.82,95.47,41.32,47.05,48.72,51.38
1131.50,-64.56,15.82,28.99,55.31,64.53,91.43,38.48,44.61,43.87,46.45
1161.50,-61.70,18.32,28.85,53.08,57.53,81.65,29.01,36.09,33.14,23.97
1192.00,-41.52,21.11,30.73,49.87,53.88,79.60,24.21,30.66,26.16,22.76
1222.50,-40.66,22.93,33.16,50.09,55.54,80.16,25.01,31.01,26.33,25.04
1252.00,-38.00,25.37,35.15,54.07,57.79,83.76,28.30,31.60,27.79,28.01
1281.50,-33.53,28.92,39.21,59.32,60.02,86.60,31.92,35.53,31.66,30.52
1311.50,-34.60,29.30,41.29,61.49,63.00,88.72,32.67,37.28,33.35,31.24
1341.50,-38.03,28.51,39.91,58.86,58.95,85.57,30.58,35.23,29.97,26.20
1371.50,-39.48,23.04,31.11,51.82,57.07,83.70,28.32,33.25,28.25,28.98
1401.50,-37.56,26.55,36.34,57.78,60.37,86.31,30.97,35.72,31.93,33.99
1432.00,-25.48,32.63,44.51,68.15,69.32,95.10,36.77,40.80,35.43,37.81
1461.50,-25.25,34.70,48.67,73.90,72.94,99.55,38.30,43.55,38.37,36.39
1490.50,-27.54,33.20,47.09,70.51,69.54,98.61,36.81,41.58,35.52,36.54
1521.00,-32.16,30.01,42.32,63.55,66.86,97.33,33.73,38.06,33.90,32.77
1551.50,-40.58,23.56,35.78,51.58,54.31,79.00,27.74,32.55,28.85,28.31
1581.50,-41.78,20.59,32.07,48.29,52.42,76.81,23.04,29.28,24.98,25.22
1611.50,-37.54,21.76,34.95,47.46,55.37,81.39,25.73,30.60,27.29,23.10
1641.50,-35.97,25.67,37.59,54.63,59.62,86.00,29.78,33.36,29.78,28.32
1672.00,-29.75,29.59,38.86,61.75,63.61,88.72,31.76,34.79,31.08,30.91
1702.50,-26.75,33.51,44.77,70.30,69.93,95.14,32.96,36.21,33.67,35.92
1732.50,-25.51,35.56,49.59,74.42,72.21,101.70,39.57,43.71,38.17,39.07
1762.00,-26.54,33.61,47.64,70.42,71.20,101.29,38.64,43.90,38.02,33.10
1792.00,-28.88,31.85,44.46,66.99,63.08,92.97,35.16,40.68,34.77,31.84
