Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2,
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,333.17,104.37,164.76,0.00,0.00,74.97,15.89,644.24,456.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,806.90,406.40,52.84,0.00
11.50,341.05,104.37,145.11,0.00,0.00,109.71,11.93,644.24,438.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,759.49,420.06,48.89,0.00
37.50,332.23,104.37,143.50,0.00,0.00,119.48,13.43,699.78,429.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,842.36,398.03,51.28,0.00
67.50,360.30,100.71,144.23,0.00,0.00,123.75,12.93,649.73,454.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1641.28,393.07,51.09,0.00
97.50,370.05,126.28,183.87,0.00,0.00,100.86,11.93,668.96,472.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2343.30,420.23,50.82,0.00
127.50,357.93,83.50,191.20,0.00,0.00,144.35,12.91,688.79,482.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2326.59,417.79,54.48,0.00
157.00,342.27,130.16,192.54,0.00,0.00,79.04,11.90,686.55,1048.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2404.82,376.90,53.53,0.00
186.00,326.59,104.07,166.79,0.00,0.00,117.34,14.18,787.06,2144.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2296.99,389.02,53.45,0.00
215.50,271.52,113.53,151.23,0.00,0.00,117.34,13.36,879.83,2251.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2251.17,389.04,53.04,0.00
245.50,1209.85,112.15,175.78,681.26,93.30,117.34,12.26,991.84,2401.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1389.75,396.84,54.51,0.00
275.50,2072.30,103.30,197.69,884.90,188.92,117.34,68.59,1062.94,2461.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1235.59,394.26,54.45,0.00
306.50,1635.12,103.46,554.12,859.17,168.22,281.38,130.03,1173.11,2511.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1447.05,417.10,52.49,0.00
337.50,1481.96,154.97,1405.26,803.97,75.71,444.24,152.08,1085.04,2514.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1095.34,405.64,52.80,0.00
367.50,1445.38,0.00,1968.46,778.93,69.83,720.08,171.27,944.53,2420.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,911.33,422.75,53.85,0.00
397.50,1418.75,0.00,1558.73,679.89,72.68,1081.03,171.29,944.53,2361.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,926.44,395.21,55.48,0.00
427.50,1371.89,103.76,1572.39,632.88,55.20,1916.23,142.31,944.53,2562.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,913.30,418.45,52.33,0.00
457.50,1378.07,110.02,1607.56,554.17,39.41,2106.54,93.39,987.26,2554.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,910.70,404.28,54.47,0.00
