Time,South Central Fans,North Central Fans
s,m3/s,m3/s
1.00,-0.85,0.56
20.00,-0.49,0.84
52.50,-0.73,0.64
82.50,-0.87,0.43
112.50,-0.36,0.22
142.50,35.79,35.64
172.50,62.90,140.11
202.50,61.88,196.55
232.50,61.12,201.58
262.50,64.33,206.86
292.50,62.72,207.60
322.50,62.23,207.97
352.50,63.44,208.12
382.50,63.76,208.07
412.50,63.23,207.62
442.50,62.44,207.98
472.50,63.02,203.33
502.50,63.12,208.35
532.50,64.59,207.98
562.50,62.33,208.85
592.50,62.26,208.13
622.50,63.90,208.14
652.50,64.56,208.62
682.00,63.46,209.08
712.00,74.90,202.39
742.50,123.00,207.74
772.00,125.71,208.39
802.00,125.90,208.90
832.00,125.81,208.63
861.50,126.65,208.46
891.50,126.99,208.57
921.50,125.31,208.99
951.50,127.26,203.09
982.00,127.04,208.19
1012.00,125.44,208.41
1042.00,125.92,208.88
1072.00,124.91,208.85
1101.50,124.76,209.20
1131.50,126.95,209.64
1161.50,163.30,208.66
1192.00,168.63,203.75
1222.50,168.02,208.22
1252.00,170.26,208.79
1281.50,171.02,208.51
1311.50,170.38,208.89
1341.50,166.76,209.28
1371.50,169.65,209.30
1401.50,170.91,208.19
1432.00,171.95,204.78
1461.50,169.32,208.26
1490.50,170.66,208.59
1521.00,172.73,209.20
1551.50,170.67,209.79
1581.50,172.00,209.63
1611.50,170.32,209.01
1641.50,169.06,208.49
1672.00,170.71,203.26
1702.50,170.34,208.31
1732.50,170.49,209.66
1762.00,171.16,209.82
1792.00,167.94,209.33
1822.00,168.10,209.00
1851.50,171.76,209.44
1881.50,172.11,208.64
1912.00,169.05,204.81
1942.00,171.91,208.74
1972.00,167.48,209.18
2002.50,166.98,209.18
2032.50,171.88,209.99
2062.50,172.77,209.78
2092.50,166.81,209.32
2122.50,167.37,208.92
2152.50,169.74,203.92
2182.50,169.67,209.26
2212.50,168.71,210.18
2242.50,169.68,210.00
2272.50,170.53,209.99
2302.50,165.47,209.39
2332.50,167.94,209.73
2362.50,172.67,210.04
2392.50,170.83,205.38
2422.50,169.33,208.76
2451.00,170.95,209.17
2481.00,169.54,209.39
2510.50,172.08,208.78
2538.50,170.17,209.05
2567.50,170.95,208.71
2598.00,172.42,208.17
2631.00,168.71,202.79
2661.50,167.52,207.94
