Time,202-T-A2,202-T-B2,202-T-C2,202-T-D2,202-T-E2,202-T-F2,202-T-G2,301-T-A2,301-T-B2,301-T-C2,301-T-D2,301-T-E2,301-T-F2,301-T-G2,301-T-G2,302-T-A2,302-T-B2,302-T-C2,302-T-D2,302-T-E2,302-T-F2,302-T-G2,302-T-G2,303-T-A2,303-T-B2,303-T-C2,303-T-D2,303-T-E2,303-T-F2,303-T-G2,303-T-G2,304-T-A2,304-T-B2,304-T-C2,304-T-D2,304-T-E2,304-T-F2,304-T-G2,304-T-G2,205-T-A2,205-T-B2,205-T-C2,205-T-D2,205-T-E2,205-T-F2,205-T-G2,205-T-G2,305-T-A2,305-T-B2,305-T-C2,305-T-D2,305-T-E2,305-T-F2,305-T-G2,305-T-G2,306-T-A2,306-T-B2,306-T-C2,306-T-D2,306-T-E2,306-T-F2,306-T-G2,306-T-G2,307-T-A2,307-T-B2,307-T-C2,307-T-D2,307-T-E2,307-T-F2,307-T-G2,307-T-G2,207-T-A2,207-T-B2,207-T-C2,207-T-D2,207-T-E2,207-T-F2,207-T-G2,207-T-G2,208-T-A2,208-T-B2,208-T-C2,208-T-D2,208-T-E2,208-T-F2,208-T-G2,208-T-G2,209-T-A2,209-T-B2,209-T-C2,209-T-D2,209-T-E2,209-T-F2,209-T-G2,209-T-G2,211-T-A2,211-T-B2,211-T-C2,211-T-D2,211-T-E2,211-T-F2,211-T-G2,211-T-G2,213-T-A2,213-T-B2,213-T-C2,213-T-D2,213-T-E2,213-T-F2,213-T-G2,213-T-G2,214-T-A2,214-T-B2,214-T-C2,214-T-D2,214-T-E2,214-T-F2,214-T-G2
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0,1,1,2,1,1,1,1,2,2,2,2,3,2,3,4,3,2,3,3,3,3,3,5,3,3,3,3,3,4,4,6,4,4,6,6,5,6,12,18,4,6,9,13,16,14,16,20,4,4,4,8,14,12,16,24,4,3,3,3,7,12,16,14,5,4,4,5,5,6,8,7,4,4,4,4,4,5,6,7,5,5,6,6,6,6,7,9,6,6,7,7,7,7,7,9,7,7,7,7,7,8,9,10,8,8,8,8,9,8,9,9,8,8,8,8,9,9,9
8,1,1,2,1,1,1,1,2,2,2,2,3,2,3,4,3,2,3,3,3,3,3,5,3,3,3,3,3,4,17,31,5,7,8,9,8,21,39,54,6,14,23,35,39,38,39,44,5,6,7,18,33,25,36,54,5,3,4,8,21,32,41,44,5,4,5,8,13,19,19,25,4,4,4,4,6,10,11,14,5,5,6,6,6,6,7,9,6,6,7,7,7,7,7,9,7,7,7,7,7,8,9,10,8,8,8,8,9,8,9,9,8,8,8,8,9,9,9
30,1,1,2,1,1,1,1,2,2,2,2,3,2,3,4,3,2,3,3,3,3,8,16,3,3,3,3,4,7,53,68,7,9,12,12,10,47,78,97,10,27,42,66,68,71,73,76,7,8,9,28,48,36,53,87,5,5,4,16,38,56,69,71,5,4,5,14,27,44,37,56,4,4,6,11,18,29,30,37,5,5,6,6,6,6,7,9,6,6,7,7,7,7,7,9,7,7,7,7,7,8,9,10,8,8,8,8,9,8,9,9,8,8,8,8,9,9,9
60,1,1,2,1,1,1,1,2,2,2,2,3,2,3,4,3,2,3,3,3,3,15,32,3,4,4,4,4,16,79,93,8,11,12,14,12,69,104,123,14,39,69,97,91,92,102,99,7,8,12,34,58,47,69,106,5,5,6,19,48,71,87,88,6,6,5,19,35,60,48,73,4,4,6,18,29,50,51,61,5,5,7,11,17,24,26,28,6,6,7,7,7,7,7,9,7,7,7,7,7,8,9,10,8,8,8,8,9,8,9,9,8,8,8,8,9,9,9
90,1,1,2,1,1,1,1,2,2,2,2,3,2,3,4,3,2,3,3,3,3,20,43,4,4,4,4,6,18,89,103,8,11,14,14,12,79,118,133,19,51,100,123,106,111,121,117,7,9,15,38,67,56,77,116,5,5,6,23,54,81,98,98,6,6,7,21,42,69,56,84,6,6,6,19,32,58,61,71,5,5,9,15,26,39,45,47,6,6,7,10,14,17,22,23,7,7,7,7,7,8,9,10,8,8,8,8,9,8,9,9,8,8,8,8,9,9,9
120,1,1,2,1,1,1,1,2,2,2,2,3,2,3,4,3,2,3,3,3,3,20,41,4,4,4,4,6,18,89,103,8,11,14,14,12,79,118,137,23,63,132,133,115,124,132,129,9,11,16,38,71,63,84,122,6,6,8,22,54,84,99,102,6,7,8,23,43,76,61,90,6,6,7,21,36,64,68,78,5,7,11,15,26,46,53,54,6,6,9,13,25,28,34,37,7,7,7,7,7,8,9,10,8,8,8,8,9,8,9,9,8,8,8,8,9,9,9
149,1,1,2,1,1,1,1,2,2,2,2,3,2,3,4,3,2,3,3,3,3,17,37,4,4,4,4,6,13,87,102,8,11,14,14,12,76,119,135,27,75,166,127,115,133,139,136,11,13,19,40,73,69,87,124,6,6,11,25,55,85,99,103,6,7,8,22,47,78,62,92,6,6,7,22,37,67,73,80,5,7,11,15,29,49,57,58,6,6,12,16,30,36,42,44,7,7,8,11,17,19,24,24,8,8,8,8,9,8,9,9,8,8,8,8,9,9,9
179,1,1,2,1,1,1,1,2,2,2,2,3,2,3,4,3,2,3,3,3,3,12,29,4,4,4,4,6,11,82,99,10,11,14,14,12,72,118,133,31,86,180,123,116,139,143,140,11,13,22,41,71,75,90,123,6,6,14,28,54,85,99,101,7,7,11,24,49,76,61,89,6,7,7,24,39,68,73,79,7,7,11,15,29,51,59,61,6,8,14,16,27,36,44,48,7,7,10,17,24,29,33,34,8,8,8,8,9,10,12,12,8,8,8,8,9,9,9
209,1,1,2,1,1,1,1,2,2,2,2,3,2,3,4,3,2,3,3,3,3,8,22,4,4,4,4,6,9,76,97,10,11,14,14,12,70,118,133,34,98,188,117,114,142,146,140,13,16,24,44,74,79,92,120,6,6,17,30,58,85,97,101,7,7,14,27,52,77,61,90,7,7,8,26,41,67,74,78,7,8,11,15,31,51,59,61,8,8,16,16,27,36,44,48,7,9,13,20,27,32,37,37,8,8,10,12,16,17,21,19,8,8,8,8,9,9,9
239,1,1,2,1,1,1,1,2,2,2,2,3,2,3,4,3,2,3,3,3,3,6,22,4,4,4,4,6,9,73,98,10,11,14,14,12,70,118,135,37,101,192,122,113,145,148,143,13,17,26,44,73,84,95,121,8,8,18,29,57,86,97,101,7,7,15,29,52,78,62,89,7,7,10,26,43,68,74,78,7,8,11,17,33,52,59,61,8,8,16,16,29,39,46,48,7,11,13,19,26,32,37,38,8,9,12,17,22,23,27,25,8,12,15,16,17,16,15
