Time,TIWC202G,TIWC202F,TIWC202E,TIWC202D,TIWC202C,TIWC202B,TIWC202A,TIWC301G,TIWC301F,TIWC301E,TIWC301D,TIWC301C,TIWC301B,TIWC301A,TIWC302G,TIWC302F,TIWC302E,TIWC302D,TIWC302C,TIWC302B,TIWC302A,TIWC303G,TIWC303F,TIWC303E,TIWC303D,TIWC303C,TIWC303B,TIWC303A,TIWC304G,TIWC304F,TIWC304E,TIWC304D,TIWC304C,TIWC304B,TIWC304A,TIWC205G,TIWC205F,TIWC205E,TIWC205D,TIWC205C,TIWC205B,TIWC205A,TIWC305G,TIWC305F,TIWC305E,TIWC305D,TIWC305C,TIWC305B,TIWC305A,TIWC306G,TIWC306F,TIWC306E,TIWC306D,TIWC306C,TIWC306B,TIWC306A,TIWC307G,TIWC307F,TIWC307E,TIWC307D,TIWC307C,TIWC307B,TIWC307A,TIWC207G,TIWC207F,TIWC207E,TIWC207D,TIWC207C,TIWC207B,TIWC207A,TIWC208G,TIWC208F,TIWC208E,TIWC208D,TIWC208C,TIWC208B,TIWC208A,TIWC209G,TIWC209F,TIWC209E,TIWC209D,TIWC209C,TIWC209B,TIWC209A,TIWC211G,TIWC211F,TIWC211E,TIWC211D,TIWC211C,TIWC211B,TIWC211A,TIWC213G,TIWC213F,TIWC213E,TIWC213D,TIWC213C,TIWC213B,TIWC213A,TIWC214G,TIWC214F,TIWC214E,TIWC214D,TIWC214C,TIWC214B,TIWC214A
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.00,10.72,10.87,10.95,10.67,11.28,10.09,9.40,10.48,8.91,8.35,8.25,12.02,11.38,10.89,12.40,12.83,13.29,12.88,12.96,12.70,11.08,14.91,15.04,13.62,13.24,13.13,12.73,12.07,32.93,28.98,22.07,15.81,14.99,14.83,12.49,46.67,31.43,25.52,20.96,20.26,36.79,12.75,17.57,16.93,16.21,13.13,12.93,12.98,13.10,13.16,13.13,13.06,12.73,12.83,12.42,13.10,12.96,13.18,12.91,12.83,13.11,13.21,13.29,13.31,12.80,12.40,12.50,12.50,12.60,12.79,13.72,13.31,12.40,12.73,12.70,12.65,12.45,11.86,11.99,12.32,12.27,12.45,12.14,11.80,12.83,11.95,11.53,11.08,10.89,10.47,10.24,12.02,11.89,11.69,11.33,10.85,10.85,10.93,10.39,10.19,9.88,9.68,10.19,9.99,9.55
2.00,10.72,10.87,10.95,10.67,11.28,10.09,9.40,10.48,8.91,8.35,8.25,12.02,11.38,10.89,12.40,12.83,13.29,12.88,12.96,12.70,11.08,30.03,26.58,15.89,14.81,14.66,12.73,12.07,118.43,103.94,39.58,26.27,21.62,19.64,14.78,223.01,124.03,95.16,58.51,56.79,78.26,18.62,45.81,37.91,48.71,17.85,17.55,17.45,16.85,49.39,41.96,29.13,14.20,14.30,12.42,13.10,12.96,13.18,12.91,12.83,13.11,13.21,13.29,13.31,12.80,12.40,12.50,12.50,12.60,12.79,13.72,13.31,12.40,12.73,12.70,12.65,12.45,11.86,11.99,12.32,12.27,12.45,12.14,11.80,12.83,11.95,11.53,11.08,10.89,10.47,10.24,12.02,11.89,11.69,11.33,10.85,10.85,10.93,10.39,10.19,9.88,9.68,10.19,9.99,9.55
18.50,10.72,10.87,10.95,10.67,11.28,10.09,9.40,10.48,8.91,8.35,8.25,12.02,11.38,10.89,15.22,14.23,13.29,12.88,12.96,12.70,11.08,73.71,49.97,19.89,18.00,17.06,15.06,13.48,228.38,211.67,86.93,43.68,33.75,26.81,17.80,518.94,319.96,228.59,153.55,138.67,181.43,30.46,91.87,85.54,120.60,28.56,28.40,26.88,26.82,124.34,104.48,64.66,16.29,15.82,13.84,15.34,46.85,48.40,40.07,20.57,13.11,13.21,13.29,13.31,12.80,12.40,12.50,12.50,12.60,12.79,13.72,13.31,12.40,12.73,12.70,12.65,12.45,11.86,11.99,12.32,12.27,12.45,12.14,11.80,12.83,11.95,11.53,11.08,10.89,10.47,10.24,12.02,11.89,11.69,11.33,10.85,10.85,10.93,10.39,10.19,9.88,9.68,10.19,9.99,9.55
48.50,10.72,10.87,10.95,10.67,11.28,10.09,9.40,10.48,8.91,8.35,8.25,12.02,11.38,10.89,19.67,15.90,15.01,12.88,12.96,12.70,11.08,102.92,70.66,23.82,18.00,17.06,15.06,13.48,270.04,242.76,105.75,55.44,35.92,31.32,20.26,671.20,427.37,281.44,213.68,203.59,267.49,41.11,113.67,109.86,141.98,43.90,39.79,34.49,37.38,165.09,140.17,87.30,19.28,18.81,15.99,17.63,73.71,79.28,64.60,36.36,14.53,14.61,14.73,35.25,35.24,28.89,24.70,15.38,12.60,12.79,13.72,13.31,12.40,12.73,12.70,12.65,12.45,11.86,11.99,12.32,12.27,12.45,12.14,11.80,12.83,11.95,11.53,11.08,10.89,10.47,10.24,12.02,11.89,11.69,11.33,10.85,10.85,10.93,10.39,10.19,9.88,9.68,10.19,9.99,9.55
78.50,10.72,10.87,10.95,10.67,11.28,10.09,9.40,10.48,8.91,8.35,8.25,12.02,11.38,10.89,19.67,15.90,15.01,12.88,12.96,12.70,11.08,120.50,80.20,27.20,18.00,17.06,15.06,13.48,313.55,284.55,122.31,55.07,34.22,33.44,22.57,711.93,499.27,329.47,250.93,250.51,344.60,48.37,129.92,126.96,183.86,61.45,52.67,39.70,44.03,183.22,157.30,92.04,23.10,21.73,18.12,19.09,90.70,95.25,79.16,46.56,14.53,14.61,14.73,56.12,56.55,48.11,40.65,20.07,14.10,12.79,13.72,13.31,12.40,12.73,12.70,12.65,12.45,11.86,11.99,12.32,12.27,12.45,12.14,11.80,12.83,11.95,11.53,11.08,10.89,10.47,10.24,12.02,11.89,11.69,11.33,10.85,10.85,10.93,11.46,10.19,9.88,9.68,10.19,9.99,9.55
108.50,10.72,10.87,10.95,10.67,11.28,10.09,9.40,10.48,8.91,8.35,8.25,12.02,11.38,10.89,23.09,17.45,15.01,12.88,12.96,12.70,11.08,145.57,105.11,31.09,21.00,19.38,17.25,13.48,350.79,327.09,148.74,58.89,35.77,35.70,26.00,752.39,552.83,363.78,284.88,287.30,398.67,54.44,148.46,146.31,213.40,75.32,61.28,44.24,48.56,196.71,168.50,99.37,26.84,23.16,18.12,19.09,102.94,106.23,89.47,44.81,17.58,16.00,16.14,66.70,66.67,58.71,51.31,20.07,14.10,14.43,24.54,22.74,21.00,16.85,15.24,12.65,12.45,11.86,11.99,12.32,12.27,12.45,12.14,11.80,12.83,11.95,11.53,11.08,10.89,10.47,10.24,12.02,11.89,11.69,11.33,10.85,10.85,10.93,11.46,11.59,10.95,9.68,10.19,9.99,9.55
138.50,10.72,10.87,10.95,10.67,11.28,10.09,9.40,10.48,8.91,8.35,8.25,12.02,11.38,10.89,30.10,18.96,15.01,12.88,12.96,12.70,11.08,163.60,131.54,36.42,22.61,19.38,17.25,13.48,364.68,336.52,148.74,77.57,41.08,39.43,28.59,877.54,618.36,391.68,312.24,302.61,427.23,61.88,167.43,160.83,196.20,80.83,64.40,44.24,51.45,204.85,169.82,94.27,29.87,25.34,19.63,20.49,106.08,110.57,95.67,44.04,20.73,18.18,16.14,72.99,73.10,65.29,57.41,23.36,14.10,14.43,37.39,33.93,32.77,26.74,22.16,14.33,12.45,11.86,11.99,12.32,12.27,12.45,12.14,11.80,12.83,11.95,11.53,11.08,10.89,10.47,10.24,12.02,11.89,11.69,11.33,10.85,10.85,10.93,11.46,11.59,10.95,9.68,10.19,9.99,9.55
168.50,10.72,10.87,10.95,10.67,11.28,10.09,9.40,10.48,8.91,8.35,8.25,12.02,11.38,10.89,37.84,20.35,15.01,12.88,12.96,12.70,11.08,171.94,151.21,47.52,27.49,20.84,17.25,13.48,370.85,343.50,161.97,109.34,56.38,45.15,31.50,966.96,677.97,448.86,341.45,329.49,452.53,71.51,185.29,176.18,202.21,91.93,69.92,47.28,56.11,213.26,180.78,106.76,33.69,28.21,21.03,21.94,109.33,113.64,100.49,45.52,22.85,20.38,17.59,72.99,73.10,65.29,53.89,25.22,15.49,14.43,42.90,40.17,39.07,34.59,28.37,14.33,12.45,11.86,11.99,12.32,12.27,12.45,12.14,11.80,12.83,11.95,11.53,11.08,10.89,10.47,10.24,12.02,11.89,11.69,11.33,10.85,10.85,10.93,11.46,11.59,10.95,9.68,10.19,9.99,9.55
198.50,10.72,10.87,10.95,10.67,11.28,10.09,9.40,10.48,8.91,8.35,8.25,12.02,11.38,10.89,46.12,23.45,16.43,14.33,12.96,12.70,11.08,177.31,159.01,61.08,37.99,20.84,17.25,13.48,379.44,352.41,177.31,133.42,72.01,49.26,34.15,996.65,713.63,465.66,364.26,352.35,493.83,78.99,204.66,194.03,225.49,117.66,79.90,49.73,56.44,219.85,191.24,121.22,39.51,31.91,23.23,21.94,115.98,121.52,107.62,55.26,25.76,21.99,17.59,78.44,78.52,70.74,56.57,29.08,17.77,15.84,42.90,40.17,39.07,34.59,30.51,14.33,12.45,13.62,13.54,12.32,12.27,12.45,12.14,11.80,12.83,11.95,11.53,11.08,10.89,10.47,10.24,12.02,11.89,11.69,11.33,10.85,10.85,10.93,11.46,11.59,10.95,11.08,10.19,9.99,9.55
