Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2,
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.30,0.30,223.78,36.46,0.00,0.30,0.00,288.40,30.52,4.39,0.30,94.78,0.00,0.00,27.47,0.00,0.30,0.30,0.00,0.00
8.50,0.30,0.30,247.91,60.99,0.00,0.30,0.00,288.40,30.52,2.26,0.30,135.40,0.00,0.00,31.43,0.00,0.30,870.37,0.00,0.00
31.50,0.30,0.30,212.60,41.14,0.00,0.30,0.00,311.89,30.52,3.75,0.30,93.74,0.00,0.00,22.28,0.00,0.30,870.37,0.00,0.00
61.00,0.30,0.30,213.93,42.94,0.00,0.30,0.00,311.89,21.97,4.82,0.30,111.80,0.00,0.00,33.72,0.00,0.30,870.37,0.00,0.00
90.50,0.30,0.30,198.47,30.82,0.00,0.30,0.00,311.89,52.19,3.17,0.30,119.46,0.00,0.00,33.72,0.00,0.30,870.37,0.00,0.00
120.50,0.30,0.30,178.71,64.65,0.00,0.30,0.00,312.00,92.62,3.17,0.30,125.43,0.00,0.00,30.67,0.00,0.30,870.37,0.00,0.00
150.00,0.30,0.30,180.80,33.11,0.00,0.30,0.00,312.00,950.94,3.23,0.30,112.61,0.00,0.00,30.67,0.00,0.30,870.37,0.00,0.00
179.50,0.30,0.30,169.86,41.30,0.00,0.30,79.63,312.00,1473.50,3.17,0.30,128.48,0.00,0.00,30.67,0.00,0.30,870.37,0.00,0.00
209.50,0.30,0.30,154.12,62.71,0.00,0.30,90.28,373.24,1544.72,2.83,0.30,120.16,0.00,0.00,83.62,0.00,0.30,870.37,0.00,0.00
239.00,0.30,0.30,149.48,39.06,0.00,185.35,114.38,467.84,1666.45,12.21,0.30,89.42,0.00,0.00,83.62,0.00,0.30,870.37,0.00,0.00
268.50,0.30,0.30,148.55,45.12,4.14,619.30,121.47,569.77,1798.83,12.76,0.30,259.76,0.00,0.00,34.79,0.00,0.30,870.37,0.00,0.00
298.50,0.30,0.30,248.67,711.58,40.64,1016.29,97.16,653.70,1354.51,13.00,168.24,1978.36,0.00,0.00,30.36,8.64,0.30,870.37,0.00,0.00
328.00,0.30,0.30,422.06,878.66,13.89,1165.08,89.74,653.70,1257.04,21.79,420.97,2302.79,0.00,0.00,91.40,8.64,0.30,870.37,0.00,0.00
357.50,0.30,0.30,463.87,674.39,1.21,1165.96,84.97,653.70,1325.93,27.53,630.47,2171.58,0.00,659.63,247.50,8.64,0.30,105.90,0.00,0.00
387.50,0.30,0.30,497.64,628.44,0.55,1177.60,83.40,626.53,1421.04,27.53,683.91,2017.55,0.00,1266.25,241.30,8.64,0.30,263.37,0.00,0.00
417.00,0.30,121.97,571.47,510.07,0.11,1229.42,78.55,564.28,1468.28,27.53,751.48,1977.31,0.00,1492.64,179.95,8.64,0.30,454.41,0.00,0.00
446.50,0.30,275.84,652.40,435.21,0.09,1258.36,75.05,564.28,1455.45,27.83,822.05,1886.17,0.00,1683.59,164.90,8.64,0.30,525.22,0.00,0.00
476.50,0.30,405.20,895.77,430.00,0.00,1230.40,73.01,564.28,1428.88,26.61,833.27,1839.87,0.00,1857.12,105.04,8.64,0.30,517.11,0.00,0.00
506.00,0.30,383.35,1080.34,498.91,0.00,1092.16,77.32,564.28,1407.93,26.35,848.48,1830.17,0.00,1940.55,117.56,4.97,0.30,582.50,0.00,0.00
535.50,0.30,326.73,1268.45,527.61,0.00,1019.76,83.42,564.28,1416.95,25.21,851.66,1800.39,0.00,2003.31,114.14,4.97,0.30,567.07,0.00,0.00
565.50,0.30,284.60,1378.91,543.26,0.00,1065.18,93.87,564.28,1411.93,25.21,853.28,1814.18,0.00,2069.71,64.70,4.97,0.30,528.88,0.00,0.00
595.50,0.30,212.71,1439.20,524.86,0.00,1065.20,92.92,564.28,1464.80,21.67,882.73,1854.86,0.00,2109.76,50.29,4.97,0.30,558.70,0.00,0.00
625.00,0.30,227.08,1508.42,507.62,0.00,1066.32,107.95,591.34,1407.05,28.36,860.46,1869.62,0.00,2144.94,86.98,4.97,0.30,539.68,0.00,0.00
654.50,0.30,272.12,1592.43,509.21,0.00,1094.45,100.86,554.51,1471.46,27.59,865.19,1955.47,0.00,2178.94,61.49,4.97,0.30,538.03,0.00,0.00
684.50,0.30,358.70,1662.27,518.35,0.00,1104.97,130.27,605.17,1445.23,28.60,868.47,1911.81,0.00,2190.69,56.12,4.97,0.30,555.33,0.00,0.00
714.00,0.30,374.72,1721.20,521.36,0.00,1131.13,118.92,605.17,1466.60,30.58,865.80,1899.49,0.00,2222.57,48.05,4.97,0.30,553.44,0.00,0.00
743.50,0.30,388.36,1763.78,572.93,0.00,1138.63,133.90,605.17,1477.13,31.22,858.88,1891.04,0.00,2228.94,48.78,4.97,0.30,567.06,0.00,0.00
773.00,0.30,373.76,1729.74,560.69,0.00,1166.32,125.55,605.17,1432.46,30.64,856.47,1930.54,0.00,2220.34,39.37,4.97,0.30,573.33,0.00,0.00
802.50,0.30,398.04,1650.11,562.49,0.00,1097.23,134.43,559.40,1416.67,30.82,880.14,1984.12,0.00,2258.09,38.76,4.97,0.30,550.59,0.00,0.00
832.50,0.30,410.41,1629.85,575.74,0.00,1016.71,142.24,599.68,1401.04,33.51,859.08,1987.99,0.00,2226.63,27.31,4.97,0.30,551.32,0.00,0.00
862.00,0.30,390.27,1645.07,605.60,0.00,880.68,146.59,573.13,1386.60,30.67,841.84,2093.23,0.00,2212.64,20.88,4.97,63.54,528.47,0.00,0.00
891.50,0.30,431.28,1661.71,619.72,0.03,895.70,138.29,573.13,1370.32,30.67,886.30,2260.91,0.00,2234.10,38.05,4.97,63.54,538.73,0.00,0.00
921.50,0.30,437.74,1662.13,608.04,0.04,876.43,144.90,556.95,1402.30,30.55,875.87,2273.23,0.00,2232.53,51.23,4.97,92.62,562.60,0.00,0.00
951.00,0.30,437.16,1677.19,552.55,0.04,885.82,143.70,600.29,1275.35,27.89,878.37,2183.13,0.00,2224.79,127.46,3.14,91.40,554.51,0.00,0.00
980.50,0.30,451.16,1682.36,562.32,0.00,848.79,128.28,555.73,1342.91,33.51,852.46,2207.87,0.00,2194.61,117.54,3.08,46.54,563.58,0.00,0.00
1010.50,0.30,451.86,1700.10,589.06,0.03,883.37,128.28,555.73,1371.91,29.56,904.74,2169.22,0.00,2198.82,44.33,3.08,156.39,587.93,0.00,0.00
1040.00,0.30,441.82,1709.52,600.66,0.10,824.90,145.30,555.73,1659.44,29.56,910.58,1933.40,0.00,2174.51,44.74,3.17,56.53,553.50,0.00,0.00
1069.50,0.30,414.97,1682.02,579.10,0.00,808.61,165.87,555.73,1406.80,21.67,914.89,1964.14,0.00,2174.49,44.25,23.04,54.13,513.47,0.00,0.00
1099.50,0.30,434.79,1626.61,625.62,0.01,780.57,143.20,617.38,1318.19,25.70,947.13,1960.63,0.00,2167.82,30.21,34.00,27.47,454.64,0.00,0.00
1129.00,0.30,482.11,1581.40,688.57,0.42,810.70,119.62,685.74,1209.67,30.12,900.89,2048.42,0.00,2223.31,30.21,15.87,26.55,814.35,0.00,0.00
1158.50,0.30,541.90,1575.56,648.33,0.10,1126.23,111.42,636.91,1162.53,22.77,925.00,2393.47,0.00,2256.86,30.21,15.89,107.36,428.63,0.00,0.00
1188.50,0.30,536.45,1560.66,584.45,0.11,1211.17,105.17,636.91,1220.78,19.84,966.51,2434.50,0.00,2232.47,55.62,6.04,41.81,483.83,0.00,0.00
1218.00,108.34,583.69,1553.61,557.87,0.07,1111.68,96.42,636.91,1173.09,26.67,1004.76,2355.35,0.00,2291.29,174.93,11.03,82.09,471.20,0.00,0.00
1247.50,799.96,600.90,1506.31,511.58,0.00,1044.59,92.59,636.91,1376.29,28.26,922.07,1805.86,0.00,2081.72,97.81,5.13,103.30,196.38,0.00,0.00
1277.50,1070.19,627.45,1533.20,487.20,0.00,1710.04,104.31,824.75,1738.92,53.65,719.38,1184.27,0.00,1790.10,97.81,0.31,105.96,196.38,0.00,0.00
1307.00,1091.97,581.04,2055.84,398.78,0.00,2443.93,100.06,1045.45,2013.22,120.24,389.23,1043.61,0.00,1097.08,97.81,0.31,149.44,196.38,0.00,0.00
1336.50,1465.70,520.74,2425.88,529.92,1.53,1686.03,125.82,871.41,1978.16,143.86,154.34,476.25,0.00,240.51,97.81,0.31,214.85,196.38,0.00,0.00
1366.50,1405.63,293.32,1924.26,639.40,1.00,1310.14,143.90,711.68,1927.96,124.57,154.34,163.07,0.00,50.56,97.81,0.31,250.55,196.38,0.00,0.00
1396.00,1163.74,79.71,1728.81,596.79,1.47,1021.57,145.25,650.34,1802.53,105.53,154.34,131.53,0.00,50.56,97.81,0.31,244.52,196.38,0.00,0.00
1425.50,992.93,79.71,1541.16,668.13,0.39,882.12,135.48,605.17,1802.04,90.09,154.34,137.08,0.00,41.20,97.81,0.31,265.07,196.38,0.00,0.00
1450.50,878.25,79.71,1444.24,666.51,0.46,816.83,127.02,560.01,1824.88,86.77,154.34,96.59,0.00,39.98,97.81,0.31,244.39,196.38,0.00,0.00
1480.00,820.80,0.30,1432.21,674.61,0.09,860.12,123.11,581.16,1790.24,93.69,154.34,107.32,0.00,39.98,97.81,0.31,294.28,196.38,0.00,0.00
1514.50,779.53,0.30,1411.39,672.92,0.00,862.91,118.23,563.67,1777.82,90.31,154.34,113.53,0.00,39.98,97.81,0.31,277.23,196.38,0.00,0.00
1544.50,773.12,0.30,1372.40,678.81,0.00,853.63,117.25,563.67,1782.49,88.23,154.34,119.73,0.00,59.10,97.81,0.31,274.28,897.54,0.00,0.00
1574.00,790.55,0.30,1361.85,677.76,0.00,853.72,121.16,563.67,1755.18,80.26,154.34,146.18,0.00,43.38,97.81,0.31,257.88,897.54,0.00,0.00
1603.50,809.44,0.30,1349.68,668.09,0.03,869.15,113.30,563.67,1705.41,80.26,154.34,89.62,0.00,0.00,97.81,0.31,283.25,897.54,0.00,0.00
1633.50,799.93,0.30,1331.34,698.23,0.00,866.15,111.85,563.67,1749.60,83.10,154.34,120.27,0.00,23.80,40.89,0.31,277.64,897.54,0.00,0.00
1663.00,818.19,0.30,1348.49,673.56,0.00,833.37,111.15,563.67,1765.14,81.18,154.34,82.18,0.00,23.80,40.89,0.31,273.23,897.54,0.00,0.00
1692.50,783.11,0.30,1334.82,670.40,0.00,856.64,109.42,531.32,1724.98,81.76,154.34,117.43,0.00,36.01,40.89,0.31,292.97,897.54,0.00,0.00
1722.00,814.06,0.30,1318.02,656.87,0.00,828.69,109.42,577.10,1701.77,79.14,154.34,107.12,0.00,27.16,52.80,0.31,271.19,897.54,0.00,0.00
1750.50,805.23,0.30,1309.48,672.26,0.00,813.39,104.55,577.10,1610.95,73.49,154.34,112.89,0.00,27.16,52.80,0.31,285.89,897.54,0.00,0.00
1780.00,791.13,0.30,1281.15,637.52,0.00,715.32,97.80,543.93,1358.46,57.60,154.34,95.22,0.00,27.16,52.80,0.31,275.66,897.54,0.00,0.00
1811.00,731.87,0.30,1223.40,621.46,0.00,493.72,86.00,543.93,807.16,38.03,154.34,98.97,0.00,27.16,32.96,0.31,337.22,897.54,0.00,0.00
1841.00,609.78,0.30,1054.04,602.73,0.00,106.55,67.38,469.06,484.99,25.70,154.34,105.29,0.00,27.16,32.96,0.31,302.23,897.54,0.00,0.00
1870.50,432.62,0.30,756.43,581.85,0.00,18.39,46.14,437.63,305.81,19.84,154.34,110.05,0.00,27.16,32.96,0.31,292.89,897.54,0.00,0.00
1900.50,287.45,0.30,600.59,502.02,0.00,18.39,37.29,412.91,265.76,22.40,154.34,106.74,0.00,27.16,32.96,0.31,328.58,897.54,0.00,0.00
1930.00,141.77,0.30,435.55,416.79,0.00,18.39,37.29,412.91,378.79,25.70,154.34,94.76,0.00,27.16,48.52,0.31,296.50,897.54,0.00,0.00
1959.50,80.76,0.30,431.73,372.17,0.00,43.64,35.22,455.02,422.75,22.83,154.34,111.56,0.00,27.16,0.30,0.31,391.63,897.54,0.00,0.00
1989.50,36.59,0.30,453.25,349.13,0.00,20.14,39.16,404.97,398.72,23.05,154.34,98.17,0.00,27.16,0.30,0.31,375.83,897.54,0.00,0.00
2019.00,28.84,0.30,449.75,269.78,0.00,12.51,33.39,451.97,312.53,24.07,154.34,91.53,0.00,27.16,0.30,0.31,375.80,897.54,0.00,0.00
