Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,-530.91,-368.44
4.50,4650.11,5583.90
22.50,10253.27,11177.70
52.00,18862.21,21477.95
82.50,20127.33,21873.97
112.50,15317.03,18621.01
141.50,12461.72,14947.20
171.00,7659.45,8975.46
202.50,6353.34,6912.10
233.50,8374.37,9478.02
263.50,10105.87,12091.00
293.50,13247.04,16039.41
323.50,13429.46,16753.52
353.50,10408.08,15246.67
383.50,7635.30,12963.07
413.50,6499.81,11583.56
443.50,5708.45,10771.76
473.50,6033.51,11759.22
503.50,6025.81,13652.30
533.50,7136.62,15720.73
563.50,7642.35,15874.02
593.50,6871.79,15736.31
623.50,6928.04,15721.23
653.50,6074.47,13844.37
683.50,6074.47,12900.23
713.00,6833.24,13697.67
743.00,7707.19,14611.12
773.50,8669.32,17174.18
803.50,8635.68,17407.91
833.50,8161.64,16658.34
863.50,7442.10,15583.44
893.50,7442.10,14613.75
923.50,8392.04,15732.86
953.50,9263.87,17081.15
983.50,10453.76,18811.00
1013.50,10082.40,17396.33
1043.50,9780.16,17076.35
1073.50,8743.13,15483.84
1103.50,9324.64,15511.44
1133.50,10675.16,17711.30
1163.50,10718.96,18709.69
1193.50,9921.97,17007.81
1223.50,8812.84,14963.49
1253.50,8260.62,14454.77
1283.50,8260.62,14327.59
1313.50,9064.76,15912.43
1343.50,10511.90,18072.34
1373.50,11897.04,19991.58
1403.50,10667.12,19028.98
1433.50,9567.57,17188.07
1463.50,9316.89,16931.40
1493.50,8599.79,15353.35
1522.50,7912.18,12953.48
1552.50,7080.17,12376.23
1583.50,8133.80,13938.29
1613.50,8074.99,13643.20
1643.50,9295.44,15634.92
1673.50,9862.51,16841.54
1702.50,9658.95,17079.63
1732.50,9979.22,17743.00
1762.50,12679.41,19489.33
1792.50,14963.37,20231.98
1823.50,15605.75,20156.97
1853.50,14267.41,18899.76
1883.50,13707.64,19507.16
1913.50,10521.35,19772.72
1943.50,9883.69,20663.57
1972.50,10577.01,20879.13
2002.50,10558.66,19648.53
2033.50,9340.93,18203.98
2063.50,9091.50,17436.85
2093.50,9396.40,17371.11
2123.00,10456.60,18683.64
2153.00,12261.87,19670.59
2183.50,13983.53,18646.91
2213.50,10953.23,13940.42
2243.50,2201.57,2998.61
2273.50,2201.57,2998.61
2303.50,2201.57,2998.61
2333.50,2201.57,2998.61
2363.00,2201.57,2998.61
2393.00,2201.57,2998.61
2423.50,2201.57,2998.61
2453.50,2201.57,2998.61
2483.50,2201.57,2998.61
2513.50,2201.57,2998.61
