Time,TIWC202G,TIWC202F,TIWC202E,TIWC202D,TIWC202C,TIWC202B,TIWC202A,TINC301H,TINC301G,TINC301F,TINC301E,TINC301D,TINC301C,TINC301B,TINC301A,TINC302H,TINC302G,TINC302F,TINC302E,TINC302D,TINC302C,TINC302B,TINC302A,TINC303H,TINC303G,TINC303F,TINC303E,TINC303D,TINC303C,TINC303B,TINC303A,TINC304H,TINC304G,TINC304F,TINC304E,TINC304D,TINC304C,TINC304B,TINC304A,TINC205H,TINC205G,TINC205F,TINC205E,TINC205D,TINC205C,TINC205B,TINC205A,TINC305H,TINC305G,TINC305F,TINC305E,TINC305D,TINC305C,TINC305B,TINC305A,TINC306H,TINC306G,TINC306F,TINC306E,TINC306D,TINC306C,TINC306B,TINC306A,TINC307H,TINC307G,TINC307F,TINC307E,TINC307D,TINC307C,TINC307B,TINC307A,TINC207H,TINC207G,TINC207F,TINC207E,TINC207D,TINC207C,TINC207B,TINC207A,TINC208H,TINC208G,TINC208F,TINC208E,TINC208D,TINC208C,TINC208B,TINC208A,TINC209H,TINC209G,TINC209F,TINC209E,TINC209D,TINC209C,TINC209B,TINC209A,TINC211H,TINC211G,TINC211F,TINC211E,TINC211D,TINC211C,TINC211B,TINC211A,TINC213H,TINC213G,TINC213F,TINC213E,TINC213D,TINC213C,TINC213B,TINC213A,TIWC214G,TIWC214F,TIWC214E,TIWC214D,TIWC214C,TIWC214B,TIWC214A
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.00,7.02,7.20,7.26,7.08,8.02,7.08,7.14,7.99,7.69,7.39,7.75,7.23,7.18,7.18,7.49,8.88,7.93,7.95,8.39,7.72,7.95,7.75,7.68,9.52,8.91,8.67,8.52,8.06,7.95,7.82,7.87,9.25,8.26,8.59,7.87,8.21,8.52,8.39,8.76,11.57,10.65,10.06,10.24,10.22,10.97,13.58,9.48,14.72,14.35,12.21,12.39,10.04,8.18,8.44,8.69,10.51,10.62,9.91,9.61,7.93,8.18,8.34,8.57,8.45,9.38,8.73,8.42,8.62,8.34,8.52,8.80,9.36,9.18,8.62,8.42,8.31,8.29,8.39,8.64,10.58,9.66,9.30,8.80,9.25,9.10,8.97,8.65,9.90,9.00,9.00,9.45,9.53,9.53,9.36,9.22,10.96,10.04,9.33,9.30,9.10,8.98,8.93,8.88,10.28,10.27,10.14,10.21,9.96,9.78,10.09,10.43,10.77,10.42,10.01,9.73,10.01,9.88,9.67
1.00,7.02,7.20,7.26,7.08,8.02,7.08,7.14,7.99,7.69,7.39,7.75,7.23,7.18,7.18,7.49,8.88,7.93,7.95,8.39,7.72,7.95,7.75,7.68,33.68,18.57,8.67,8.52,8.06,7.95,7.82,7.87,77.51,43.20,31.27,10.42,9.73,10.16,10.09,10.13,47.11,43.83,33.62,23.33,22.41,27.20,30.54,10.85,116.52,87.65,64.88,62.35,27.52,25.94,27.08,28.65,66.94,56.60,43.92,23.08,14.55,11.20,9.73,10.05,37.05,25.65,25.64,16.67,11.23,9.91,8.52,8.80,9.36,9.18,8.62,8.42,8.31,8.29,8.39,8.64,10.58,9.66,9.30,8.80,9.25,9.10,8.97,8.65,9.90,9.00,9.00,9.45,9.53,9.53,9.36,9.22,10.96,10.04,9.33,9.30,9.10,8.98,8.93,8.88,10.28,10.27,10.14,10.21,9.96,9.78,10.09,10.43,10.77,10.42,10.01,9.73,10.01,9.88,9.67
16.50,7.02,7.20,7.26,7.08,8.02,7.08,7.14,7.99,7.69,7.39,7.75,7.23,7.18,7.18,7.49,62.70,34.15,12.12,8.39,7.72,7.95,7.75,7.68,164.54,139.60,59.17,12.57,10.57,10.15,9.28,9.40,243.10,185.09,147.97,34.47,12.72,13.40,12.28,12.32,186.48,167.06,131.99,85.05,48.66,55.81,57.27,14.58,522.67,375.32,232.62,229.95,96.17,71.71,80.14,87.55,291.02,285.85,196.16,102.01,25.79,17.24,13.55,13.21,201.46,120.73,146.00,67.90,26.07,12.14,11.38,11.62,134.04,100.91,89.17,46.22,19.70,9.71,9.78,9.97,38.13,32.83,34.25,19.93,9.25,9.10,8.97,8.65,9.90,9.00,9.00,9.45,9.53,9.53,9.36,9.22,10.96,10.04,9.33,9.30,9.10,8.98,8.93,8.88,10.28,10.27,10.14,10.21,9.96,9.78,10.09,10.43,10.77,10.42,10.01,9.73,10.01,9.88,9.67
46.50,7.02,7.20,7.26,7.08,8.02,7.08,7.14,21.19,11.38,7.39,7.75,7.23,7.18,7.18,7.49,106.88,77.34,15.05,9.91,9.15,9.31,7.75,7.68,229.63,216.89,132.79,21.08,10.57,10.15,10.75,9.40,308.29,267.90,225.74,105.59,15.65,16.31,14.50,14.50,297.52,270.67,231.32,162.21,88.75,76.95,81.95,20.07,773.00,640.20,473.77,388.21,200.94,117.49,107.59,123.73,419.84,375.28,275.31,153.21,55.10,24.32,18.49,16.88,300.88,184.05,230.68,122.91,46.61,15.24,15.13,14.54,231.88,190.73,169.24,84.29,42.81,12.03,11.18,9.97,114.57,104.34,91.15,56.32,27.98,13.94,8.97,8.65,51.83,42.27,33.43,23.06,9.53,9.53,9.36,9.22,10.96,10.04,9.33,9.30,9.10,8.98,8.93,8.88,10.28,10.27,10.14,10.21,9.96,9.78,10.09,10.43,10.77,10.42,10.01,9.73,10.01,9.88,9.67
76.50,7.02,7.20,7.26,7.08,8.02,7.08,7.14,32.53,12.82,7.39,7.75,7.23,7.18,7.18,7.49,121.08,97.55,18.04,9.91,9.15,9.31,7.75,9.06,234.54,225.02,161.27,21.08,10.57,10.15,10.75,9.40,310.11,287.67,247.06,138.66,17.07,16.31,14.50,14.50,368.50,334.03,290.14,213.55,114.71,86.96,93.45,24.46,933.44,860.61,651.48,571.37,307.87,162.53,131.41,152.17,480.46,423.83,311.67,185.69,81.50,30.85,22.23,19.88,341.46,211.47,272.63,162.76,61.15,18.20,18.19,16.71,265.98,229.40,202.64,108.72,65.32,14.38,12.58,11.38,161.66,153.53,129.63,68.39,35.21,20.24,10.34,8.65,102.89,89.91,71.51,64.04,25.48,21.44,9.36,9.22,28.68,21.78,20.35,15.66,9.10,8.98,8.93,8.88,10.28,10.27,10.14,10.21,9.96,9.78,10.09,10.43,10.77,10.42,10.01,9.73,10.01,9.88,9.67
106.50,7.02,7.20,7.26,7.08,8.02,7.08,7.14,33.61,14.70,7.39,7.75,7.23,7.18,7.18,7.49,113.65,95.09,18.65,9.91,9.15,9.31,7.75,9.06,231.51,220.32,157.56,24.67,10.57,10.15,10.75,9.40,319.93,297.12,248.11,141.17,17.07,16.31,14.50,14.50,405.58,371.85,329.56,242.48,130.35,92.59,101.40,28.16,951.03,868.33,715.48,613.04,391.53,201.46,147.79,179.05,511.83,453.30,337.87,219.81,104.09,41.05,25.31,22.16,363.28,227.14,295.81,196.18,75.90,22.64,20.30,18.90,284.70,254.82,223.48,132.53,84.54,20.98,12.58,11.38,179.66,172.37,144.21,82.56,40.06,22.56,10.34,10.09,127.51,118.07,97.65,71.48,37.10,34.73,11.59,10.66,73.67,70.56,60.27,47.54,29.53,14.41,10.67,8.88,10.28,10.27,10.14,10.21,9.96,9.78,10.09,10.43,10.77,10.42,10.01,9.73,10.01,9.88,9.67
136.50,7.02,7.20,7.26,7.08,8.02,7.08,7.14,27.77,12.46,7.39,7.75,7.23,7.18,7.18,7.49,106.97,91.98,19.43,9.91,9.15,9.31,7.75,9.06,233.71,221.05,153.17,26.93,10.57,10.15,10.75,9.40,327.20,306.04,250.57,137.89,17.07,16.31,14.50,14.50,434.62,403.76,356.65,264.22,139.69,96.00,107.12,30.57,979.98,883.45,758.59,628.12,403.97,221.67,155.21,194.07,519.58,475.26,362.28,244.50,120.23,50.77,26.94,23.82,370.04,236.69,310.56,212.29,91.94,25.75,21.79,18.90,293.94,269.03,239.33,150.38,95.98,27.15,13.97,12.83,189.92,185.05,159.07,99.02,48.59,27.49,12.63,11.69,134.52,125.31,101.32,75.87,42.07,41.21,23.94,20.04,82.94,80.26,70.87,60.75,43.99,26.50,15.06,8.88,35.91,43.50,35.10,32.53,23.40,17.04,13.06,10.43,10.77,10.42,10.01,9.73,10.01,9.88,9.67
166.50,7.02,7.20,7.26,7.08,8.02,7.08,7.14,55.72,37.98,22.72,9.60,7.23,7.18,7.18,7.49,156.67,134.47,78.81,23.29,9.15,9.31,9.20,9.06,310.39,296.62,239.48,118.38,15.87,13.02,12.17,11.19,409.31,370.39,323.22,221.19,38.72,19.86,18.31,17.66,601.63,531.04,438.60,326.97,189.19,139.24,134.91,39.81,768.58,718.42,602.78,399.34,201.38,152.24,128.78,139.12,446.70,432.41,351.18,217.87,80.46,40.92,25.25,22.13,333.16,218.59,278.51,181.10,66.67,21.28,20.37,18.90,267.35,251.31,214.26,150.31,106.20,43.93,39.17,32.70,176.88,172.30,145.23,99.94,67.09,35.90,18.29,14.05,136.66,131.62,112.94,93.39,57.47,63.32,50.85,42.10,53.41,51.86,50.15,45.69,38.40,30.84,15.71,8.88,53.86,58.25,50.98,49.00,34.85,27.42,13.94,10.43,23.97,22.41,21.87,21.48,18.09,16.34,14.79
196.50,20.35,29.13,21.52,9.02,8.02,7.08,7.14,213.41,189.32,143.22,58.85,28.81,9.38,9.38,8.95,315.15,287.91,254.33,171.37,48.01,15.97,12.47,11.61,484.22,465.87,414.23,338.42,178.44,73.72,38.52,22.76,636.85,554.15,483.92,379.41,213.62,96.09,50.47,42.48,698.06,590.51,467.52,375.62,331.14,396.50,366.17,100.17,514.70,550.14,439.65,192.10,85.81,88.55,63.74,75.33,347.82,327.71,238.17,132.76,63.90,47.25,33.27,20.73,266.55,179.89,222.52,139.23,73.66,55.56,34.45,24.62,210.39,204.84,153.39,103.36,79.27,66.92,59.91,50.70,111.92,116.11,98.63,89.51,71.94,51.54,32.78,22.52,110.32,106.70,85.99,73.89,54.81,56.85,49.90,49.39,41.31,39.07,37.25,34.51,30.32,22.67,14.22,10.58,51.51,49.84,46.72,43.74,34.90,25.83,17.39,12.66,17.31,16.98,15.18,12.31,11.04,10.54,10.68
