Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,337.87,0.00
5.00,2764.80,0.00
24.50,3883.94,0.00
54.50,7614.41,0.00
84.50,9666.53,0.00
114.50,11530.38,0.00
144.50,12099.98,0.00
174.50,11508.15,0.00
204.50,9976.04,0.00
234.50,7236.88,0.00
264.50,6753.81,0.00
294.50,7058.15,0.00
324.50,13923.43,0.00
354.50,16761.10,0.00
384.50,11084.53,0.00
414.50,6752.01,0.00
444.50,5956.51,0.00
474.50,-1549.60,0.00
504.50,-6336.62,0.00
534.00,3828.79,0.00
563.00,5367.90,0.00
593.50,10524.57,0.00
624.50,9884.34,0.00
654.50,7784.56,0.00
684.50,7319.74,0.00
714.50,5392.57,0.00
744.50,7373.65,0.00
774.50,4912.37,0.00
804.50,6286.05,0.00
834.50,6868.86,0.00
864.50,9447.68,0.00
894.50,6334.41,0.00
924.50,5954.46,0.00
954.00,5112.05,0.00
981.50,6101.90,0.00
1011.00,7209.92,0.00
1043.00,3669.74,0.00
1073.50,2519.06,0.00
1104.00,4882.82,0.00
1134.50,9681.50,0.00
1163.50,10142.31,0.00
1192.50,12617.74,0.00
1222.50,13412.16,0.00
1252.50,13665.82,0.00
1283.00,369.59,0.00
1313.50,367.56,0.00
1343.50,368.30,0.00
1373.50,367.10,0.00
1404.00,367.73,0.00
1434.00,366.59,0.00
1464.00,367.40,0.00
1494.50,367.40,0.00
1524.50,370.63,0.00
1554.50,367.56,0.00
1584.50,368.56,0.00
1614.00,367.71,0.00
1643.50,336.71,0.00
1673.50,510.84,0.00
1703.50,369.21,0.00
1733.50,365.83,0.00
1763.50,224.22,0.00
1793.50,437.36,0.00
1823.50,366.80,0.00
1853.50,366.55,0.00
1883.50,366.55,0.00
1913.50,364.67,0.00
1943.50,365.85,0.00
