Time,CT214J3,CT214F2,CT209H2,CT209F2,CT209C2,CT207H2,CT207F2,CT207C2,CT307H2,CT307F2,CT307C2,CT302H2,CT302F2,CT302C2,CT301H2,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.00,504.60,405.25,328.58,0.00,480.48,277.08,0.00,325.63,213.50,6.29,107.12,351.97,6.33,300.09,303.65,8.85,23.19,660.92,12.25
14.50,0.00,511.86,405.85,296.94,0.00,550.34,252.88,0.00,325.63,209.05,9.70,79.65,355.13,7.39,291.87,317.47,11.66,29.14,668.57,12.41
43.50,0.00,533.21,390.94,319.76,0.00,527.57,223.84,0.00,325.63,206.50,11.90,83.31,361.71,7.02,271.53,301.69,11.66,29.14,642.46,14.07
73.50,0.00,504.22,413.64,320.96,0.00,514.04,253.99,0.00,325.63,208.44,9.05,77.56,393.17,7.02,291.38,306.50,11.66,29.14,697.58,14.07
103.50,0.00,519.26,405.38,297.50,0.00,504.41,286.82,0.00,325.63,203.55,9.70,67.60,441.60,7.02,308.38,292.59,4.82,29.14,712.67,22.99
133.50,0.00,501.59,402.44,319.56,0.00,508.60,276.28,0.00,325.63,200.50,11.66,35.55,504.72,12.88,314.95,274.48,2.01,29.14,791.03,51.39
163.50,0.00,496.14,389.10,311.70,0.00,534.74,273.68,0.00,325.63,201.55,11.66,13.73,989.17,24.66,405.89,286.13,7.51,29.30,1179.19,102.07
193.50,0.00,534.93,382.72,326.89,0.00,541.14,247.24,0.00,325.63,205.59,8.76,43.87,1891.75,51.82,1114.52,375.79,7.51,29.30,2644.06,136.66
222.50,0.00,532.48,382.39,309.88,0.00,499.22,250.35,0.00,328.07,198.47,8.76,54.53,2117.21,99.49,1941.33,582.36,11.70,31.28,3129.98,144.45
252.50,0.00,553.54,407.97,342.88,0.00,506.90,251.82,0.00,348.82,190.28,8.76,55.51,2157.26,113.30,2076.22,679.21,20.94,31.28,3276.54,135.93
283.50,0.00,525.83,402.98,298.77,0.00,480.05,254.87,0.00,348.82,193.18,9.77,65.82,2158.10,113.47,2107.80,684.52,61.59,33.80,3272.07,95.60
313.50,0.00,545.78,392.90,351.12,0.00,527.70,259.14,0.00,348.82,208.00,10.74,78.43,2161.09,118.47,2125.31,637.87,98.54,27.77,3230.08,12.02
343.50,0.00,543.47,407.58,313.00,0.00,530.15,261.15,0.00,348.82,211.95,9.73,163.98,2235.14,111.73,2062.96,648.97,116.88,43.64,2374.23,13.61
372.50,0.00,536.61,410.28,344.33,0.00,523.79,230.82,0.00,467.64,198.77,12.70,513.44,2034.64,125.94,2004.56,678.91,106.94,88.20,939.61,15.47
402.50,0.00,525.32,408.88,351.93,0.00,535.06,1151.14,0.00,726.76,673.64,12.70,779.13,1677.27,102.90,1812.28,553.05,119.66,81.83,650.86,10.15
433.50,0.00,574.83,414.82,358.81,13.67,2302.37,2228.48,0.00,860.30,1324.79,33.17,890.67,796.66,13.90,1574.21,336.24,139.37,97.70,658.70,13.14
463.50,0.00,1250.89,411.60,333.51,104.13,3388.70,2285.66,40.21,818.19,1381.73,93.45,840.57,488.80,11.60,771.50,242.74,72.41,90.03,608.98,11.76
493.50,0.00,1958.17,412.98,333.61,151.02,3371.94,2114.54,43.43,818.19,1209.23,82.02,857.25,371.67,7.93,178.07,250.74,14.93,105.69,586.34,10.52
523.50,0.00,2322.95,413.64,606.83,123.95,3097.61,2024.92,37.60,773.63,1089.92,56.70,904.86,353.40,8.20,160.66,270.02,14.93,92.10,626.31,12.05
553.50,0.00,2417.89,559.33,1052.22,106.31,2925.91,1955.15,35.26,773.63,1065.51,48.77,852.00,320.61,7.42,90.40,247.81,14.93,92.10,621.90,12.36
583.00,0.00,2367.38,1391.55,1115.69,95.51,2824.65,1898.81,30.70,791.64,1069.66,54.26,746.90,313.27,9.68,72.57,279.39,14.93,51.66,636.10,9.16
613.00,0.00,2348.97,1817.65,1036.02,93.73,2813.72,1935.80,38.15,817.58,1054.30,66.35,640.66,379.34,8.46,31.13,276.31,14.93,43.88,649.18,16.66
643.50,0.00,2173.97,1793.02,966.18,101.62,2795.37,2206.63,41.05,888.38,1197.22,58.59,441.33,1934.39,9.89,357.27,285.12,12.70,38.07,958.08,16.97
671.50,0.00,1161.06,1646.39,944.19,100.07,3073.14,2388.65,107.00,888.38,1265.76,73.55,171.41,2477.86,9.89,1960.87,569.81,12.70,22.02,2944.23,124.53
701.50,0.00,670.85,1568.05,958.67,94.70,3292.29,2029.06,133.85,834.06,1138.42,115.89,79.35,2968.66,22.34,2410.79,767.30,12.70,42.11,3953.66,335.44
733.50,0.00,602.07,1550.19,987.75,93.36,2886.83,1874.32,132.00,836.09,1075.39,139.78,65.53,3067.53,200.10,2896.53,1220.76,6.84,42.11,4326.30,344.38
763.50,0.00,574.84,1656.82,991.49,64.10,2674.02,1779.40,118.10,795.60,1014.11,130.80,29.30,2913.74,312.58,2926.93,1283.39,6.84,42.11,4391.63,329.29
793.50,0.00,558.12,1619.10,952.43,11.46,2558.89,1697.22,112.76,702.52,940.87,124.94,159.00,2794.28,296.03,2796.26,1141.44,27.78,42.11,4254.29,306.39
823.50,0.00,567.37,1593.04,956.04,0.10,2413.50,1621.67,99.73,702.52,917.33,117.01,590.85,2733.98,277.26,2752.04,1057.75,213.15,42.11,4138.32,282.39
853.50,0.00,554.95,1581.68,870.18,0.00,2384.45,1497.78,65.11,641.79,881.77,105.61,1017.67,2607.60,265.31,2700.54,1030.59,276.92,29.60,4055.54,245.87
883.50,0.00,549.38,1563.07,694.61,0.00,2208.18,1178.21,28.80,594.19,770.27,77.45,1196.54,2466.71,213.87,2530.71,944.94,257.71,113.34,3909.40,201.62
913.50,0.00,527.37,1395.39,539.79,0.00,1855.57,839.22,7.14,516.98,569.77,42.32,1377.16,2347.81,174.54,2446.94,836.13,252.02,123.70,3663.93,172.79
943.50,0.00,540.10,1093.28,459.53,0.00,1478.29,605.92,7.14,454.41,407.57,30.30,1352.95,2336.16,150.65,2362.92,800.44,224.67,112.37,3488.92,158.94
973.50,0.00,525.16,868.36,416.05,0.00,1102.76,519.49,7.14,413.52,367.28,15.56,1291.10,2308.84,128.93,2328.95,754.16,179.92,100.40,3462.02,157.53
1003.50,0.00,532.58,708.08,354.31,0.00,886.65,396.28,7.14,413.52,343.02,11.90,1202.72,2274.71,126.38,2329.44,716.94,152.77,113.31,3431.52,157.05
1031.50,0.00,503.78,592.22,333.00,0.00,725.84,386.05,7.14,413.52,257.27,12.49,1166.09,2269.14,133.90,2327.97,726.56,130.92,92.01,3420.87,158.14
1060.00,0.00,547.52,505.23,372.36,0.00,643.62,373.05,7.14,363.47,226.92,10.62,1060.14,2255.79,128.65,2296.35,695.84,119.81,76.69,3400.57,167.30
1091.00,0.00,520.87,490.71,360.39,0.00,623.95,363.97,7.14,346.99,252.63,13.33,988.17,2281.35,137.43,2342.45,689.40,119.11,116.37,3410.19,168.87
1122.00,0.00,480.05,452.22,391.59,0.00,595.83,348.82,7.14,346.99,222.75,14.91,969.92,2284.99,140.96,2324.61,682.08,115.18,111.39,3365.98,157.74
1152.50,0.00,505.89,492.87,346.92,0.00,533.37,333.13,7.14,346.99,222.17,13.49,911.33,2250.43,129.56,2393.14,699.02,127.26,111.39,3371.98,159.80
1182.50,0.00,502.86,472.25,384.53,0.00,533.01,351.48,7.14,346.99,230.15,11.32,934.46,2230.87,137.71,2363.77,683.97,135.68,171.82,3132.45,158.09
1212.50,0.00,517.83,473.27,340.53,0.00,506.82,379.03,7.14,346.99,224.31,11.32,892.96,2161.32,134.62,2291.69,659.57,125.43,139.87,3047.68,155.51
1242.00,0.00,517.33,466.10,349.15,0.00,482.54,346.10,7.14,346.99,220.85,10.68,919.10,2127.46,144.23,2216.59,641.98,128.79,160.83,3001.65,136.08
1271.50,0.00,495.87,478.96,360.69,0.00,499.06,335.64,7.14,346.99,217.59,10.68,908.73,2068.26,127.09,2223.09,584.53,131.12,153.14,2975.81,132.06
1302.50,0.00,516.34,471.81,353.82,0.00,548.82,364.52,7.14,346.99,226.14,11.21,911.37,1916.49,118.08,2100.38,564.95,126.16,165.41,2817.21,128.79
1333.50,0.00,496.16,482.00,337.22,0.00,551.98,370.57,7.14,346.99,229.50,11.21,880.29,1823.45,123.21,1963.70,497.90,126.53,160.89,2759.56,125.96
1363.50,0.00,508.81,480.96,332.16,0.00,524.82,381.60,7.14,373.08,226.02,11.21,899.18,1759.36,109.19,1843.55,506.66,107.36,144.35,2659.65,123.95
1393.50,0.00,468.70,459.22,344.20,0.00,537.90,367.08,7.14,390.33,213.12,12.54,893.70,1775.18,121.46,1774.01,454.78,111.27,179.40,2621.56,97.60
1423.00,0.00,494.45,493.60,349.35,0.00,554.99,328.17,7.14,390.33,219.58,14.59,856.03,1682.63,104.86,1777.83,471.84,105.53,169.83,2623.87,59.94
1453.00,0.00,503.61,472.03,339.49,0.00,480.77,349.39,7.14,390.33,223.56,13.61,821.73,1290.78,73.29,1553.11,390.94,106.48,185.93,2277.22,34.68
1483.50,0.00,500.10,454.02,358.37,0.00,547.01,391.92,7.14,390.33,230.41,12.70,819.06,1118.43,49.01,1211.54,349.86,98.63,192.36,1839.58,26.79
1513.50,0.00,504.22,473.68,354.68,0.00,516.34,390.38,7.14,390.33,222.17,12.70,760.27,703.59,31.65,879.66,309.37,69.45,170.35,1473.11,21.22
1543.50,0.00,501.84,473.72,366.98,0.00,517.18,389.67,7.14,390.33,222.78,14.40,721.04,551.16,23.13,591.41,258.30,46.88,170.35,1161.67,16.91
1573.50,0.00,495.31,493.88,367.51,0.00,540.47,356.89,7.14,390.33,226.21,14.40,680.07,405.36,14.53,453.86,277.65,29.24,173.19,991.58,11.41
1603.50,0.00,496.27,484.32,385.75,0.00,554.23,393.38,7.14,390.33,231.02,17.64,643.87,445.46,15.81,274.89,253.87,15.69,159.09,848.77,11.41
1633.50,0.00,508.26,500.65,401.13,0.00,549.68,384.08,7.14,431.83,239.97,13.65,650.09,345.60,13.55,215.46,243.99,17.64,170.19,878.69,13.00
1663.50,0.00,491.58,513.01,368.09,0.05,602.22,421.50,7.14,431.83,261.54,13.65,585.23,350.04,12.82,173.47,200.81,10.74,177.92,766.10,10.51
1693.50,0.00,514.59,500.04,357.48,0.00,558.61,375.54,7.14,431.83,235.99,13.65,463.57,348.59,10.93,177.46,239.87,10.65,150.30,793.91,10.93
1723.50,0.00,504.95,499.76,361.33,0.00,543.93,381.22,7.14,393.38,260.62,14.65,354.80,308.84,7.67,129.52,255.01,9.34,143.86,758.98,12.06
