Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,-1179.12,-1546.55
10.50,4903.61,5320.18
35.50,11224.59,14206.44
65.50,18034.81,21462.97
95.50,21038.16,25150.57
125.50,20476.52,23617.07
155.50,14693.68,16907.33
185.50,9757.89,11453.06
215.50,8954.70,10355.62
245.50,10626.23,12090.27
275.50,11618.99,13506.32
305.50,8713.72,10920.49
335.50,6623.49,8164.07
365.50,14221.47,16790.21
395.50,-7998.75,-10120.51
425.50,25652.83,31847.07
455.50,8220.35,11351.94
485.50,8008.32,11123.38
515.50,18243.97,26180.57
545.00,28141.72,40334.77
575.00,29142.71,43000.76
605.50,22926.06,33038.02
635.50,18381.06,26004.53
665.50,13766.27,19342.37
695.00,12494.40,18190.48
725.00,7418.75,10139.89
755.50,755.19,856.59
785.50,1591.07,1654.82
815.50,356.31,311.81
845.50,-112.29,134.84
874.50,1136.79,1528.46
904.50,4486.05,5938.64
935.50,9198.35,13204.64
964.50,2548.72,4125.57
994.50,2620.76,3778.98
1025.00,1539.80,2910.53
1055.00,571.74,569.83
1085.50,-507.18,-556.18
1115.50,-818.82,-1062.13
1145.50,-27.52,-1.29
1175.50,897.47,1251.63
1204.50,-1055.87,-1449.97
1232.50,-1457.87,-2109.97
1262.00,-2648.90,-3040.47
1294.00,-2494.40,-3078.80
1324.50,-1430.19,-2309.88
1353.50,-47.12,-48.61
1383.50,521.48,716.85
1413.50,521.48,1548.62
1444.00,1309.92,1679.73
1474.50,750.22,819.81
1504.50,-361.73,-495.76
1534.50,391.97,271.65
1564.50,391.97,1194.17
1594.50,391.97,915.36
1625.00,197.10,1013.48
1655.50,3082.18,3699.41
1685.50,1163.58,2283.92
1715.50,997.76,960.92
1745.50,-972.47,-1474.97
1775.50,-1595.10,-2338.47
1804.50,-1215.48,-1460.67
1834.50,4708.10,5900.58
1864.50,8878.32,12680.17
1894.50,8115.46,11682.24
1925.50,8410.90,12428.97
1955.50,7800.09,10724.51
1985.50,8120.85,11244.99
2015.50,7176.30,9552.31
2045.00,4098.83,5269.76
2075.00,2334.63,3220.96
2105.50,2183.26,3370.65
2135.50,2019.87,3053.34
2165.50,1210.53,1794.65
2195.50,1248.80,1625.54
2225.50,5307.67,6995.82
2255.50,7555.74,10333.73
2285.50,5141.03,6897.94
2315.50,3586.04,4962.26
2345.50,2123.05,3075.41
2375.50,1591.46,1921.76
2405.50,1279.64,1972.22
2435.50,1279.64,1425.35
2465.50,321.03,347.02
2495.50,2064.91,2469.59
2525.50,4336.03,5885.93
2555.50,8096.48,10806.96
