Time,South Central Fans,North Central Fans
s,m3/s,m3/s
0.00,-1.13,0.94
10.00,-1.11,0.33
35.00,-1.12,0.72
65.00,-1.24,0.71
95.00,-0.78,0.76
125.00,-1.46,-0.40
154.00,-1.80,-28.55
184.00,-1.16,-50.33
214.00,-1.45,-52.12
243.50,-0.76,-52.34
274.00,-0.55,-51.48
304.50,-0.24,-51.62
334.00,-0.56,-53.25
364.00,-0.42,-54.82
394.50,-0.52,-55.81
424.50,-0.58,-55.99
455.00,-0.71,-55.87
485.00,-0.34,-56.28
514.50,-0.92,-56.38
544.50,-0.77,-58.33
574.50,-0.78,-59.51
604.50,-0.64,-59.21
634.50,-0.76,-58.34
664.50,-0.50,-59.78
694.50,-0.22,-60.71
724.50,-0.40,-61.80
754.50,-0.13,-63.48
784.50,-0.01,-63.17
815.00,-0.09,-64.05
845.00,0.08,-63.98
875.00,-0.17,-64.67
905.00,-0.08,-64.65
934.50,-0.13,-63.53
964.50,-0.20,-65.01
994.50,-0.01,-64.20
1024.00,0.20,-65.08
1054.00,0.23,-65.75
1084.50,0.06,-68.07
1114.50,0.42,-68.03
1144.50,0.43,-68.97
1174.50,0.62,-68.90
1204.50,0.31,-68.28
1234.50,0.43,-65.77
1264.50,0.50,-69.03
1294.50,0.57,-70.43
1324.50,0.42,-70.67
1354.50,0.59,-74.43
1384.50,0.74,-72.92
1414.50,0.70,-72.05
1444.50,0.56,-72.37
1474.50,0.69,-72.95
1504.50,0.76,-74.01
1534.50,0.71,-70.58
1564.50,0.80,-71.16
1594.50,0.77,-70.59
1624.50,0.36,-70.78
1654.50,0.44,-73.21
1684.50,0.50,-73.37
1714.50,1.04,-74.35
1744.50,1.07,-75.54
1774.50,0.67,-75.05
1804.50,0.73,-75.98
1834.50,0.68,-74.41
1864.00,0.39,-75.82
1894.00,0.44,-76.43
1924.50,0.27,-76.62
1954.50,0.12,-77.11
1984.50,0.12,-75.84
2014.50,-0.24,-73.62
2044.50,-0.34,-73.22
2074.50,-0.17,-72.20
2104.50,-0.20,-72.06
2134.50,-0.14,-71.86
2164.50,-0.22,-72.02
2194.50,0.11,-71.01
2224.00,0.39,-71.82
2253.50,0.88,-72.30
2283.50,0.88,-72.95
2314.00,1.25,-71.79
2344.50,1.40,-71.62
2374.50,1.31,-71.97
2404.50,0.87,-71.97
2434.50,0.29,-71.59
2464.00,-0.20,-79.36
2494.00,-0.84,-123.26
