Time,CT214J3,CT214F2,CT209H2,CT209F2,CT209C2,CT207H2,CT207F2,CT207C2,CT307H2,CT307F2,CT307C2,CT302H2,CT302F2,CT302C2,CT301H2,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.00,257.27,443.79,81.64,262.91,87.23,201.36,0.00,0.30,181.70,16.60,0.30,0.30,0.00,46.39,0.30,6.90,0.30,0.30,18.40
9.00,0.00,222.05,427.25,88.96,263.22,112.81,215.30,0.00,0.30,175.57,16.15,0.30,0.30,0.00,88.47,0.30,6.84,0.30,0.30,16.66
32.50,0.00,251.88,403.75,82.17,262.80,68.18,232.38,0.00,0.30,171.51,15.92,0.30,0.30,0.00,159.18,0.30,7.83,0.30,0.30,15.49
62.50,0.00,250.99,411.02,97.35,264.92,101.85,203.55,0.00,0.30,176.95,15.56,0.30,0.30,0.00,225.12,0.30,5.84,0.30,0.30,15.49
92.50,0.00,213.36,434.03,67.31,263.19,45.47,220.50,0.00,0.30,174.43,15.56,0.30,0.30,0.00,289.07,0.30,6.26,0.30,0.30,23.30
122.50,0.00,229.44,399.28,74.31,264.99,91.03,211.77,0.00,0.30,149.94,15.56,0.30,0.30,0.00,389.16,0.30,5.86,0.30,0.30,30.82
152.50,0.00,223.32,402.53,67.93,263.53,55.61,213.83,0.00,0.30,150.35,18.55,0.30,0.30,0.00,778.03,0.30,6.56,356.45,268.02,40.34
182.50,0.00,247.59,380.73,74.65,264.49,71.87,212.43,0.00,0.30,151.50,12.76,0.30,0.30,2.53,1482.87,26.25,6.84,356.45,930.98,51.16
212.50,0.00,219.60,388.49,89.61,263.52,70.85,217.43,0.00,0.30,158.08,12.76,0.30,0.30,2.53,1801.22,35.78,15.56,356.45,1327.23,58.61
242.50,0.00,222.20,391.28,80.36,261.74,106.30,216.84,0.00,0.30,149.54,19.47,0.30,0.30,6.37,1977.57,65.21,24.11,94.61,1560.26,60.70
272.50,0.00,237.45,396.63,87.41,262.23,76.73,243.35,0.00,0.30,146.18,19.47,0.30,0.30,8.22,1907.68,67.06,24.11,94.61,1665.46,66.71
302.50,0.00,243.04,409.11,84.96,261.45,37.82,207.62,0.00,0.30,157.78,18.62,0.30,0.30,7.87,1980.04,37.38,33.26,94.61,1781.62,65.74
332.50,0.00,247.37,392.54,94.77,260.95,56.24,209.61,0.00,0.30,115.26,18.31,0.30,0.30,7.87,1983.50,40.85,41.08,94.61,1786.48,69.06
362.50,0.00,260.18,405.96,94.05,260.10,36.56,231.88,0.00,0.30,125.23,16.58,0.30,0.30,8.00,2062.15,63.58,36.68,94.61,1784.56,63.72
