Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,-1504.82,-1618.53
5.50,330.59,390.69
25.50,9562.57,9760.72
55.00,18831.04,20037.73
84.00,27503.39,29337.05
114.00,29245.95,31388.23
145.00,27332.02,31627.38
175.50,41850.83,49643.30
205.50,43715.71,50116.22
235.50,39444.88,45428.50
265.00,35481.97,40857.91
295.00,30832.36,36523.60
325.50,33842.12,42415.36
355.50,32685.14,41124.97
385.50,33226.62,40845.38
415.50,36789.65,44546.10
445.50,38500.47,45762.26
475.00,41642.45,49898.28
505.00,40713.03,48812.23
535.50,38283.66,45423.85
565.50,32289.07,38271.08
595.00,31046.54,36708.36
625.00,29787.18,35135.46
655.50,36439.50,42947.30
685.50,44423.92,52347.98
715.50,30403.80,35888.56
745.50,36854.26,43512.27
775.00,40640.77,48022.59
805.00,41849.37,49172.06
835.50,48329.52,57695.53
865.50,61172.34,70392.74
895.50,50712.60,59764.53
925.50,38115.68,45196.63
955.50,37934.96,44919.10
985.50,25011.94,29465.89
1015.50,22984.27,26596.81
1045.50,21199.23,25193.94
1074.00,18477.27,21669.75
1103.00,6143.25,6948.34
1134.50,1471.36,1737.18
1165.50,377.21,592.42
1195.50,377.21,592.42
1224.50,377.21,45.55
1254.50,377.21,45.55
1285.50,377.21,585.16
1315.50,377.21,585.16
1345.00,377.21,585.16
1375.00,377.21,585.16
1405.50,377.21,585.16
1435.50,377.21,585.16
1465.50,377.21,585.16
1495.50,377.21,585.16
1525.50,377.21,585.16
1555.50,377.21,585.16
1585.00,377.21,585.16
1615.00,377.21,585.16
1645.00,377.21,585.16
