Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207F2,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,37.64,0.30,301.46,269.17,5.91,0.30,77.07,0.00,655.43,0.00,0.00,0.30,110.96,8.06,151.67,0.30,0.00,451.83,0.30,0.00
8.00,32.23,0.30,292.19,274.56,5.48,0.30,99.62,0.00,655.43,0.00,0.00,0.30,106.51,8.06,158.39,0.30,0.00,420.40,0.30,0.00
30.50,53.71,0.30,289.77,243.23,5.79,0.30,87.87,0.00,696.12,0.00,0.00,0.30,81.55,8.12,153.22,0.30,0.00,417.00,0.30,0.00
60.00,55.14,0.30,288.13,257.06,5.39,0.30,137.94,0.00,696.12,0.00,0.00,0.30,107.12,8.12,188.66,0.30,0.00,469.94,0.30,0.00
90.00,52.83,0.30,291.90,264.17,4.92,0.30,114.40,0.00,712.60,0.00,0.00,0.30,98.15,8.12,213.19,0.30,0.00,416.88,0.30,0.00
120.50,68.19,0.30,311.96,230.47,4.78,0.30,76.29,0.00,663.16,0.00,0.00,0.30,127.97,8.12,176.33,0.30,0.00,427.48,0.30,0.00
149.50,66.50,0.30,302.64,269.19,4.51,0.30,149.19,0.00,708.93,456.93,0.00,0.30,417.03,8.12,198.20,0.30,0.00,368.59,0.30,0.00
179.50,53.59,0.30,296.82,251.00,4.87,0.30,101.95,0.00,784.62,1060.98,0.00,0.30,241.70,8.06,225.53,0.30,0.00,409.79,0.30,0.00
209.50,58.94,0.30,306.71,258.39,3.80,0.30,94.52,2.99,893.87,1263.32,0.00,30.52,375.86,8.06,253.81,0.30,0.00,417.94,0.30,0.00
239.00,58.95,0.30,295.50,244.68,3.93,0.30,126.97,2.99,995.19,1303.56,0.00,242.78,619.04,8.06,313.06,0.30,0.00,435.60,0.30,0.00
269.50,59.18,0.30,270.00,264.39,4.31,175.48,114.66,2.99,1049.52,1402.26,0.00,591.21,430.44,8.12,546.09,0.30,0.00,371.87,0.30,0.00
300.00,442.70,0.30,872.48,282.12,4.16,421.19,203.64,16.34,1337.76,1392.91,0.00,708.98,410.43,8.12,282.70,0.30,0.00,376.00,0.30,0.00
330.00,1639.34,0.30,2174.73,977.61,7.23,1170.54,1495.19,24.48,1337.36,1261.51,0.00,231.56,138.53,8.36,303.65,0.30,0.00,376.00,0.30,0.00
358.50,1590.38,0.30,1962.58,1021.86,5.71,2399.40,1992.87,21.96,1160.60,1313.86,0.00,231.56,151.54,10.19,326.96,0.30,0.00,352.91,0.30,0.00
388.00,1332.19,0.30,1678.56,968.81,5.05,1665.76,2032.33,19.71,1120.32,1238.52,0.00,231.56,128.42,7.14,336.19,0.30,0.00,462.20,0.30,0.00
419.50,1163.52,0.30,1604.33,853.55,4.89,1336.38,2160.33,9.83,1120.32,1160.75,0.00,231.56,110.83,7.14,331.32,0.30,0.00,402.11,0.30,0.00
450.00,1095.05,0.30,1519.82,846.13,9.68,1254.42,2146.33,5.49,1120.32,1111.94,0.00,231.56,150.23,7.14,364.46,0.30,0.00,375.00,0.30,0.00
480.00,1079.69,0.30,1544.37,576.69,9.13,1311.36,2210.77,5.49,1120.32,1087.76,0.00,231.56,132.60,10.25,349.36,0.30,0.00,366.35,0.30,0.00
