Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207F2,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,56.15,189.76,97.02,64.27,0.00,0.30,46.39,0.00,164.13,115.88,28.69,0.30,195.01,16.91,99.12,53.86,26.49,206.47,0.30,14.92
10.50,59.51,153.86,93.45,44.25,0.00,0.30,30.17,0.00,164.13,100.97,29.59,0.30,192.73,16.91,99.52,34.99,26.49,211.85,0.30,13.70
34.50,25.48,149.39,118.84,46.76,0.00,0.30,51.58,0.00,164.13,106.39,31.31,0.30,192.87,16.91,104.29,39.57,26.49,218.48,0.30,16.08
64.50,27.47,152.44,89.59,43.75,0.00,0.30,20.07,0.00,164.13,89.92,28.79,0.30,213.36,16.91,133.19,14.75,26.49,224.69,0.30,19.01
95.50,25.84,135.76,112.00,54.05,0.00,0.30,16.33,0.00,164.13,98.27,31.35,0.30,172.29,19.59,151.37,47.61,26.49,205.74,0.30,17.27
125.50,54.02,116.03,114.81,28.14,0.00,0.30,37.46,0.00,254.21,653.03,30.33,0.30,179.66,19.59,187.78,41.61,26.49,198.30,0.30,17.76
155.50,54.02,117.41,98.66,28.14,0.00,0.30,1058.43,0.00,377.71,1465.52,27.41,0.30,218.09,19.59,151.79,38.45,26.49,193.74,0.30,14.83
185.50,54.02,93.60,75.99,47.76,0.00,0.30,2238.40,30.75,489.81,1438.79,30.37,0.30,216.91,19.59,178.38,56.86,26.49,203.06,0.30,16.27
215.00,54.02,92.00,106.51,47.76,0.00,383.78,2214.48,36.13,565.50,1501.94,31.46,0.30,187.91,19.59,190.07,54.02,26.49,165.38,0.30,15.11
244.00,54.02,91.30,114.85,194.12,0.00,994.58,2253.60,45.65,606.39,1552.79,30.07,0.30,204.60,19.59,176.62,35.58,26.49,172.14,0.30,15.77
274.50,206.24,73.47,584.42,791.26,39.85,1167.62,2155.94,47.35,561.23,1292.38,30.02,308.54,192.36,19.90,574.23,27.77,35.22,139.13,0.30,14.18
305.00,455.76,52.13,1255.73,641.18,1.04,1136.39,1385.42,37.56,556.95,1026.84,30.02,541.94,198.67,19.90,1756.18,30.10,32.35,157.07,0.30,15.75
335.00,751.14,54.57,1439.54,298.08,0.00,1073.78,1417.56,35.22,556.95,982.48,30.02,583.20,179.53,19.90,1777.62,38.15,30.78,148.83,0.30,13.86
365.50,664.34,51.88,1290.99,33.67,0.00,1271.12,1285.03,25.70,538.03,969.93,36.05,536.81,199.32,19.84,1750.21,52.80,31.68,139.60,0.30,13.86
395.50,587.30,35.10,1108.05,41.50,0.00,1164.45,1186.85,36.26,573.03,955.89,57.65,554.02,203.94,19.84,1776.20,48.83,31.04,245.86,0.30,11.35
425.50,432.19,42.68,871.03,38.76,0.00,1155.77,1246.57,27.22,555.33,951.32,63.46,571.60,213.69,19.84,1776.63,38.93,28.50,280.02,0.30,16.47
455.50,303.62,28.53,682.85,43.10,0.00,1144.99,1164.40,15.77,585.64,971.83,61.26,526.54,192.43,19.84,1726.35,30.82,33.39,295.72,729.99,14.22
485.50,190.05,24.41,555.62,46.39,0.00,1166.16,1225.18,9.28,555.12,1008.62,43.76,555.43,210.37,19.84,1712.31,35.34,34.61,275.88,729.99,14.22
