Time,TIWC202G,TIWC202F,TIWC202E,TIWC202D,TIWC202C,TIWC202B,TIWC202A,TINC301H,TINC301G,TINC301F,TINC301E,TINC301D,TINC301C,TINC301B,TINC301A,TINC302H,TINC302G,TINC302F,TINC302E,TINC302D,TINC302C,TINC302B,TINC302A,TINC303H,TINC303G,TINC303F,TINC303E,TINC303D,TINC303C,TINC303B,TINC303A,TINC304H,TINC304G,TINC304F,TINC304E,TINC304D,TINC304C,TINC304B,TINC304A,TINC205H,TINC205G,TINC205F,TINC205E,TINC205D,TINC205C,TINC205B,TINC205A,TINC305H,TINC305G,TINC305F,TINC305E,TINC305D,TINC305C,TINC305B,TINC305A,TINC306H,TINC306G,TINC306F,TINC306E,TINC306D,TINC306C,TINC306B,TINC306A,TINC307H,TINC307G,TINC307F,TINC307E,TINC307D,TINC307C,TINC307B,TINC307A,TINC207H,TINC207G,TINC207F,TINC207E,TINC207D,TINC207C,TINC207B,TINC207A,TINC208H,TINC208G,TINC208F,TINC208E,TINC208D,TINC208C,TINC208B,TINC208A,TINC209H,TINC209G,TINC209F,TINC209E,TINC209D,TINC209C,TINC209B,TINC209A,TINC211H,TINC211G,TINC211F,TINC211E,TINC211D,TINC211C,TINC211B,TINC211A,TINC213H,TINC213G,TINC213F,TINC213E,TINC213D,TINC213C,TINC213B,TINC213A,TIWC214G,TIWC214F,TIWC214E,TIWC214D,TIWC214C,TIWC214B,TIWC214A
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.00,5.31,5.44,5.41,5.39,6.41,5.39,5.49,7.37,6.44,6.15,6.56,5.74,5.74,5.87,6.10,7.76,6.84,6.72,7.13,6.38,6.61,6.64,6.52,8.26,7.62,7.33,7.08,6.61,6.41,6.38,6.56,8.07,7.18,7.46,6.72,6.92,7.20,6.95,7.45,9.29,8.13,7.44,7.67,7.82,8.84,10.55,8.73,10.01,9.61,9.08,8.85,8.43,7.05,7.41,7.76,8.64,9.28,8.94,8.54,8.42,6.95,7.31,7.14,8.38,10.04,8.03,7.80,8.00,7.59,7.75,8.60,10.05,8.98,8.21,7.98,7.77,7.72,7.77,8.07,11.69,10.29,9.33,8.95,8.96,8.67,8.57,8.42,11.57,9.99,9.61,9.99,9.76,9.61,9.45,9.48,12.79,11.51,10.52,10.29,9.83,9.55,9.50,9.55,12.37,12.02,11.36,11.61,11.38,10.98,11.28,11.12,12.50,12.14,11.64,10.90,11.20,10.62,10.39
2.50,5.31,5.44,5.41,5.39,6.41,5.39,5.49,7.37,6.44,6.15,6.56,5.74,5.74,5.87,6.10,7.76,6.84,6.72,7.13,6.38,6.61,6.64,6.52,8.26,7.62,7.33,7.08,6.61,6.41,6.38,6.56,43.59,20.87,14.95,8.11,8.33,8.67,6.95,7.45,38.02,31.16,23.96,18.40,18.31,22.38,24.76,10.13,64.92,51.93,40.59,26.39,16.75,17.68,17.21,15.42,41.99,34.72,21.83,15.10,12.09,9.25,8.92,8.64,10.53,11.46,9.45,9.22,8.00,7.59,7.75,8.60,10.05,8.98,8.21,7.98,7.77,7.72,7.77,8.07,11.69,10.29,9.33,8.95,8.96,8.67,8.57,8.42,11.57,9.99,9.61,9.99,9.76,9.61,9.45,9.48,12.79,11.51,10.52,10.29,9.83,9.55,9.50,9.55,12.37,12.02,11.36,11.61,11.38,10.98,11.28,11.12,12.50,12.14,11.64,10.90,11.20,10.62,10.39
19.50,5.31,5.44,5.41,5.39,6.41,5.39,5.49,7.37,6.44,6.15,6.56,5.74,5.74,5.87,6.10,44.28,35.67,15.43,7.13,6.38,6.61,6.64,6.52,138.30,114.66,54.27,10.13,8.77,8.79,7.87,8.11,213.09,148.07,123.65,23.82,11.39,12.73,10.09,10.58,223.92,181.40,145.58,90.87,51.42,60.32,57.08,14.30,405.95,296.57,204.75,131.64,49.43,55.82,45.54,42.35,228.13,201.75,143.04,64.13,18.16,13.97,12.69,13.41,141.80,87.87,98.41,42.11,13.47,10.50,10.67,10.87,113.70,83.51,70.02,34.87,17.21,9.36,7.77,8.07,11.69,10.29,9.33,8.95,8.96,8.67,8.57,8.42,11.57,9.99,9.61,9.99,9.76,9.61,9.45,9.48,12.79,11.51,10.52,10.29,9.83,9.55,9.50,9.55,12.37,12.02,11.36,11.61,11.38,10.98,11.28,11.12,12.50,12.14,11.64,10.90,11.20,10.62,10.39
49.50,5.31,5.44,5.41,5.39,6.41,5.39,5.49,33.96,15.77,6.15,6.56,5.74,5.74,5.87,6.10,120.40,95.47,26.64,8.54,7.85,8.05,8.05,7.95,245.25,231.67,156.31,38.01,11.05,8.79,9.38,8.11,331.53,284.80,248.47,114.74,17.39,16.62,13.36,13.82,386.41,337.52,291.16,216.90,92.84,93.97,82.47,20.21,676.83,546.84,373.95,249.39,88.73,101.71,83.40,70.66,390.39,365.91,261.30,130.78,26.11,20.86,18.24,20.75,282.84,171.07,207.58,104.00,21.54,14.21,14.28,13.93,208.00,171.26,147.60,72.07,32.05,10.77,9.23,9.63,113.04,87.74,75.11,45.49,30.43,13.77,8.57,8.42,11.57,9.99,9.61,9.99,9.76,9.61,9.45,9.48,12.79,11.51,10.52,10.29,9.83,9.55,9.50,9.55,12.37,12.02,11.36,11.61,11.38,10.98,11.28,11.12,12.50,12.14,11.64,10.90,11.20,10.62,10.39
79.50,5.31,5.44,5.41,5.39,6.41,5.39,5.49,55.50,24.88,6.15,6.56,5.74,5.74,5.87,6.10,137.16,117.53,48.21,10.04,7.85,8.05,8.05,7.95,255.73,251.11,192.21,67.01,11.05,8.79,9.38,8.11,336.07,308.31,273.59,166.77,23.90,16.62,13.36,13.82,443.18,408.46,358.55,294.93,137.53,107.70,90.79,24.01,820.49,768.21,593.62,373.81,147.48,132.17,114.35,98.64,469.87,432.17,322.34,176.31,50.19,28.42,23.13,26.14,327.28,197.36,252.13,149.41,41.69,18.73,17.85,16.87,254.75,218.63,181.61,97.68,49.08,12.27,10.67,11.04,161.66,140.91,114.09,60.43,39.66,21.25,10.06,9.71,95.05,85.28,66.75,59.71,31.83,20.23,9.45,9.48,12.79,11.51,10.52,10.29,9.83,9.55,9.50,9.55,12.37,12.02,11.36,11.61,11.38,10.98,11.28,11.12,12.50,12.14,11.64,10.90,11.20,10.62,10.39
109.50,5.31,5.44,5.41,5.39,6.41,5.39,5.49,54.14,27.88,7.38,6.56,5.74,5.74,5.87,6.10,125.91,108.92,57.80,10.04,7.85,7.92,8.10,7.87,245.39,241.33,190.53,70.32,10.80,9.63,9.40,8.45,330.77,310.64,271.14,172.35,23.90,14.88,12.32,13.74,458.25,428.81,388.82,331.89,169.37,104.31,90.79,26.87,932.02,935.05,760.07,568.15,322.77,171.76,130.78,125.35,539.05,482.09,365.28,217.76,80.31,34.69,27.92,30.38,368.35,226.27,299.30,191.66,75.55,23.18,21.56,19.86,286.90,254.22,218.90,130.55,78.70,13.67,12.25,12.45,187.05,173.29,134.99,78.50,48.45,25.83,11.53,9.71,129.80,117.86,90.43,73.51,52.23,36.77,12.40,10.89,72.03,68.37,58.15,47.27,29.80,15.53,9.50,9.55,12.37,12.02,11.36,11.61,11.38,10.98,11.28,11.12,12.50,12.14,11.64,10.90,11.20,10.62,10.39
139.50,5.31,5.44,5.41,5.39,6.41,5.39,5.49,37.22,19.51,7.38,6.56,5.74,5.74,5.87,6.10,109.68,97.51,46.01,10.04,7.85,7.92,8.10,7.87,233.26,222.35,168.88,50.56,10.80,9.63,9.40,8.45,324.34,307.01,261.39,149.78,20.95,13.59,11.92,12.41,460.62,433.70,391.99,338.55,169.12,98.74,93.45,26.87,939.24,923.59,769.86,664.51,437.99,209.64,137.76,142.75,558.63,511.90,400.22,252.79,107.64,42.53,27.92,30.38,387.21,240.16,317.37,214.41,86.51,27.82,23.89,22.24,303.99,275.22,238.41,148.46,101.77,16.51,14.42,14.68,205.84,193.02,154.32,91.95,56.96,30.14,13.16,11.19,146.23,134.77,105.45,81.17,59.54,44.48,12.40,10.89,100.41,93.20,81.03,69.81,52.32,28.06,10.93,9.55,35.74,47.06,35.65,36.63,25.34,16.35,11.28,11.12,12.50,12.14,11.64,10.90,11.20,10.62,10.39
169.00,5.31,5.44,5.41,5.39,6.41,5.39,5.49,20.09,11.93,7.38,6.56,5.74,5.74,5.87,6.10,95.87,79.31,30.94,10.04,7.85,7.92,8.10,7.87,222.33,209.05,145.29,31.20,9.66,9.63,9.40,8.45,323.19,301.61,253.48,125.78,17.10,13.59,11.92,12.41,472.71,439.05,392.74,341.08,160.03,95.52,92.61,29.04,927.43,886.32,723.39,655.54,491.21,266.31,146.26,155.70,566.61,524.01,416.61,271.30,124.68,54.52,31.55,30.38,396.64,250.88,334.72,231.28,88.33,37.80,26.03,22.24,315.04,291.14,253.02,163.36,110.66,22.64,16.59,16.87,213.59,203.54,163.09,106.10,63.91,37.95,18.00,14.28,153.92,142.64,114.13,90.88,68.18,49.42,18.09,13.10,111.52,104.08,87.08,70.24,54.14,37.91,13.90,11.08,63.21,70.61,59.98,57.65,42.84,29.17,14.63,11.12,35.05,35.29,41.41,38.89,38.45,29.13,22.41
199.00,5.31,5.44,5.41,5.39,6.41,5.39,5.49,11.04,8.71,7.38,6.56,5.74,5.74,5.87,6.10,83.21,63.26,22.13,8.62,7.85,7.92,8.10,7.87,210.50,196.52,121.11,21.05,9.66,9.63,9.40,8.45,313.99,293.09,243.85,111.29,17.10,12.19,11.92,12.41,458.65,430.27,387.55,338.19,144.97,91.10,92.13,29.04,887.74,834.64,695.59,629.45,525.82,336.89,157.49,158.43,573.03,539.19,432.28,285.89,137.62,64.28,33.98,32.85,404.85,257.71,343.70,234.32,100.30,47.27,28.16,23.89,318.99,298.07,261.93,162.59,107.18,28.14,18.73,18.29,219.28,208.41,168.48,118.04,78.12,53.03,24.46,17.25,159.66,149.88,122.01,96.46,73.63,52.38,18.09,15.23,116.76,108.55,94.07,77.19,56.64,40.18,17.68,12.49,79.55,80.63,70.94,64.18,50.63,38.84,19.33,12.56,55.97,57.35,61.41,59.55,56.13,50.58,47.38
