Time,214-CO-J3,214-CO-F2,209-CO-H2,209-CO-F2,209-CO-C2,207-CO-H2,207-CO-F2,207-CO-C2,307-CO-H2,307-CO-F2,307-CO-C2,302-CO-H2,302-CO-F2,302-CO-C2,301-CO-H2,301-CO-F2,301-CO-C2,202-CO-J3,202-CO-F2,202-CO-C2
s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
0.0,0.0,0.0,0.000305,0.00038,0.0,9.5e-05,9.9e-05,3e-06,0.000221,0.000114,3e-06,2e-06,3.5e-05,1.4e-05,6.4e-05,3.9e-05,3e-06,0.000144,0.000259,1.3e-05
0.0,0.0,0.0,0.000291,0.000348,0.0,6.8e-05,8.8e-05,3e-06,0.000199,0.000106,3e-06,2e-06,3.8e-05,1.4e-05,6.4e-05,3.9e-05,5e-06,0.000842,0.000241,1e-05
0.0,0.0,0.0,0.000315,0.000358,0.0,6.4e-05,8.6e-05,3e-06,0.000199,0.000122,3e-06,2e-06,3.3e-05,1.3e-05,6.4e-05,3.9e-05,4e-06,0.000233,0.000229,1.2e-05
0.0,0.0,0.0,0.000293,0.000359,0.0,4.4e-05,6.1e-05,3e-06,0.000199,0.000104,3e-06,2e-06,4.9e-05,1.3e-05,6.4e-05,3.9e-05,3e-06,0.000292,0.000253,1.2e-05
13.5,0.0,0.0,0.000352,0.000388,0.0,5.9e-05,7.2e-05,3e-06,0.000199,0.000103,3e-06,2e-06,0.000161,1.1e-05,6.4e-05,3.9e-05,2e-06,0.000259,0.000264,5e-06
41.5,0.0,0.0,0.000326,0.000371,0.0,8.4e-05,0.000111,3e-06,0.000239,0.000107,3e-06,0.0,0.000109,1.3e-05,0.0,0.0,4e-06,4.1e-05,0.000264,1e-05
71.5,0.0,0.0,0.000331,0.000374,0.0,7.6e-05,0.000525,3e-06,0.000239,0.00011,3e-06,0.0,0.000792,1.4e-05,0.00076,0.0,3e-06,4.1e-05,0.000383,3.6e-05
101.5,0.0,0.0,0.000315,0.000382,0.0,5.3e-05,0.000886,4e-06,0.000303,0.000187,3e-06,0.0,0.001921,1e-05,0.001618,0.000301,4e-06,4.1e-05,0.002304,0.000165
131.5,0.0,0.0,0.000328,0.000385,0.0,5.8e-05,0.001096,4e-06,0.000448,0.000428,3e-06,0.0,0.002261,3.1e-05,0.002045,0.000542,3e-06,0.000288,0.003489,0.000198
161.5,0.0,0.0,0.000356,0.000376,0.0,7e-05,0.001106,6e-06,0.000513,0.000545,3e-06,0.0,0.002214,0.000149,0.002311,0.000609,4e-06,0.000229,0.003533,0.000206
191.5,0.0,0.0,0.000321,0.000361,0.0,6.9e-05,0.000756,1.2e-05,0.0006,0.00066,8e-06,0.0,0.002107,0.000198,0.00223,0.000531,3e-06,0.000259,0.003412,0.000223
220.5,0.0,0.0,0.00034,0.00038,0.0,0.001146,0.00024,6e-06,0.000578,0.000892,1e-05,0.0,0.002239,0.000208,0.002142,0.000437,1.6e-05,0.000419,0.003498,0.00023
250.5,0.0,0.0,0.000327,0.000369,0.0,0.001903,0.000138,5e-06,0.000509,0.000754,1e-05,0.0,0.002205,0.000214,0.00224,0.000438,0.000107,0.000228,0.003529,0.000218
281.5,0.0,0.0,0.000327,0.000368,0.0,0.002102,0.000131,5e-06,0.000386,0.000394,1e-05,0.0,0.002203,0.000211,0.002247,0.000399,0.000147,0.00042,0.003512,0.000213
311.5,0.0,0.0,0.000331,0.000376,0.0,0.00219,0.000109,5e-06,0.000286,0.000205,1e-05,0.0,0.002233,0.000194,0.002223,0.00041,0.000165,0.000584,0.003515,0.000238
342.0,0.0,0.0,0.000313,0.00037,0.0,0.001659,0.000132,3e-06,0.000286,0.000118,1e-05,0.0,0.002249,0.000219,0.002261,0.000397,0.000173,0.000153,0.003506,0.000239
371.5,0.0,0.0,0.000318,0.000356,0.0,0.000778,0.000129,3e-06,0.000286,0.000111,1e-05,0.0,0.002286,0.000228,0.002312,0.000403,0.000165,5.4e-05,0.003543,0.00024
401.0,0.0,0.0,0.000325,0.000388,0.0,0.000291,0.000175,3e-06,0.000286,0.00012,1e-05,0.0,0.002328,0.000226,0.002348,0.000408,0.000161,0.000302,0.003589,0.000259
431.5,0.0,0.0,0.000334,0.000327,0.0,0.000229,0.000139,3e-06,0.000286,0.000158,1e-05,9.8e-05,0.002375,0.000245,0.002412,0.000429,0.00018,0.000155,0.003646,0.000269
461.5,0.0,0.0,0.0003,0.00035,0.0,0.000187,0.00012,6e-06,0.000286,0.000134,1e-05,0.000296,0.00248,0.000253,0.002473,0.000477,0.000187,0.000651,0.00372,0.000258
491.5,0.0,0.0,0.000311,0.000345,0.0,0.000151,0.000178,2e-06,0.000286,0.000146,1e-05,0.00055,0.002442,0.000245,0.002528,0.00051,0.000186,0.000616,0.003676,0.000297
521.5,0.0,0.0,0.000293,0.000366,0.0,0.000185,0.000169,2e-06,0.000286,0.000183,1e-05,0.000713,0.002578,0.000265,0.002557,0.000472,0.000197,0.000293,0.003732,0.000329
551.5,0.0,0.0,0.000294,0.000362,0.0,0.000144,0.00018,2e-06,0.000305,0.000191,1e-05,0.000826,0.002647,0.000294,0.00269,0.000572,0.000205,0.000267,0.003848,0.000342
582.0,0.0,0.0,0.000283,0.000322,0.0,0.000152,0.000216,3e-06,0.000324,0.00021,1e-05,0.00093,0.002669,0.000313,0.002729,0.000615,0.0002,0.000405,0.003905,0.000348
612.0,0.0,0.0,0.000286,0.000351,0.0,0.000191,0.000211,3e-06,0.000324,0.000234,1e-05,0.000915,0.002661,0.000318,0.002762,0.000652,0.000236,0.000493,0.003923,0.000356
641.5,0.0,0.0,0.000262,0.000348,0.0,0.000184,0.000223,3e-06,0.000324,0.000259,1e-05,0.000892,0.002674,0.000306,0.00277,0.000625,0.000251,0.000326,0.003909,0.000363
671.5,0.0,0.0,0.000267,0.000356,0.0,0.000238,0.000248,3e-06,0.000324,0.000262,1e-05,0.00092,0.002732,0.000321,0.002785,0.000635,0.000258,0.000144,0.003919,0.000366
701.5,0.0,0.0,0.000276,0.000329,0.0,0.000192,0.000227,3e-06,0.000324,0.000267,1e-05,0.000899,0.002745,0.000334,0.002791,0.00061,0.000259,0.000917,0.003957,0.000401
731.5,0.0,0.0,0.000258,0.000346,0.0,0.000233,0.00025,3e-06,0.000324,0.000294,5e-06,0.000928,0.002867,0.000351,0.002828,0.000666,0.000263,0.000277,0.003993,0.000449
