Time,South Central Fans,North Central Fans
s,m3/s,m3/s
0.00,-0.87,0.29
5.00,-0.97,0.14
24.50,-0.99,0.07
54.50,-1.05,0.52
84.50,-1.01,0.20
114.50,-0.96,0.39
144.50,31.81,13.29
174.50,131.84,127.77
204.50,168.62,151.31
234.50,171.15,154.40
264.50,169.80,154.78
294.50,168.01,155.25
324.50,168.42,155.64
354.50,170.39,155.07
384.50,167.53,155.14
414.50,168.39,155.37
444.50,168.54,154.90
474.50,170.34,146.09
504.50,170.09,153.19
534.00,168.71,156.12
563.00,169.79,156.43
593.50,168.74,156.22
624.50,167.87,156.26
654.50,164.61,187.92
684.50,168.25,203.93
714.50,165.31,204.82
744.50,167.93,205.55
774.50,167.69,189.40
804.50,168.80,201.61
834.50,169.32,206.37
864.50,169.50,206.16
894.50,169.76,206.45
924.50,168.71,205.97
954.00,128.26,206.20
981.50,121.42,206.00
1011.00,119.86,206.32
1043.00,120.44,205.60
1073.50,124.80,192.65
1104.00,127.69,202.06
1134.50,121.58,205.69
1163.50,121.21,206.11
1192.50,124.34,206.32
1222.50,125.11,205.88
1252.50,132.83,206.66
1283.00,137.98,205.96
1313.50,137.19,206.51
1343.50,135.76,206.58
1373.50,136.99,192.89
1404.00,136.37,202.76
1434.00,137.47,205.61
1464.00,136.08,205.92
1494.50,133.81,205.56
1524.50,132.99,205.99
1554.50,168.50,205.77
1584.50,169.45,206.45
1614.00,168.57,206.35
1643.50,169.08,206.20
1673.50,165.76,192.89
1703.50,167.75,202.16
1733.50,167.02,205.67
1763.50,166.52,205.52
1793.50,168.98,205.45
1823.50,165.27,205.08
1853.50,167.13,205.14
1883.50,170.76,205.54
1913.50,168.37,205.48
1943.50,167.82,205.47
