Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,3075.63,0.00
11.50,5267.29,0.00
37.50,8889.36,0.00
67.50,14375.87,0.00
97.50,16783.01,0.00
127.00,21237.36,0.00
156.50,20150.33,0.00
187.00,17488.68,0.00
217.50,12077.96,0.00
247.00,10623.24,0.00
276.50,13714.10,0.00
306.50,5949.20,0.00
336.50,1933.78,0.00
366.50,2881.26,0.00
397.00,5358.57,0.00
427.00,9995.24,0.00
456.50,6588.26,0.00
486.50,3756.87,0.00
516.50,4300.38,0.00
547.00,4888.63,0.00
577.00,5801.45,0.00
602.50,5595.18,0.00
630.00,5679.56,0.00
664.00,5262.24,0.00
696.50,5008.72,0.00
727.00,4876.93,0.00
756.00,5508.49,0.00
784.50,7996.42,0.00
816.00,7626.55,0.00
847.00,7899.41,0.00
877.00,7237.20,0.00
907.50,5698.67,0.00
937.00,5840.16,0.00
966.00,6439.09,0.00
996.50,7280.98,0.00
1026.50,7469.38,0.00
1056.00,8509.35,0.00
1086.00,9012.37,0.00
1116.00,8359.62,0.00
1146.50,7963.12,0.00
1176.50,6714.73,0.00
1206.50,8271.75,0.00
1236.50,9721.40,0.00
1266.50,10604.53,0.00
1296.50,10552.59,0.00
1326.50,9635.13,0.00
1356.50,9416.02,0.00
1386.50,3838.31,0.00
1416.50,4480.71,0.00
1446.50,8153.26,0.00
1476.00,11443.45,0.00
1506.00,10556.10,0.00
1536.50,9977.39,0.00
1566.50,11091.79,0.00
1596.50,10027.78,0.00
1626.50,9250.43,0.00
1656.50,8715.86,0.00
1686.50,9092.97,0.00
1716.50,9267.20,0.00
1746.50,10928.95,0.00
1776.50,10614.74,0.00
1806.50,7074.95,0.00
1834.50,4162.53,0.00
1864.00,4126.61,0.00
1894.50,5517.75,0.00
1923.50,5850.02,0.00
1954.00,6233.82,0.00
1984.50,7855.72,0.00
2015.00,6060.10,0.00
2046.00,8129.21,0.00
2075.50,7164.82,0.00
2105.00,6889.03,0.00
2135.50,7607.54,0.00
2165.50,6409.94,0.00
2195.50,7526.56,0.00
2226.00,7060.37,0.00
2255.50,6839.67,0.00
2285.50,7384.40,0.00
2316.00,7527.47,0.00
2346.00,7662.92,0.00
2375.50,7127.62,0.00
2405.50,8525.46,0.00
2436.00,6788.41,0.00
