Time,South Central Fans,North Central Fans
s,m3/s,m3/s
0.00,-0.18,-0.71
3.50,-0.22,0.37
21.50,0.01,-0.97
51.50,-0.10,-0.52
81.50,0.05,-0.06
110.50,-0.15,0.49
140.50,-24.27,23.25
171.50,-109.66,104.14
201.50,-127.46,134.60
230.50,-127.49,138.37
260.50,-127.43,139.08
291.50,-126.60,139.10
320.00,-126.81,140.37
350.00,-127.69,140.56
381.50,-127.04,140.68
411.50,-126.52,140.40
441.50,-127.41,140.09
471.50,-127.24,140.39
501.50,-126.72,140.27
531.50,-127.46,140.93
560.50,-127.03,140.97
590.50,-127.35,141.04
620.00,-126.30,140.53
648.50,-125.73,140.63
679.50,-127.01,141.77
710.50,-127.16,140.66
741.00,-125.82,140.89
771.50,-126.42,141.03
800.50,-126.91,140.15
829.50,-126.14,140.58
859.50,-131.26,150.46
890.50,-150.11,165.57
921.50,-152.28,168.67
950.50,-151.49,168.90
980.50,-151.60,168.81
1011.50,-152.00,168.83
1041.50,-154.08,168.86
1071.50,-154.11,168.83
1101.50,-153.58,169.05
1131.50,-153.64,168.40
1161.50,-151.56,167.90
1191.50,-153.62,167.62
1221.50,-152.56,167.55
1251.50,-153.91,167.76
1280.50,-153.80,168.81
1310.50,-153.15,168.09
1341.50,-154.19,167.88
1371.50,-152.59,167.49
1401.50,-152.84,167.86
1431.50,-154.42,169.31
1461.50,-154.18,168.38
1491.00,-154.78,168.89
1521.00,-153.96,168.70
1551.50,-154.48,168.38
1581.50,-154.33,167.96
1610.50,-153.13,168.38
1640.50,-154.33,168.48
1671.50,-153.75,168.60
1701.50,-154.70,169.08
1731.50,-153.96,168.76
1761.50,-153.66,169.40
1791.50,-153.86,168.89
1821.50,-153.43,168.22
1850.00,-153.69,168.96
1880.00,-153.98,168.88
1911.50,-154.97,168.79
1940.50,-155.64,168.32
1970.50,-154.53,168.53
2001.50,-155.65,168.31
2031.50,-155.56,168.37
2060.50,-156.25,167.89
2089.00,-156.50,167.97
2118.50,-156.20,168.37
2148.50,-156.46,168.77
2179.00,-154.48,168.17
2209.50,-156.10,167.83
2240.00,-155.72,168.55
2270.50,-147.22,166.26
2300.00,-123.04,141.73
