Time,South Central Fans,North Central Fans
s,C,C
0.00,15.03,16.96
15.00,15.03,16.96
44.50,15.03,16.96
74.00,15.03,16.96
103.50,15.03,16.96
134.00,15.03,16.96
164.50,15.03,16.84
194.50,15.28,19.72
224.50,15.71,25.05
254.50,15.94,25.05
284.50,16.03,25.27
314.50,16.03,25.98
344.50,16.03,26.62
374.50,16.03,26.62
404.50,16.03,28.84
434.50,16.03,29.19
464.50,16.03,29.52
494.50,16.03,29.74
524.50,16.03,30.03
553.50,16.03,30.26
583.50,16.03,30.44
614.50,16.06,30.78
643.00,16.06,30.89
673.00,16.06,31.06
702.50,16.06,31.17
732.50,16.06,31.73
764.00,16.06,31.84
793.00,16.06,32.27
823.50,16.06,32.49
853.50,16.06,32.83
883.00,16.06,33.05
914.00,16.06,33.26
943.50,16.06,33.26
972.50,16.17,33.26
1003.50,16.17,33.48
1033.50,16.17,33.59
1063.50,16.17,33.93
1094.50,16.17,34.28
1124.50,16.17,34.50
1154.50,16.17,34.61
1184.50,16.17,34.61
1214.50,16.17,34.61
1244.50,16.18,34.83
1274.50,16.18,35.06
1304.50,16.29,35.06
1333.50,16.29,35.38
1363.50,16.29,35.60
1394.50,16.29,35.82
1424.50,16.29,35.82
1454.50,16.29,35.82
1484.50,16.29,36.04
1514.50,16.29,36.26
1544.50,16.29,36.19
1574.50,16.29,36.19
1604.50,16.29,36.41
1634.50,16.29,36.69
1664.50,16.29,37.03
1694.50,16.29,37.47
1723.50,16.29,36.68
1752.00,16.29,34.98
1783.00,16.29,33.00
1814.50,16.29,32.15
1844.50,16.40,31.15
1874.50,16.40,30.05
1904.50,16.40,29.48
1934.50,16.40,28.93
1964.50,16.40,28.59
1994.50,16.40,28.13
