Time,South Central Fans,North Central Fans
s,m3/s,m3/s
0.00,-1.16,-0.38
8.00,-1.17,-0.72
30.50,-1.23,-0.27
60.50,-1.21,-0.26
90.50,-1.10,-0.61
120.50,-1.19,-0.58
150.50,23.30,40.33
180.50,58.99,149.05
210.50,56.16,208.41
240.50,51.94,214.43
270.50,55.15,216.28
300.50,55.44,216.75
330.50,54.65,216.55
360.50,55.80,216.55
390.50,57.32,216.94
420.50,56.45,216.66
450.50,58.00,216.14
480.50,58.00,216.87
510.50,55.08,217.43
540.50,55.94,217.26
570.50,55.76,217.37
600.50,53.39,216.38
630.50,55.33,216.91
660.00,56.36,217.32
690.00,58.63,217.00
720.50,57.47,216.57
750.50,55.54,217.35
780.50,54.88,217.56
810.50,54.23,217.69
840.50,54.59,217.28
870.50,54.37,217.06
899.50,57.76,217.14
929.50,55.00,217.63
960.50,58.89,218.12
990.50,57.77,218.18
1020.50,56.27,217.76
1050.50,55.97,216.86
1080.50,58.77,217.40
1110.50,57.37,218.72
1140.50,55.69,218.16
1170.50,53.21,217.55
1200.50,53.25,217.79
1229.50,53.81,218.01
1259.50,54.09,217.88
1290.50,56.42,218.39
1320.50,55.92,218.21
1350.50,54.48,218.67
1380.50,50.26,218.23
1410.50,55.71,218.46
1440.50,57.98,218.53
1470.50,54.96,219.41
1499.50,54.57,218.61
1529.50,56.50,218.60
1560.50,55.23,218.53
1590.50,56.16,218.68
1620.50,56.64,219.23
1650.50,52.87,218.92
1680.50,54.02,218.75
1710.50,54.90,218.75
1738.50,54.33,218.64
1768.50,55.15,218.33
1800.50,54.94,218.14
1829.50,56.94,218.39
1858.00,58.13,218.52
1887.50,54.72,218.94
1919.00,57.89,217.99
1949.00,56.28,218.68
1977.50,57.16,218.64
2008.00,54.54,218.62
2039.00,55.93,218.24
2069.00,57.24,218.69
2099.00,59.48,219.16
2129.50,55.92,219.03
2158.50,56.13,218.66
2188.50,54.95,218.44
2219.50,56.47,217.83
2250.00,54.25,218.98
2280.50,53.68,218.23
2310.50,53.80,218.38
2339.00,59.76,219.40
2368.50,56.80,218.76
2399.00,57.71,218.53
2428.00,54.76,218.16
2459.00,55.23,218.51
