Time,South Central Fans,North Central Fans
s,C,C
0.00,25.29,24.38
1.00,25.29,24.38
16.50,25.29,24.38
46.50,25.29,24.38
76.50,25.29,24.38
106.50,25.29,24.38
136.50,25.24,26.92
166.50,28.31,26.92
196.50,40.99,27.03
226.50,42.13,27.09
256.50,44.06,27.09
286.50,44.90,27.09
316.50,49.88,27.09
346.50,51.33,27.09
376.50,52.94,27.09
406.50,53.86,27.09
436.50,54.60,27.09
466.50,55.10,27.09
496.50,55.65,27.09
526.50,56.22,27.09
556.50,56.56,27.09
586.50,57.50,27.09
616.50,58.77,27.09
646.50,58.86,27.09
676.50,59.40,27.09
706.50,59.18,27.09
736.50,59.61,27.09
766.00,61.89,27.09
796.00,62.52,27.09
824.50,63.38,27.09
854.50,64.24,27.09
886.50,65.57,27.09
915.50,66.70,27.09
944.00,67.31,27.09
975.00,68.25,27.09
1005.50,68.83,27.09
1034.50,68.73,27.09
1064.50,68.92,27.09
1094.50,69.86,27.09
1124.00,70.07,27.03
1155.00,70.55,27.03
1185.50,71.20,27.03
1215.50,71.95,27.03
1246.00,72.38,27.03
1274.50,73.15,27.03
1305.00,72.86,27.03
1336.00,73.00,27.03
1365.00,73.29,27.03
1395.50,73.73,27.03
1426.00,74.31,27.03
1455.50,74.84,27.03
1486.00,74.97,27.03
1516.50,73.37,27.03
1546.50,68.67,27.03
1575.00,61.67,27.03
1605.00,55.81,27.03
1636.50,52.44,27.03
1666.50,50.43,27.03
1696.50,48.64,27.03
1726.50,47.25,27.03
1756.50,46.22,27.03
1786.50,45.22,27.03
1816.50,44.86,27.03
1846.50,43.85,27.03
1876.50,43.08,27.03
1906.50,42.86,27.03
1936.50,42.62,27.03
1966.50,42.29,27.03
1996.50,41.81,27.03
2026.50,41.81,27.03
2056.50,41.70,27.03
2086.50,41.58,27.03
2116.50,41.24,27.03
2146.50,41.00,27.03
2176.50,41.47,27.03
2206.50,42.77,27.03
2236.50,44.08,27.03
2266.50,45.60,27.03
2296.50,47.14,27.03
2326.50,48.10,27.03
2356.50,48.92,27.14
2386.50,46.76,27.14
2416.50,44.17,27.25
2446.50,41.10,27.25
2476.50,38.59,27.25
2506.50,37.37,27.25
2536.50,36.60,27.25
2566.50,36.09,27.25
