Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207F2,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.30,28.38,0.30,0.30,0.00,18.62,50.05,6.04,359.20,22.28,12.59,0.30,216.37,3.11,51.17,51.49,5.92,0.30,0.30,16.17
15.00,0.30,28.38,0.30,0.30,0.00,28.08,50.05,5.00,359.20,39.53,13.65,0.30,189.21,3.11,54.45,30.82,0.00,0.30,0.30,19.41
44.00,0.30,28.38,0.30,0.30,0.00,45.17,22.89,4.86,391.55,35.71,12.05,0.30,235.14,3.11,39.11,54.42,0.00,0.30,0.30,21.18
74.00,0.30,27.92,0.30,0.30,0.00,45.17,27.01,6.60,378.12,44.10,11.60,0.30,341.76,3.11,68.82,35.10,2.84,0.30,0.30,21.95
104.50,0.30,35.40,0.30,0.30,0.00,31.43,20.50,3.05,378.12,44.10,12.55,0.30,821.65,8.97,20.75,40.47,2.84,0.30,0.30,16.17
134.00,0.30,35.40,0.30,0.30,0.00,21.67,20.50,3.11,378.12,37.84,11.54,0.30,1888.66,16.87,39.59,100.02,2.84,0.30,0.30,20.20
163.50,0.30,35.40,0.30,0.30,0.00,21.67,20.50,3.05,378.12,39.37,11.25,0.30,2424.71,20.81,35.77,368.76,2.84,0.30,0.30,19.10
193.00,0.30,35.40,0.30,0.30,0.00,21.67,65.46,3.05,436.51,28.90,12.21,0.30,2767.43,17.82,39.75,468.62,2.84,0.30,0.30,20.59
223.00,0.30,35.40,0.30,0.30,0.00,478.10,65.46,3.41,575.26,983.64,11.61,0.30,2787.74,25.33,110.52,474.40,7.86,0.30,0.30,12.22
253.50,0.30,21.67,0.30,0.30,0.00,1089.66,1338.99,7.02,669.87,1478.73,10.56,0.30,2484.27,98.75,486.43,461.79,20.29,0.30,0.30,16.24
283.50,0.30,21.67,0.30,0.30,0.00,1395.65,2047.88,7.02,738.84,1557.13,12.59,0.30,2059.13,44.95,1005.24,223.39,2.96,0.30,0.30,14.17
313.00,0.30,21.67,0.30,0.30,0.00,1428.96,1966.34,11.62,779.74,1519.33,19.38,0.30,1278.12,15.81,1864.79,62.30,2.96,0.30,0.30,16.17
342.00,0.30,21.67,0.30,0.30,0.00,1130.93,1758.06,6.08,779.74,1271.38,18.40,125.23,471.74,15.84,2021.36,30.67,2.96,0.30,0.30,14.73
372.00,0.30,21.67,0.30,0.30,0.00,1061.34,1512.62,9.83,688.79,1065.08,17.52,251.93,265.98,10.13,2068.03,26.25,2.96,0.30,0.30,14.83
403.00,102.85,21.67,0.30,0.30,0.00,1234.02,1497.99,17.15,688.79,1084.04,17.40,342.11,221.81,7.14,2054.73,32.04,2.96,0.30,0.30,14.83
433.50,210.48,25.33,0.30,0.30,0.00,1294.12,1176.80,9.78,693.06,987.56,18.49,539.41,242.84,4.03,1916.91,21.97,2.96,0.30,0.30,14.18
463.50,335.11,25.33,0.30,0.30,0.00,1272.24,825.46,6.53,693.06,964.29,18.40,564.99,215.95,4.03,1778.08,27.16,2.96,0.30,0.30,11.99
493.50,330.01,25.33,0.30,0.30,0.00,1337.98,659.24,6.32,693.06,832.23,18.37,550.85,198.52,4.03,1755.92,39.67,2.96,0.30,0.30,6.29
522.50,284.17,25.33,0.30,0.30,0.00,1299.97,532.23,0.06,693.06,839.69,16.78,569.47,218.76,4.03,1723.19,21.36,2.96,0.30,0.30,10.23
551.50,251.45,26.70,0.30,0.30,0.00,1256.48,453.45,3.08,720.53,829.34,14.47,522.65,223.75,4.09,1742.44,33.39,2.96,0.30,0.30,10.23
582.50,225.99,26.70,0.30,0.30,0.00,1270.95,767.96,3.80,711.38,812.74,15.20,464.48,200.34,4.09,1836.76,38.32,2.96,0.30,0.30,6.41
613.50,203.55,28.38,0.30,0.30,0.00,1271.60,1028.84,9.40,711.38,818.95,15.20,440.25,231.29,3.19,1904.30,25.33,2.96,0.30,0.30,10.04
643.50,172.95,38.15,0.30,0.30,0.00,1358.97,1065.94,3.64,711.38,826.18,10.62,443.73,220.37,5.15,1933.75,30.21,2.96,0.30,0.30,11.00
673.50,144.27,61.95,0.30,0.30,0.00,1267.54,1069.81,3.14,734.31,823.63,16.48,436.59,206.15,1.16,1864.56,22.58,2.96,0.30,0.30,7.92
703.50,91.16,26.75,0.30,0.30,0.00,1140.36,1087.40,6.21,726.63,802.07,15.08,486.06,201.44,6.37,1891.41,38.15,2.96,0.30,0.30,10.27
733.50,74.12,26.75,0.30,0.30,0.00,1049.86,1024.08,4.33,782.18,815.52,12.63,496.60,235.24,6.37,1870.65,31.74,2.96,0.30,0.30,14.22
762.50,72.44,44.25,0.30,0.30,0.00,986.04,1054.79,7.32,782.18,799.80,14.22,523.72,183.47,6.37,1877.82,23.91,2.96,0.30,0.30,10.44
792.50,57.34,44.25,0.30,0.30,0.00,975.52,1037.18,3.97,747.59,742.91,11.54,507.39,195.35,6.37,1885.15,26.25,2.96,0.30,0.30,7.32
823.50,57.16,40.69,0.30,0.30,0.00,1060.75,1005.57,3.97,747.59,771.27,13.61,511.58,196.48,6.37,1873.69,26.25,3.81,0.30,0.30,11.02
853.50,69.46,43.34,0.30,0.30,0.00,1160.43,1017.39,6.73,747.59,791.33,10.68,502.02,218.47,6.37,1851.43,42.11,3.81,0.30,0.30,8.64
883.50,62.26,28.38,0.30,0.30,0.00,1154.70,990.82,2.64,747.59,808.15,11.93,506.70,190.49,6.37,1826.15,42.11,3.81,0.30,0.30,10.74
913.50,55.85,28.38,0.30,0.30,0.00,1143.39,1018.60,5.04,747.59,751.05,12.57,541.29,220.30,6.37,1840.30,60.12,3.81,0.30,0.30,8.44
943.50,55.39,66.22,0.30,0.30,0.00,1063.40,989.95,5.04,747.59,795.40,11.01,495.77,256.53,6.16,1872.12,60.12,3.81,0.30,0.30,10.32
973.50,54.88,25.33,0.30,0.30,0.00,1039.57,1032.24,5.04,784.01,759.65,9.64,490.58,202.08,6.04,1855.23,60.12,3.81,0.30,0.30,8.32
1003.50,44.15,25.33,0.30,0.30,0.00,1173.98,1006.59,7.02,755.02,776.53,9.64,482.79,226.75,6.04,1854.82,60.12,3.81,0.30,0.30,8.57
1033.50,48.03,46.39,0.30,0.30,0.00,1163.00,972.13,7.02,755.02,787.37,11.98,494.19,219.73,6.04,1851.62,41.20,2.96,0.30,0.30,6.33
1063.50,41.00,38.45,0.30,0.30,0.00,1070.88,983.78,5.62,803.69,724.93,12.31,525.49,206.30,6.04,1879.23,31.33,2.96,0.30,0.30,3.80
1093.50,28.50,38.45,0.30,0.30,0.00,1124.92,996.64,5.04,803.69,726.91,8.67,487.81,212.10,6.04,1873.60,22.58,2.96,0.30,0.30,7.77
1122.00,38.15,38.45,0.30,0.30,0.00,1155.62,927.19,4.05,766.92,761.73,15.56,480.57,225.81,6.04,1883.88,28.08,2.96,0.30,0.30,4.37
1152.00,23.19,38.45,0.30,0.30,0.00,1188.94,958.85,5.13,766.92,900.28,14.10,484.44,205.01,6.04,1919.65,35.71,2.96,0.30,0.30,6.37
1183.50,32.45,38.45,0.30,0.30,0.00,1151.26,987.61,7.68,766.92,900.51,15.12,491.49,197.27,6.04,1891.76,35.71,2.96,0.30,0.30,5.55
1213.50,42.64,25.02,0.30,0.30,0.00,1156.28,929.40,6.49,821.24,867.46,11.63,522.77,197.25,6.04,1825.75,25.02,2.96,0.30,0.30,2.50
1243.50,30.14,25.02,0.30,0.30,0.00,1161.30,901.39,3.11,817.58,805.22,10.07,454.31,194.14,6.04,1827.16,25.02,2.90,0.30,0.30,5.77
1273.50,30.52,25.02,0.30,0.30,0.00,1162.24,944.30,2.62,809.80,748.33,13.79,501.29,190.65,6.04,1792.48,25.02,2.90,0.30,0.30,4.77
1303.50,30.52,25.02,0.30,0.30,0.00,1104.63,918.72,3.57,809.80,781.70,13.04,483.22,202.26,6.04,1791.55,25.02,2.90,0.30,0.30,6.07
1332.50,30.52,25.02,0.30,0.30,0.00,1110.65,944.53,4.23,809.80,784.71,12.88,471.50,195.47,5.42,1753.34,59.81,2.93,0.30,0.30,7.09
1362.50,30.52,25.02,0.30,0.30,0.00,1035.40,894.89,3.04,809.80,745.71,11.02,451.97,199.10,5.07,1755.17,59.81,2.93,0.30,0.30,4.43
