Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,1632.74,1428.51
13.50,7469.23,10684.44
41.50,16251.75,26041.73
71.50,27597.29,32723.03
101.50,18132.28,24197.05
131.50,18033.88,21651.54
161.50,22389.14,35811.58
191.50,36602.77,53810.46
221.50,44849.61,38810.06
251.00,32486.28,55079.47
281.00,42502.69,53074.63
311.50,36781.49,57632.78
341.50,41713.15,57409.81
371.50,28664.34,44532.71
401.50,-33494.79,-111703.67
431.50,-42971.71,-63306.51
461.50,-11599.01,-14003.23
491.50,-105.48,-330.57
521.00,2689.62,3704.32
550.00,1767.59,3358.91
579.50,933.01,2820.49
609.00,933.01,2464.43
640.00,1372.91,2167.18
671.50,1372.91,2632.43
701.50,566.38,1682.65
731.50,566.38,1301.48
760.50,566.38,1814.25
790.50,1497.70,1319.84
821.00,1497.70,2066.95
851.00,939.69,1414.48
881.00,939.69,1414.48
911.00,380.00,899.34
941.50,-357.58,912.65
971.50,245.24,1336.17
1001.50,440.02,1690.10
