Time,202-T-A2,202-T-B2,202-T-C2,202-T-D2,202-T-E2,202-T-F2,202-T-G2,301-T-A2,301-T-B2,301-T-C2,301-T-D2,301-T-E2,301-T-F2,301-T-G2,301-T-H2,302-T-A2,302-T-B2,302-T-C2,302-T-D2,302-T-E2,302-T-F2,302-T-G2,302-T-H2,303-T-A2,303-T-B2,303-T-C2,303-T-D2,303-T-E2,303-T-F2,303-T-G2,303-T-H2,304-T-A2,304-T-B2,304-T-C2,304-T-D2,304-T-E2,304-T-F2,304-T-G2,304-T-H2,205-T-A2,205-T-B2,205-T-C2,205-T-D2,205-T-E2,205-T-F2,205-T-G2,205-T-H2,305-T-A2,305-T-B2,305-T-C2,305-T-D2,305-T-E2,305-T-F2,305-T-G2,305-T-H2,306-T-A2,306-T-B2,306-T-C2,306-T-D2,306-T-E2,306-T-F2,306-T-G2,306-T-H2,307-T-A2,307-T-B2,307-T-C2,307-T-D2,307-T-E2,307-T-F2,307-T-G2,307-T-H2,207-T-A2,207-T-B2,207-T-C2,207-T-D2,207-T-E2,207-T-F2,207-T-G2,207-T-H2,208-T-A2,208-T-B2,208-T-C2,208-T-D2,208-T-E2,208-T-F2,208-T-G2,208-T-H2,209-T-A2,209-T-B2,209-T-C2,209-T-D2,209-T-E2,209-T-F2,209-T-G2,209-T-H2,211-T-A2,211-T-B2,211-T-C2,211-T-D2,211-T-E2,211-T-F2,211-T-G2,211-T-H2,213-T-A2,213-T-B2,213-T-C2,213-T-D2,213-T-E2,213-T-F2,213-T-G2,213-T-H2,214-T-A2,214-T-B2,214-T-C2,214-T-D2,214-T-E2,214-T-F2,214-T-G2
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.0,4,4,5,6,5,6,5,7,6,7,8,8,8,8,9,7,8,9,9,10,10,10,10,9,9,11,11,12,13,13,13,7,9,13,14,16,12,11,12,6,12,11,10,9,9,10,10,8,8,9,8,8,7,8,9,8,8,8,8,8,9,8,8,9,9,9,9,9,9,9,8,9,9,8,8,9,9,9,9,9,8,10,9,8,9,10,11,9,9,9,10,10,9,10,10,6,6,6,6,7,7,8,10,7,7,6,7,7,8,6,6,4,4,33,5,4,6,7
9.0,5,6,7,7,8,8,7,8,8,10,11,12,13,15,17,10,10,13,17,21,23,24,25,11,12,18,25,28,33,38,39,10,13,23,36,435,45,45,58,10,34,26,23,18,17,17,17,9,9,10,10,10,10,10,9,8,8,9,9,10,9,9,9,9,9,9,9,9,9,9,8,10,9,10,10,9,9,10,9,9,8,10,9,8,9,10,11,7,8,8,8,8,9,10,10,6,5,6,6,6,6,7,8,7,7,6,5,6,6,6,6,4,4,45,5,4,6,7
32.5,7,7,10,11,14,14,10,10,13,16,26,30,37,44,51,14,15,21,35,54,63,69,75,16,20,32,56,69,81,101,108,16,21,38,79,521,108,130,162,15,61,46,44,32,28,31,29,11,11,12,10,11,12,11,11,10,9,9,9,10,10,9,9,9,9,10,9,9,9,9,8,10,9,10,10,9,10,10,9,9,8,8,9,8,9,10,11,7,8,8,8,8,7,8,10,6,5,6,6,6,6,7,8,7,7,6,5,6,6,6,6,4,4,58,5,4,6,7
62.5,9,10,16,24,32,34,23,16,20,25,50,56,72,88,96,19,22,30,57,91,106,115,124,21,29,46,75,101,124,148,163,23,27,50,119,556,168,200,231,20,81,58,57,43,38,52,51,11,11,12,10,11,13,13,11,10,9,9,9,10,10,9,9,9,9,10,9,10,9,9,8,10,9,10,10,9,10,10,9,7,8,8,7,8,9,10,11,7,8,8,7,7,7,7,8,6,5,6,6,6,6,7,8,5,7,6,5,6,6,6,6,4,4,71,5,4,6,7
92.5,13,16,23,40,56,59,43,21,26,34,68,78,97,112,120,22,26,37,72,112,128,139,148,24,31,52,87,118,143,167,183,26,31,53,121,564,186,224,256,24,93,64,64,52,46,71,77,11,11,12,10,11,13,13,11,10,9,9,9,10,10,9,9,9,9,10,9,10,9,9,8,10,9,10,10,9,9,10,9,7,8,8,7,7,8,10,11,7,8,6,7,7,7,7,8,5,5,6,6,6,6,7,8,5,7,6,5,6,6,6,6,4,4,82,5,4,6,7
122.5,18,22,30,51,71,73,57,25,31,40,79,91,110,123,129,25,29,41,79,121,137,147,152,26,35,55,89,120,145,171,186,28,34,56,125,569,195,232,254,26,99,66,68,57,52,88,94,11,11,12,10,11,13,13,11,10,9,9,9,10,10,9,9,9,9,10,9,9,9,9,8,9,9,10,8,9,9,9,9,7,8,8,7,7,8,8,10,7,8,6,7,7,7,7,8,5,5,6,6,6,6,7,8,5,7,6,5,6,6,6,6,4,4,91,5,4,6,7
152.5,24,28,36,59,77,80,64,26,31,44,83,95,116,128,132,25,32,41,79,125,141,149,156,26,37,56,90,123,148,174,188,30,37,60,131,569,202,240,257,27,102,68,71,59,56,98,117,11,11,12,10,11,13,13,11,10,9,9,9,10,10,9,9,9,9,9,9,9,9,9,8,9,9,8,8,9,9,9,9,7,8,8,7,7,8,8,10,7,8,6,7,7,7,7,8,5,5,6,6,6,6,7,8,5,7,6,5,6,6,6,6,4,4,99,5,4,6,7
182.5,27,32,41,65,81,84,69,28,34,45,85,97,120,131,135,28,32,41,83,128,145,155,160,29,36,59,93,129,150,176,194,31,37,62,134,576,210,244,268,29,105,68,71,61,57,103,132,11,11,12,10,11,13,15,11,10,9,9,9,10,10,9,9,9,9,9,9,9,9,9,8,9,9,8,8,9,9,9,9,7,7,7,7,7,8,8,10,7,8,6,7,7,7,7,8,5,5,6,6,6,6,7,8,5,7,6,5,6,6,6,6,4,4,106,5,4,6,7
212.5,29,32,45,69,83,86,72,29,36,47,87,100,122,133,138,28,33,45,86,131,147,156,160,30,38,60,96,132,154,180,196,33,37,64,140,581,221,254,273,29,107,68,73,62,59,110,143,11,11,12,10,11,13,17,13,10,9,9,9,10,10,9,9,9,9,9,9,9,9,9,8,9,9,8,8,9,9,9,9,7,7,7,7,7,8,8,10,7,8,6,7,7,7,7,8,5,5,6,6,6,6,7,8,5,5,5,5,6,6,6,6,4,4,105,5,4,6,7
