Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207F2,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.30,32.73,31.19,182.47,0.03,0.30,61.52,0.06,134.76,60.48,47.72,27.16,392.77,26.67,107.56,310.76,44.56,39.67,0.30,7.61
6.50,0.30,22.89,30.36,188.79,0.33,0.30,25.80,0.06,122.58,48.47,46.96,25.94,421.59,23.74,105.90,283.51,44.13,0.30,0.30,8.52
28.50,0.30,22.89,27.54,193.45,0.53,0.30,31.62,0.06,123.90,39.54,44.50,23.19,391.20,20.81,105.78,301.29,46.08,0.30,0.30,8.88
58.50,0.30,25.33,26.55,195.37,0.32,0.30,55.69,0.06,123.11,51.58,44.50,23.80,400.59,20.81,128.39,296.57,44.13,0.30,0.30,10.39
88.50,0.30,25.33,28.38,206.26,0.80,0.30,48.29,0.06,123.11,79.39,45.55,35.10,399.54,20.81,134.37,316.62,44.13,0.30,0.30,7.75
118.00,0.30,25.33,22.96,212.13,2.17,0.30,39.92,2.94,328.77,210.08,48.89,26.25,428.72,23.68,170.72,322.68,44.13,0.30,0.30,8.39
148.00,0.30,36.93,29.39,202.33,0.95,0.30,24.26,2.94,595.61,1225.04,45.96,26.25,808.85,23.68,199.79,306.71,43.88,0.30,0.30,7.29
178.50,0.30,36.93,26.55,241.13,0.67,1135.63,753.45,2.94,741.28,1516.87,46.51,162.20,1428.98,23.68,158.72,293.46,43.88,0.30,0.30,13.37
208.50,0.30,36.93,29.60,207.76,0.41,2163.32,2482.09,2.93,740.06,1455.36,44.59,301.58,1529.92,26.67,217.65,293.71,43.88,0.30,0.30,7.39
238.00,0.30,23.50,898.22,227.64,0.51,2295.73,2518.14,2.93,848.91,1400.12,49.87,525.83,2185.04,23.74,191.77,275.31,43.88,0.30,0.30,6.29
268.00,586.81,24.11,1855.47,221.17,2.42,2473.23,2466.01,2.93,751.86,1496.30,49.87,1069.94,1979.02,20.81,1652.01,269.42,45.81,0.30,0.30,7.10
