Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,1434.15,1642.64
4.00,6468.63,6671.30
22.50,9348.17,9647.59
52.50,13872.89,14306.59
82.50,15375.46,15858.25
112.50,20709.27,21358.71
142.50,19916.57,20541.16
172.50,16475.97,19555.90
202.50,17825.81,20436.75
232.50,22462.98,27398.07
262.50,23854.14,28620.68
292.50,21784.61,25896.36
322.50,20927.30,25053.09
352.50,17472.82,19551.59
382.50,15803.04,16583.97
412.50,14107.92,16024.56
442.50,14895.93,17276.53
472.50,16143.77,18827.27
502.50,17980.75,20770.70
532.50,19314.11,22872.03
562.50,18803.63,21857.66
592.50,16930.85,19156.11
622.50,14647.41,17221.63
652.00,14081.56,16376.18
682.00,14976.47,17634.32
712.50,20689.70,23455.68
742.50,21839.40,24387.95
772.50,19403.21,22066.90
802.00,14313.59,16077.93
832.00,14988.41,16500.62
862.00,14218.73,15943.87
891.00,15063.23,17233.43
921.50,16356.16,18810.96
952.00,15330.84,17524.64
980.50,12151.98,13867.80
1011.00,10711.30,12255.15
1042.50,13563.40,15369.92
1071.50,14479.57,16364.52
1101.50,15699.55,18160.25
1132.50,14216.60,16419.03
1162.50,11627.40,13407.94
1192.50,15614.25,18003.68
1222.50,14903.35,16702.19
1252.50,14315.21,15967.25
1282.50,15807.03,17974.06
1312.50,15334.64,17483.63
1342.50,13088.11,14776.82
1372.50,7645.39,9588.53
1399.50,10231.42,11778.81
1429.50,14296.33,16432.33
1462.50,15451.65,17611.61
1491.00,16284.87,18759.68
1519.50,16154.76,18538.99
1549.50,16996.02,19047.90
1579.50,16715.09,18803.67
1609.00,16924.45,19326.24
1639.50,16993.92,19326.00
1670.50,16868.53,18833.99
1701.00,17577.68,19664.45
1731.50,11507.16,13241.19
1761.50,1659.14,1818.96
1791.50,368.78,1818.96
1821.50,368.78,1818.96
1851.50,368.78,1818.96
1881.50,368.78,1818.96
1912.00,368.78,1818.96
1942.50,368.78,1818.96
1971.50,368.78,1818.96
2001.50,368.78,1818.96
2032.00,368.78,1818.96
2062.00,368.78,1818.96
2092.50,368.78,1818.96
