Time,TIWC202G,TIWC202F,TIWC202E,TIWC202D,TIWC202C,TIWC202B,TIWC202A,TIWC301G,TIWC301F,TIWC301E,TIWC301D,TIWC301C,TIWC301B,TIWC301A,TIWC302G,TIWC302F,TIWC302E,TIWC302D,TIWC302C,TIWC302B,TIWC302A,TIWC303G,TIWC303F,TIWC303E,TIWC303D,TIWC303C,TIWC303B,TIWC303A,TIWC304G,TIWC304F,TIWC304E,TIWC304D,TIWC304C,TIWC304B,TIWC304A,TIWC205G,TIWC205F,TIWC205E,TIWC205D,TIWC205C,TIWC205B,TIWC205A,TIWC305G,TIWC305F,TIWC305E,TIWC305D,TIWC305C,TIWC305B,TIWC305A,TIWC306G,TIWC306F,TIWC306E,TIWC306D,TIWC306C,TIWC306B,TIWC306A,TIWC307G,TIWC307F,TIWC307E,TIWC307D,TIWC307C,TIWC307B,TIWC307A,TIWC207G,TIWC207F,TIWC207E,TIWC207D,TIWC207C,TIWC207B,TIWC207A,TIWC208G,TIWC208F,TIWC208E,TIWC208D,TIWC208C,TIWC208B,TIWC208A,TIWC209G,TIWC209F,TIWC209E,TIWC209D,TIWC209C,TIWC209B,TIWC209A,TIWC211G,TIWC211F,TIWC211E,TIWC211D,TIWC211C,TIWC211B,TIWC211A,TIWC213G,TIWC213F,TIWC213E,TIWC213D,TIWC213C,TIWC213B,TIWC213A,TIWC214G,TIWC214F,TIWC214E,TIWC214D,TIWC214C,TIWC214B,TIWC214A
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.00,13.21,13.41,13.41,13.18,13.97,13.11,13.25,13.57,13.49,13.72,13.49,13.34,13.01,13.48,13.16,13.51,13.87,13.41,13.51,13.34,13.13,20.89,15.47,14.15,13.57,13.51,13.21,13.70,66.82,41.91,18.74,17.73,17.36,16.22,15.84,105.03,74.79,46.74,53.63,47.15,57.43,22.63,45.98,35.10,28.51,16.87,16.47,17.52,16.96,32.37,28.34,20.71,14.76,14.81,15.80,15.19,15.95,15.93,15.52,15.24,15.52,15.49,15.88,16.26,15.52,15.27,15.16,15.14,15.24,15.34,16.54,16.15,15.49,15.93,15.85,15.67,15.30,15.37,15.72,16.18,16.28,16.33,16.03,15.57,14.77,14.58,14.31,14.54,14.43,14.01,13.86,15.32,14.96,15.06,15.04,15.19,14.91,15.34,15.57,15.34,15.16,15.04,15.22,14.73,14.20
8.00,13.21,13.41,13.41,13.18,13.97,13.11,13.25,13.57,13.49,13.72,13.49,13.34,13.01,13.48,13.16,13.51,13.87,13.41,13.51,13.34,13.13,53.26,19.75,15.70,15.24,14.96,14.63,13.70,186.43,144.76,39.73,26.51,24.85,22.40,18.13,272.53,210.14,113.06,120.59,97.80,114.94,36.55,99.78,80.76,62.45,22.81,22.01,22.77,21.55,82.72,67.06,39.52,16.92,16.57,17.22,16.26,30.17,32.44,25.66,20.57,16.71,15.49,15.88,16.26,15.52,15.27,15.16,15.14,15.24,15.34,16.54,16.15,15.49,15.93,15.85,15.67,15.30,15.37,15.72,16.18,16.28,16.33,16.03,15.57,14.77,14.58,14.31,14.54,14.43,14.01,13.86,15.32,14.96,15.06,15.04,15.19,14.91,15.34,15.57,15.34,15.16,15.04,15.22,14.73,14.20
30.50,13.21,13.41,13.41,13.18,13.97,13.11,13.25,13.57,13.49,13.72,13.49,13.34,13.01,13.48,15.57,13.51,13.87,13.41,13.51,13.34,13.13,106.26,41.92,17.93,17.53,16.38,16.05,13.70,274.90,239.84,82.51,34.90,31.04,30.18,21.36,497.17,387.98,202.75,197.52,161.61,190.98,54.09,166.15,142.33,114.25,31.43,29.72,28.91,28.13,139.43,113.84,71.47,19.76,18.70,18.63,18.51,60.65,63.91,49.87,30.41,16.71,16.89,17.13,30.12,29.46,23.68,21.34,17.40,16.74,15.34,16.54,16.15,15.49,15.93,15.85,15.67,15.30,15.37,15.72,16.18,16.28,16.33,16.03,15.57,14.77,14.58,14.31,14.54,14.43,14.01,13.86,15.32,14.96,15.06,15.04,15.19,14.91,15.34,15.57,15.34,15.16,15.04,15.22,14.73,14.20
60.50,13.21,13.41,13.41,13.18,13.97,13.11,13.25,13.57,13.49,13.72,13.49,13.34,13.01,13.48,20.78,15.52,13.87,13.41,13.51,13.34,13.13,133.17,76.69,21.04,17.53,17.83,16.05,15.11,312.06,280.57,109.19,46.94,33.48,34.08,24.50,661.37,516.96,271.04,257.19,209.69,254.97,73.66,228.55,186.31,151.18,42.10,37.64,35.88,36.04,173.24,144.41,88.82,22.03,20.95,20.03,20.77,84.38,87.34,71.24,38.50,16.71,16.89,17.13,51.03,51.10,40.53,32.17,20.50,16.74,15.34,16.54,16.15,15.49,15.93,15.85,15.67,15.30,15.37,15.72,16.18,16.28,16.33,16.03,15.57,14.77,14.58,14.31,14.54,14.43,14.01,13.86,15.32,14.96,15.06,15.04,15.19,14.91,15.34,15.57,15.34,15.16,15.04,15.22,14.73,14.20
90.50,13.21,13.41,13.41,13.18,13.97,13.11,13.25,13.57,13.49,13.72,13.49,13.34,13.01,13.48,26.68,15.52,13.87,13.41,13.51,13.34,13.13,146.24,107.93,28.89,17.53,17.83,16.05,15.11,331.73,300.86,129.44,66.02,35.92,34.08,24.50,767.00,598.37,329.75,303.18,246.63,303.93,91.72,273.90,222.80,178.84,55.56,47.90,44.56,44.31,198.00,164.37,98.06,24.28,23.14,21.43,22.94,97.99,101.76,83.50,42.60,18.12,18.32,18.63,65.27,64.93,54.17,45.46,23.41,16.74,16.67,23.62,20.35,20.28,18.75,15.85,15.67,15.30,15.37,15.72,16.18,16.28,16.33,16.03,15.57,14.77,14.58,14.31,14.54,14.43,14.01,13.86,15.32,14.96,15.06,15.04,15.19,14.91,15.34,15.57,15.34,15.16,15.04,15.22,14.73,14.20
120.50,13.21,13.41,13.41,13.18,13.97,13.11,13.25,13.57,13.49,13.72,13.49,13.34,13.01,13.48,31.45,18.10,13.87,13.41,13.51,13.34,13.13,157.20,133.29,40.08,19.86,17.83,16.05,15.11,345.88,316.52,148.03,82.32,35.20,34.74,26.89,813.42,639.57,375.09,335.21,283.93,354.16,106.72,305.17,251.04,200.54,70.76,58.73,52.04,53.62,217.36,183.91,103.21,30.12,25.31,22.89,25.07,110.04,113.70,93.35,50.27,20.38,19.76,18.63,74.22,72.99,62.21,53.60,24.84,16.74,16.67,34.84,28.63,30.11,25.74,22.17,17.13,15.30,15.37,15.72,16.18,16.28,16.33,16.03,15.57,14.77,14.58,14.31,14.54,14.43,14.01,13.86,15.32,14.96,15.06,15.04,15.19,14.91,15.34,15.57,15.34,15.16,15.04,15.22,14.73,14.20
150.50,13.21,13.41,13.41,13.18,13.97,13.11,13.25,13.57,13.49,13.72,13.49,13.34,13.01,13.48,33.47,19.16,13.87,13.41,13.51,13.34,13.13,158.84,134.65,44.68,19.86,17.83,16.05,15.11,352.30,321.48,174.01,82.41,30.07,30.04,24.73,869.66,761.48,514.66,442.32,349.74,400.00,130.21,342.82,298.83,251.29,99.46,82.92,71.11,70.52,249.43,218.76,126.89,48.23,30.75,25.81,28.01,128.66,129.53,105.58,65.13,22.59,21.18,20.05,84.69,81.60,69.12,58.38,31.15,20.02,16.67,45.74,34.94,37.04,33.54,30.10,18.70,16.75,15.37,15.72,16.18,16.28,16.33,16.03,15.57,14.77,14.58,14.31,14.54,14.43,14.01,13.86,15.32,14.96,15.06,15.04,15.19,14.91,15.34,15.57,15.34,15.16,15.04,15.22,14.73,14.20
180.50,13.21,13.41,13.41,13.18,13.97,13.11,13.25,13.57,13.49,13.72,13.49,13.34,13.01,13.48,23.12,15.19,13.87,13.41,13.51,13.34,13.13,119.55,88.63,33.07,17.56,16.39,16.05,15.11,297.94,236.52,130.46,52.46,23.14,25.35,22.52,701.84,636.74,525.81,502.65,440.05,475.69,156.17,437.87,395.17,346.95,148.23,113.37,102.12,90.71,304.74,272.72,171.51,77.15,45.17,32.39,32.90,160.29,157.07,126.34,83.83,27.16,23.40,22.26,98.09,93.56,77.63,63.81,40.02,25.82,18.10,50.31,37.06,38.46,33.54,30.10,18.70,16.75,20.29,20.21,19.70,18.71,16.33,16.03,15.57,14.77,14.58,14.31,14.54,14.43,14.01,13.86,15.32,14.96,15.06,15.04,15.19,14.91,15.34,15.57,15.34,13.77,13.57,15.22,14.73,14.20
210.50,13.21,13.41,13.41,13.18,13.97,13.11,13.25,13.57,13.49,13.72,13.49,13.34,13.01,13.48,15.30,13.77,13.87,13.41,13.51,13.34,13.13,59.77,38.52,19.29,15.27,16.39,14.61,15.11,185.34,107.97,61.28,27.76,20.10,22.45,22.52,541.67,460.64,372.39,395.54,427.00,520.13,353.94,479.59,431.46,388.22,170.91,110.71,93.34,85.88,313.95,286.34,198.21,103.54,63.08,37.55,32.90,174.39,167.81,135.12,89.49,35.05,25.61,24.43,108.97,102.24,85.58,69.61,45.06,27.32,18.10,49.56,35.53,38.46,33.54,30.21,18.70,16.75,24.44,24.09,23.73,22.13,18.13,16.03,15.57,14.77,14.58,14.31,14.54,14.43,14.01,13.86,15.32,14.96,15.06,15.04,13.79,14.91,15.34,14.17,13.92,13.77,13.57,13.82,14.73,14.20
