Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207F2,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,261.43,259.28,0.30,525.57,30.88,89.69,239.24,7.91,1618.37,0.30,0.00,397.65,170.75,10.07,0.30,20.45,21.03,886.55,0.30,22.13
12.50,223.29,256.53,0.30,554.37,31.82,69.37,262.35,10.52,1638.51,0.30,0.00,379.34,172.76,10.07,0.30,25.02,16.34,919.85,0.30,20.01
40.50,218.91,295.43,0.30,534.21,29.35,93.18,211.20,8.00,1647.67,0.30,0.00,379.34,181.20,10.07,0.30,25.02,18.94,917.80,0.30,24.05
70.50,215.39,271.19,0.30,566.52,30.62,90.31,198.61,11.29,1670.25,0.30,0.00,383.61,164.92,10.07,0.30,65.61,16.72,947.76,0.30,20.77
99.50,203.96,273.70,0.30,526.28,30.77,83.31,221.75,10.48,1632.10,0.30,0.00,422.06,249.94,12.88,0.30,65.61,23.07,938.73,0.30,19.41
130.50,180.07,251.35,0.30,527.28,29.61,68.14,234.43,8.95,1681.04,0.30,0.00,389.59,759.86,18.86,0.30,65.61,23.59,931.72,0.30,22.94
161.50,176.26,253.69,0.30,534.13,28.95,105.50,223.90,5.92,1678.95,1179.87,0.00,418.93,1447.40,18.86,0.30,49.67,27.44,948.65,0.30,21.96
191.50,191.35,270.32,0.30,518.88,30.70,114.75,649.21,10.32,1686.12,1604.51,0.00,703.79,2035.86,22.64,0.30,152.36,33.26,949.48,0.30,18.35
221.50,142.84,237.41,0.30,527.33,30.13,79.71,3132.68,13.61,1744.72,1910.73,0.00,994.79,2656.29,22.64,176.58,241.21,29.36,965.67,0.30,22.05
251.50,184.02,230.32,0.30,524.11,30.12,75.48,3559.37,9.54,1815.52,2139.01,0.00,1295.95,2652.53,38.47,892.37,333.20,24.29,942.57,0.30,24.11
280.00,150.26,218.06,0.30,527.11,30.32,188.91,3702.40,15.72,1895.78,1991.40,0.00,1765.47,2469.87,25.50,2227.31,153.25,16.66,974.70,0.30,21.66
310.00,161.82,232.29,80.87,543.30,29.91,585.64,3604.53,29.74,2020.70,1681.00,0.00,1619.59,1531.81,15.81,2257.99,61.04,22.58,971.05,0.30,22.14
341.50,227.89,201.54,587.30,528.63,30.58,1987.79,3643.83,40.03,2347.75,1486.67,0.00,1383.87,617.18,15.81,1968.41,61.04,22.58,966.66,0.30,20.77
371.50,666.07,204.87,797.57,548.78,29.80,2372.03,3605.34,54.60,2538.80,1592.03,0.00,1382.92,288.34,7.87,2077.81,61.04,16.05,994.65,0.30,19.20
401.50,1011.42,190.52,772.96,520.66,29.71,2528.28,3687.25,52.86,2677.35,1814.09,0.00,1624.58,187.03,7.87,2532.03,61.04,20.45,1217.28,0.30,20.83
429.50,1097.48,186.53,661.09,533.86,32.10,2622.35,3752.19,60.19,2768.49,1898.06,0.00,1932.33,156.06,7.87,2903.18,61.04,18.33,1296.20,0.30,22.25
458.00,1058.52,184.35,486.11,508.90,30.04,2676.78,3672.81,52.88,2820.17,1803.56,0.00,2070.65,199.73,7.87,3087.01,26.55,16.85,1249.59,0.30,20.46
490.00,972.30,179.97,347.83,534.40,29.68,2725.11,3709.86,51.84,2861.22,1903.23,0.00,2078.89,176.98,7.87,3109.69,26.55,21.59,1250.45,0.30,21.30
521.50,826.73,178.14,244.14,512.05,29.74,2726.01,3570.74,51.29,2866.86,2241.84,0.00,2367.83,174.79,10.01,3679.08,26.55,18.62,1278.40,0.30,20.14
551.50,759.77,170.16,120.68,528.14,29.36,2678.85,3228.97,50.05,2798.55,1668.12,0.00,2381.04,188.18,10.01,3195.14,26.55,18.62,1285.04,0.30,20.77
581.50,701.84,147.63,120.68,511.13,31.42,2505.37,2588.30,40.39,2701.24,716.48,0.00,1669.18,179.45,10.01,2261.87,26.55,16.72,1354.87,0.30,20.77
610.50,622.48,151.88,120.68,527.72,30.32,2227.85,1882.74,28.38,2624.51,381.96,0.00,1323.92,174.81,10.01,1866.22,20.75,22.58,1362.10,0.30,22.98
639.50,534.62,148.76,120.68,514.19,29.95,1931.30,1203.04,16.75,2458.23,171.00,0.00,1133.59,175.89,10.01,1550.62,25.33,22.58,1376.58,0.30,25.82
669.00,416.75,117.49,120.68,506.68,30.30,1497.36,751.14,8.85,2297.70,121.12,0.00,1025.30,174.15,10.01,1277.79,24.11,15.73,1383.99,0.30,21.59
700.00,313.02,117.89,120.68,524.15,30.33,1102.35,498.93,13.86,2177.87,44.15,0.00,874.69,168.21,10.01,990.17,24.11,16.69,1320.01,0.30,23.07
731.00,228.50,113.26,120.68,529.49,30.65,789.74,336.56,7.83,2057.22,29.91,0.00,766.67,153.12,10.01,706.74,23.96,17.27,1190.97,0.30,25.82
761.00,200.05,91.34,120.68,530.24,28.86,458.01,312.15,9.93,2010.83,26.86,0.00,667.43,196.48,10.01,479.72,64.70,19.61,1145.49,0.30,21.83
790.50,154.16,100.46,120.68,512.37,30.94,296.28,276.42,9.52,1969.33,26.86,0.00,591.44,191.69,10.01,285.39,26.25,20.63,1106.02,0.30,23.01
820.50,149.08,94.57,120.68,522.49,29.92,215.27,294.91,10.86,1946.14,26.86,0.00,493.48,160.45,10.01,90.03,33.11,16.64,1083.42,0.30,23.04
851.50,152.94,97.60,120.68,525.03,30.42,167.46,282.80,9.02,1925.99,26.86,0.00,432.85,168.22,10.01,34.69,21.06,16.72,1058.47,0.30,22.00
881.50,144.35,51.17,120.68,519.35,29.99,164.25,300.24,9.48,1925.99,26.86,0.00,441.44,194.40,10.01,28.99,43.34,16.66,1061.19,0.30,21.77
911.50,174.01,95.22,120.68,542.51,29.40,157.28,265.10,12.51,1925.99,26.86,0.00,435.34,176.37,10.01,28.99,26.55,16.66,1055.44,0.30,22.03
941.50,191.42,99.97,120.68,548.17,30.76,128.20,287.53,12.51,1905.24,26.86,0.00,425.20,170.75,10.01,28.99,22.28,16.69,1021.59,0.30,20.73
971.50,185.69,101.89,120.68,516.33,29.76,163.23,222.96,12.51,1915.92,26.86,0.00,406.19,175.42,10.01,28.99,22.28,16.37,1039.85,0.30,21.24
1001.50,240.69,114.59,120.68,545.51,31.01,159.35,269.27,12.51,1914.40,26.86,0.00,403.82,166.93,12.88,28.99,22.28,18.96,1031.43,0.30,21.40
