Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207F2,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,55.34,37.48,0.30,60.86,0.00,33.70,138.14,24.80,975.66,119.73,116.09,0.30,294.96,14.91,0.30,334.66,69.34,776.23,0.30,35.86
4.00,73.78,41.44,0.30,60.22,0.00,41.20,116.18,24.80,1003.74,93.22,116.92,0.30,298.97,12.96,0.30,340.28,69.34,811.47,0.30,36.66
22.50,85.90,49.34,0.30,64.64,0.00,40.66,134.94,24.80,1003.74,116.55,116.18,0.30,249.41,14.44,0.30,356.09,69.34,827.95,0.30,38.64
52.50,104.64,38.38,0.30,60.23,0.00,50.35,129.50,24.80,1003.74,99.85,117.25,0.30,326.35,13.73,0.30,347.60,72.33,811.07,0.30,38.60
82.50,107.91,47.22,0.30,56.39,0.00,22.81,117.21,24.92,1003.74,110.17,119.94,0.30,332.19,10.93,0.30,336.34,69.46,823.99,0.30,38.76
112.50,134.16,45.13,0.30,47.19,0.00,19.53,110.83,23.60,1003.74,122.91,119.87,0.30,820.80,16.91,0.30,359.87,69.46,819.56,0.30,36.32
142.50,163.83,30.32,0.30,58.97,0.00,50.81,111.78,27.28,1003.74,92.29,120.06,0.30,1835.29,22.77,0.30,386.80,69.46,801.25,0.30,37.08
172.50,202.13,46.93,0.30,71.29,0.00,17.60,73.22,25.45,1003.74,119.48,120.55,0.30,2677.75,19.78,21.06,645.76,69.46,786.75,1475.24,38.96
202.00,181.50,38.92,0.30,41.96,0.00,48.12,134.71,22.34,1073.52,126.88,120.06,0.30,2856.49,27.65,21.06,821.55,69.46,788.19,1475.24,37.20
230.50,179.27,47.63,0.30,52.92,0.00,214.78,110.27,22.95,1153.89,945.31,119.27,0.30,2838.82,30.58,21.06,829.97,78.07,777.90,1475.24,39.61
260.50,180.17,47.00,0.30,47.75,0.00,1142.85,1690.44,26.00,1237.66,1708.86,121.85,0.30,2406.35,59.10,334.07,698.79,72.21,777.90,1475.24,38.42
292.00,151.55,59.23,0.30,65.33,0.00,1403.43,2269.58,28.44,1283.59,1734.38,124.11,0.30,1493.04,23.68,1396.53,347.16,72.21,742.14,1475.24,38.57
322.50,183.25,53.89,0.30,70.04,0.00,1045.81,2192.98,28.50,1213.50,1737.04,131.30,0.30,485.66,14.83,1793.91,336.99,72.21,741.89,1475.24,39.55
352.50,146.85,58.81,0.30,61.61,0.00,1070.74,1766.34,30.46,1213.50,1398.60,132.23,0.30,358.03,14.83,1827.42,340.02,72.21,688.33,1475.24,39.16
382.00,325.56,63.66,0.30,35.26,0.00,1312.21,1748.95,30.46,1241.41,1331.68,132.59,44.86,320.04,12.94,1821.88,345.23,72.21,739.86,1475.24,40.62
411.50,401.96,77.93,0.30,47.77,0.00,1366.01,1618.81,35.22,1241.41,1261.57,133.67,134.13,313.86,13.29,1733.21,375.25,72.21,739.86,1475.24,37.93
442.00,380.39,46.59,0.30,59.19,0.00,1407.19,1368.61,30.82,1292.13,1136.19,129.80,262.56,293.58,14.79,1629.12,382.14,78.07,713.08,1475.24,38.11
472.50,356.22,54.29,0.30,64.74,0.00,1457.45,1244.03,32.35,1316.85,1061.11,131.87,390.86,323.04,14.79,1544.38,393.38,78.07,698.56,1475.24,40.59
502.50,289.75,44.29,0.30,57.50,0.00,1466.02,1345.60,31.37,1299.76,1022.96,131.84,385.93,290.75,10.93,1543.79,353.30,72.21,622.87,1475.24,41.52
530.50,267.48,56.07,0.30,63.93,0.00,1455.18,1259.04,30.46,1299.76,923.83,131.70,382.46,284.67,14.67,1609.04,385.14,78.07,653.39,1475.24,38.72
560.50,192.29,68.90,0.30,62.15,0.00,1436.79,1229.57,26.67,1320.88,902.51,131.70,334.29,279.57,13.92,1619.48,355.71,78.07,608.83,1475.24,39.02
592.00,175.41,60.69,0.30,60.92,0.00,1371.84,1199.82,24.41,1324.30,900.65,131.32,293.28,312.72,14.07,1568.75,404.70,78.07,619.01,1475.24,35.66
622.00,149.80,53.67,0.30,60.47,0.00,1282.77,1201.04,24.41,1292.44,897.72,129.97,318.20,300.32,13.98,1584.13,388.84,78.07,578.01,1475.24,38.55
652.50,107.64,53.83,0.30,70.10,0.00,1280.42,1160.64,24.48,1334.55,885.67,129.97,318.20,301.75,12.92,1577.85,399.10,78.07,593.88,1475.24,39.58
682.50,84.57,65.13,0.30,64.62,0.00,1185.53,1176.09,24.48,1316.12,823.21,130.92,303.48,332.68,16.91,1653.77,401.77,78.07,596.99,1475.24,34.73
712.00,82.19,46.47,0.30,56.36,0.00,1128.47,1104.60,27.83,1316.12,859.19,131.48,315.43,293.89,13.92,1551.23,398.72,78.07,574.65,1475.24,40.47
741.00,87.47,57.77,0.30,81.21,0.00,1078.66,1119.79,24.48,1270.47,867.02,130.80,317.08,306.52,13.34,1596.07,398.73,78.07,589.15,1475.24,37.11
771.00,55.66,55.58,0.30,86.03,0.00,1075.15,1128.58,24.48,1271.81,876.97,130.80,336.31,296.63,14.73,1617.15,377.84,78.07,588.08,1475.24,39.56
801.50,75.10,54.91,0.30,85.00,0.00,1031.43,1094.03,24.48,1271.81,835.16,135.05,324.64,306.50,13.79,1610.92,385.58,78.07,597.85,1475.24,37.13
832.00,52.27,42.33,0.30,63.85,0.00,1015.09,1065.10,24.48,1271.81,830.03,137.58,329.29,291.95,13.92,1659.42,431.59,78.07,597.85,1475.24,39.35
862.50,65.22,42.25,0.30,54.44,0.00,995.19,1077.63,24.54,1275.35,836.94,136.29,329.75,322.09,13.92,1709.86,401.18,78.07,617.23,1475.24,36.76
891.00,65.89,41.54,0.30,74.42,0.00,1071.31,1085.98,24.54,1275.35,843.98,136.29,340.89,313.20,13.92,1716.87,423.83,84.05,608.38,1475.24,37.11
921.00,50.02,53.18,0.30,67.76,0.00,1089.41,1051.60,30.33,1243.00,962.79,136.29,316.01,295.87,13.12,1694.20,431.39,78.07,611.07,1475.24,39.48
952.50,54.20,32.42,0.30,78.62,0.00,1123.37,1096.57,28.50,1249.71,938.71,140.18,324.33,283.90,16.91,1657.22,425.34,82.05,616.04,1475.24,37.59
982.00,54.93,32.27,0.30,76.18,0.00,1238.07,1112.38,27.49,1252.46,956.92,138.98,309.15,313.64,13.92,1611.41,412.87,82.05,632.64,1475.24,38.71
