Time,Loop 214,Loop 209,Loop 208,Loop 207,Loop 307,Loop 305,Loop 304,Loop 302,Loop 301,Loop 202
s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
0.00,8.51,7.53,5.76,8.31,8.23,11.66,3.05,-1.95,4.64,5.38
8.00,7.20,6.79,5.94,7.68,11.38,16.42,-0.72,-3.96,2.34,1.36
30.50,5.22,4.84,4.12,9.18,10.27,19.64,-1.88,-2.93,2.10,0.42
60.50,5.09,4.38,4.81,10.27,11.08,20.90,-2.34,-1.69,1.72,-0.50
90.50,5.50,5.14,4.97,12.20,12.41,22.80,-1.80,0.53,3.23,0.18
120.50,6.05,7.08,8.86,14.92,13.23,23.52,-0.46,2.71,5.64,1.59
150.50,-19.16,16.24,21.17,35.42,37.66,52.33,10.89,17.04,12.92,4.86
180.50,-77.09,13.06,19.56,42.03,49.61,79.20,37.33,48.44,42.87,50.61
210.50,-104.65,-12.55,6.60,39.78,49.43,81.97,40.81,46.77,48.10,62.23
240.50,-111.59,-16.35,2.95,34.87,42.98,77.38,35.84,41.07,45.25,53.09
270.50,-110.27,-18.39,0.31,30.11,39.03,71.97,30.63,13.83,38.22,50.61
300.50,-111.08,-23.95,-5.35,27.23,37.20,67.86,26.52,6.57,36.48,48.84
330.50,-113.07,-23.15,-7.41,26.21,33.48,65.42,24.90,2.33,35.28,46.61
360.50,-112.31,-24.83,-7.20,26.75,34.84,67.11,24.19,0.04,34.55,47.18
390.50,-109.34,-21.62,-3.14,28.57,36.08,72.04,25.45,5.22,36.72,48.41
420.50,-105.43,-18.85,-1.73,30.48,38.21,73.32,27.67,4.71,34.03,51.05
450.50,-110.50,-16.27,1.74,35.80,41.26,77.36,29.59,11.50,39.88,52.75
480.50,-105.85,-14.68,3.20,40.32,45.25,79.61,31.90,13.15,41.36,52.75
510.50,-101.68,-11.92,4.77,41.81,46.61,82.23,34.22,16.48,43.13,54.49
540.50,-104.17,-10.71,5.73,41.88,47.76,82.54,35.14,19.37,44.70,56.76
570.50,-100.32,-11.18,6.02,45.88,48.20,84.78,35.32,17.82,43.27,58.21
600.50,-102.14,-11.32,6.53,44.01,48.93,84.23,36.68,16.55,45.22,54.48
630.50,-101.70,-11.40,6.32,44.27,49.20,85.41,33.35,4.65,42.40,55.62
660.00,-100.03,-9.87,5.64,44.19,50.47,88.73,34.61,9.14,43.22,55.78
690.00,-99.91,-10.60,6.10,44.05,48.21,84.61,34.97,4.92,44.65,55.34
720.50,-99.24,-10.99,5.38,44.02,50.65,84.06,34.36,2.91,43.56,56.86
750.50,-100.01,-10.70,5.67,43.80,50.42,83.15,33.63,4.08,43.76,54.88
780.50,-102.27,-11.05,6.29,42.95,48.98,84.04,34.06,2.43,43.55,57.74
810.50,-104.73,-11.04,6.84,42.72,49.42,83.95,33.34,12.77,42.33,54.86
