Time,South Central Fans,North Central Fans
s,C,C
0.00,20.26,20.42
11.50,20.26,20.42
37.50,20.26,20.42
67.50,20.26,20.42
97.50,20.26,20.42
127.50,20.26,20.42
157.00,20.92,20.42
186.00,20.92,21.71
215.50,20.92,24.78
245.50,20.81,25.01
275.50,20.81,25.14
306.50,20.81,25.14
337.50,20.81,25.14
367.50,20.81,25.25
397.50,20.81,25.25
427.50,20.81,25.25
457.50,20.64,25.25
487.50,20.64,25.36
517.50,20.64,25.48
547.50,20.64,25.71
577.50,20.64,25.82
607.50,20.64,26.18
637.50,20.64,26.41
667.50,20.64,26.41
697.50,20.64,26.68
727.50,20.64,27.54
757.50,20.64,27.65
787.50,20.64,27.87
817.50,20.64,27.99
847.50,20.64,28.10
877.50,20.64,28.21
907.50,20.64,28.21
936.50,20.64,28.32
965.50,20.64,28.43
995.50,20.64,28.76
1026.50,20.64,28.87
1057.00,20.64,29.08
1086.50,20.64,29.30
1116.50,20.64,29.30
1145.50,21.14,29.52
1175.50,21.31,29.63
1206.50,21.42,29.63
1236.00,21.42,29.63
1266.00,21.53,29.74
1296.00,21.53,29.74
1326.00,21.53,30.41
1356.00,21.53,30.52
1386.00,21.53,30.75
1415.50,21.53,30.75
1445.50,21.53,30.86
1476.50,21.53,30.86
1506.00,21.53,30.97
1536.00,21.53,30.97
1566.50,21.53,31.18
1596.50,21.53,31.18
1626.50,21.53,31.29
1656.50,21.53,31.73
1686.50,21.53,31.73
1716.50,21.53,31.95
1746.50,21.53,32.06
1776.50,21.53,32.06
1806.50,21.53,32.16
1836.50,21.53,32.16
1866.50,21.53,32.16
1896.50,21.53,32.28
1926.50,21.65,32.39
1956.50,21.65,32.73
1986.50,21.65,32.95
2016.00,21.65,32.95
2046.00,21.65,33.06
2076.50,21.65,33.27
2106.50,21.42,33.27
2136.50,21.65,33.50
2166.50,21.65,33.50
2196.50,21.65,33.36
2226.50,21.58,33.36
2255.50,20.34,33.36
2284.50,20.54,33.47
2315.50,20.54,33.81
2346.50,20.54,33.92
2376.50,20.54,33.92
2406.50,20.54,34.04
2436.50,20.54,34.04
