Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,714.79,737.36
2.50,9065.71,9351.79
19.50,29838.52,30780.17
49.50,52096.90,53740.90
79.50,53831.71,55098.25
109.50,47922.92,49435.20
139.50,17257.27,17801.97
169.00,8527.78,9126.62
199.00,22270.59,23694.89
229.50,36559.58,39957.00
258.50,51359.65,56223.51
287.00,51857.78,56534.26
317.50,50262.36,55083.48
348.00,48578.37,53201.55
377.50,44362.70,48775.67
407.50,36575.53,41085.47
437.50,35993.64,40495.49
467.50,12429.95,14974.24
498.00,9605.30,10843.89
529.00,32469.57,36802.16
559.50,23120.76,26101.91
589.50,20155.76,22679.37
619.50,19604.41,22115.56
648.00,47792.74,53773.94
678.00,45229.96,50652.47
709.50,33658.05,37399.73
739.50,57266.99,63772.87
769.50,57054.83,63870.18
799.50,22136.13,24578.13
829.00,50137.57,55286.14
859.00,55149.78,60530.71
889.50,39681.72,44181.31
919.50,-153472.63,-168559.05
949.50,-57842.80,-63641.14
978.00,19670.68,21736.61
1008.00,31577.64,35057.63
1039.50,36525.77,40189.21
1069.50,11386.76,11833.46
1099.50,31836.14,35418.54
1128.00,40711.35,45175.02
1158.00,41252.28,45978.52
1189.50,48753.24,53758.13
1219.50,40073.91,44831.04
1249.50,26399.23,29290.22
1279.50,13207.54,14798.64
1309.50,13395.34,14946.27
1339.50,10259.84,11528.10
1369.50,10389.42,11850.22
1399.50,16885.41,19341.32
1429.50,20869.58,23503.61
1459.50,11662.65,12485.66
1489.50,5932.27,6789.82
1519.50,9325.97,10280.16
1549.50,22285.06,25295.68
1579.50,8700.94,9829.10
1609.50,6216.44,6716.76
1639.50,4317.35,4844.58
1669.50,3024.11,4330.56
1699.50,2533.59,3406.04
1729.50,2547.99,2880.75
1758.50,2539.09,3210.47
1787.50,2587.26,2960.80
1818.50,2012.83,2796.61
1849.50,383.09,566.16
1879.00,1692.73,2515.94
