Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2,
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.30,0.30,82.32,0.30,0.08,189.47,8.79,214.74,105.39,36.62,0.30,137.79,10.25,0.30,53.88,47.30,53.22,436.06,0.00,0.00
5.00,0.30,0.30,59.18,0.30,0.08,140.56,10.32,214.74,109.12,34.67,0.30,177.11,10.01,0.30,48.68,51.21,49.47,437.51,0.00,0.00
24.50,0.30,0.30,89.97,0.30,0.00,166.32,0.43,214.74,112.08,34.67,0.30,157.03,8.12,0.30,39.98,47.55,63.50,426.13,0.00,0.00
54.50,0.30,0.30,71.11,0.30,0.14,131.74,8.18,224.31,116.88,39.12,0.30,155.34,7.39,0.30,45.40,51.21,87.84,431.02,0.00,0.00
84.50,0.30,0.30,73.80,0.30,0.07,179.99,9.22,224.31,154.47,38.27,0.30,178.07,9.30,0.30,53.13,51.21,77.67,460.21,0.00,0.00
114.50,0.30,0.30,81.82,0.30,0.25,141.46,9.22,224.31,844.99,40.87,0.30,192.69,6.35,0.30,47.30,45.81,90.43,445.26,0.00,0.00
144.50,0.30,0.30,60.22,0.30,0.16,142.74,8.36,259.10,1661.28,37.34,0.30,168.50,6.73,25.94,43.17,45.81,91.68,461.56,0.00,0.00
174.50,0.30,0.30,65.08,0.30,0.37,259.59,50.38,364.49,1752.99,37.69,0.30,151.40,9.70,25.94,53.10,52.92,126.48,455.46,0.00,0.00
204.50,0.30,0.30,60.73,0.30,0.00,493.34,79.71,473.33,1849.92,40.01,0.30,155.88,7.28,25.94,35.20,47.18,117.89,454.35,0.00,0.00
234.50,530.40,0.30,96.62,495.43,75.90,843.43,108.27,560.92,2035.53,46.13,0.30,174.66,10.32,25.94,48.98,50.43,133.11,463.42,0.00,0.00
264.50,1319.47,0.30,524.75,669.30,114.41,1483.48,113.04,651.56,2080.23,44.43,0.30,140.42,9.28,25.94,41.50,50.43,147.34,487.29,0.00,0.00
294.50,1526.68,0.30,1410.78,599.76,93.36,1972.58,124.27,631.72,2025.13,47.85,0.30,172.43,9.30,25.94,38.45,50.43,145.02,453.52,0.00,0.00
324.50,1234.45,0.30,1873.62,561.84,83.78,2228.21,89.56,476.84,1982.90,64.25,0.30,166.50,6.65,25.94,41.20,48.28,90.27,456.02,0.00,0.00
354.50,1161.75,0.30,1476.32,500.19,66.88,1662.62,58.00,476.84,1933.27,61.52,0.30,183.47,8.27,25.94,32.12,48.28,58.64,459.01,0.00,0.00
