Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2,
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.30,0.30,810.54,0.00,0.00,138.94,0.00,0.30,124.54,19.92,204.57,332.12,0.00,270.33,238.83,23.21,95.72,177.58,13.75,0.00
11.50,0.30,0.30,844.59,0.00,0.00,163.95,0.00,0.30,186.79,19.27,204.57,333.10,0.00,296.94,236.25,23.83,211.64,201.42,13.55,0.00
37.50,0.30,0.30,858.56,0.00,0.00,176.58,0.00,0.30,150.18,19.84,209.81,372.83,0.00,263.07,253.10,24.69,60.12,193.24,11.37,0.00
67.50,0.30,0.30,822.35,0.00,0.00,196.19,0.00,0.30,166.12,19.92,205.20,331.56,0.00,259.54,240.73,24.69,667.94,188.52,12.63,0.00
97.50,0.30,0.30,846.06,0.00,0.00,138.65,0.00,0.30,194.52,19.04,231.22,372.67,0.00,281.50,231.69,24.48,206.61,200.30,15.34,0.00
127.00,0.30,0.30,838.47,0.00,0.00,195.96,0.00,0.30,169.37,17.72,163.27,415.96,0.00,268.94,201.72,23.43,298.31,228.93,15.50,0.00
157.00,0.30,0.30,830.19,0.00,0.00,193.26,0.00,0.30,179.20,21.79,215.30,986.09,0.00,269.70,291.45,24.82,67.14,216.79,15.75,0.00
187.50,0.30,0.30,860.17,0.00,0.00,157.11,0.00,0.30,1642.61,20.81,271.53,1821.99,0.00,377.39,597.90,25.78,388.68,214.18,15.81,0.00
217.50,0.30,0.30,848.31,0.00,0.00,529.42,0.00,0.30,2043.11,23.74,609.52,2390.87,0.00,1069.12,652.55,24.23,77.36,200.38,12.51,0.00
247.50,0.30,0.30,833.97,0.00,0.00,898.57,0.00,0.30,2015.54,43.97,871.29,2631.57,0.00,1559.41,487.83,24.06,277.82,196.31,16.42,0.00
