Time,CT214J3,CT214F2,CT209J3,CT209F2,CT209C2,CT207J3,CT207C2,CT307J3,CT307F2,CT307C2,CT302J3,CT302F2,CT302C2,CT301J3,CT301F2,CT301C2,CT202J3,CT202F2,CT202C2,
s,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
0.00,0.30,0.30,0.30,0.30,3.61,0.30,9.26,0.30,0.30,24.23,0.30,133.47,8.12,0.30,0.30,59.47,0.30,0.30,19.17,0.00
7.50,0.30,0.30,0.30,0.30,3.93,0.30,9.34,0.30,0.30,24.23,0.30,155.60,8.12,0.30,0.30,60.80,0.30,0.30,20.08,0.00
29.50,0.30,0.30,0.30,0.30,4.35,0.30,9.03,0.30,0.30,24.23,0.30,144.30,8.12,0.30,0.30,60.19,0.30,0.30,18.15,0.00
59.50,0.30,0.30,0.30,0.30,4.34,0.30,10.44,0.30,0.30,24.23,0.30,157.30,5.07,0.30,0.30,61.88,0.30,0.30,16.22,0.00
89.50,0.30,0.30,0.30,0.30,5.06,0.30,9.99,0.30,0.30,24.23,0.30,149.78,10.93,0.30,0.30,65.41,0.30,0.30,16.26,0.00
119.50,0.30,0.30,0.30,0.30,5.56,0.30,9.70,0.30,0.30,24.23,0.30,156.01,10.93,0.30,0.30,63.42,0.30,0.30,17.50,0.00
149.50,0.30,0.30,0.30,0.30,4.16,0.30,10.29,0.30,0.30,24.23,0.30,144.87,10.93,0.30,0.30,67.44,0.30,0.30,16.17,0.00
179.50,0.30,0.30,0.30,0.30,3.63,16.78,32.20,0.30,445.26,24.23,0.30,139.82,10.93,119.78,0.30,63.29,0.30,0.30,16.61,0.00
209.50,0.30,0.30,0.30,0.30,4.99,16.78,10.93,0.30,1039.03,24.23,0.30,163.88,10.93,366.44,0.30,60.55,0.30,0.30,18.13,0.00
238.00,0.30,0.30,0.30,0.30,5.15,39.37,10.93,0.30,1179.67,24.23,90.03,120.65,10.93,627.43,0.30,60.55,0.30,0.30,22.05,0.00
268.00,0.30,0.30,0.30,0.30,6.04,337.22,14.59,0.30,1163.09,24.23,159.61,101.96,10.93,759.52,0.30,67.24,0.30,0.30,22.05,0.00
298.00,0.30,0.30,0.30,0.30,4.64,755.04,48.31,0.30,1189.57,29.85,213.93,145.68,10.93,671.00,0.30,64.72,0.30,0.30,20.18,0.00
327.00,0.30,0.30,109.86,0.30,3.99,1117.97,70.98,66.22,1151.45,33.94,192.57,155.70,10.93,711.43,0.30,65.39,0.30,0.30,17.76,0.00
356.50,0.30,0.30,61.04,0.30,5.16,1289.29,88.25,112.61,1217.87,36.93,145.94,121.66,10.93,910.26,0.30,66.06,0.30,0.30,18.15,0.00
