Time,Based On Efficiency,Raw (Calculated)
s,kW,kW
0.00,-927.57,-953.01
3.50,170.44,38.17
21.00,1949.04,2330.76
50.50,5847.44,6618.61
81.00,10795.43,11097.56
111.50,18556.12,19509.03
140.50,19807.31,24934.89
169.00,17982.52,23453.91
198.00,17277.44,20419.38
228.00,14523.72,17357.40
258.50,12478.23,15921.69
288.50,13964.93,15794.45
318.00,15906.73,17468.94
348.50,17687.56,20112.07
380.00,18740.67,21752.32
410.50,19530.49,21017.88
440.50,19363.10,21496.61
471.00,19363.10,20426.50
501.00,19009.76,19990.71
530.00,18492.92,21098.55
560.00,18878.10,20728.61
590.50,18994.12,20728.61
620.50,19612.35,20697.74
650.50,18507.36,21543.05
679.50,19248.21,20797.75
709.50,18074.77,20797.75
740.50,17363.51,21607.09
770.50,18012.26,21204.78
800.50,21494.33,28424.14
830.50,25197.77,27938.52
860.50,24171.80,27030.85
890.00,25626.97,31895.60
920.00,28518.78,33927.14
950.50,27061.99,31865.19
980.50,23235.82,27085.21
1010.50,20274.50,21872.40
1040.50,19183.97,21182.91
1070.50,16939.96,18547.60
1099.50,16313.90,17097.90
1129.50,15882.05,18812.21
1160.50,17999.90,20798.62
1190.50,18564.37,19680.93
1220.50,19885.10,20138.99
1250.50,18400.93,18723.25
1280.50,16861.44,18977.84
1310.50,15587.68,17456.57
1340.50,17908.00,18139.50
1370.50,19431.08,17821.74
1400.50,22502.86,18829.96
1430.50,21520.09,21662.79
1460.50,21719.33,22683.86
1490.50,20158.83,20893.27
1520.50,14452.75,18998.01
1550.50,14190.81,15454.21
1580.00,14330.55,16597.55
1610.00,13282.30,19323.39
1640.50,20301.21,15952.48
1670.50,20926.65,21331.88
1700.50,20828.92,22199.56
1730.50,21565.19,20856.76
1760.50,19173.45,21918.94
1790.50,18186.14,23835.63
1820.50,16625.35,26381.47
1850.50,18273.87,23593.07
1879.50,18090.85,23923.16
1909.00,19680.27,23377.52
1940.00,17997.89,26769.44
1970.50,17194.78,28285.23
2000.50,20613.18,23869.35
2030.50,22432.29,21420.61
2060.50,23967.23,22737.74
2090.50,15944.18,21853.84
2120.50,5015.88,6517.13
2149.00,1120.19,1438.86
2179.00,335.57,357.75
2210.50,335.57,357.75
2240.50,335.57,357.75
2270.50,335.57,357.75
2300.50,335.57,357.75
2330.50,335.57,357.75
2360.50,335.57,357.75
2390.50,335.57,357.75
2420.50,335.57,357.75
