Time,South Central Fans,North Central Fans
s,C,C
1.00,18.09,19.34
20.00,18.09,19.34
52.50,18.09,19.34
82.50,18.09,19.34
112.50,18.09,19.34
142.50,18.09,19.34
167.00,18.09,19.34
192.50,18.09,21.43
225.00,18.09,24.76
259.50,18.09,24.73
289.50,17.86,24.90
319.50,17.33,24.84
349.50,17.33,24.84
379.50,17.33,24.84
409.50,17.33,24.84
439.50,17.33,24.95
469.50,17.33,25.29
499.50,17.33,25.40
529.50,17.33,25.68
559.50,17.33,25.85
589.50,17.33,26.04
619.50,17.33,26.62
649.50,17.33,26.62
679.50,17.33,26.62
709.50,17.45,26.74
739.50,18.12,27.02
767.50,18.12,27.23
797.50,18.12,27.23
829.50,18.12,27.23
859.50,18.12,27.56
889.50,18.12,27.89
919.50,18.12,28.12
946.50,18.22,28.23
976.50,18.22,28.23
1009.50,18.22,28.33
1038.00,18.22,28.44
1066.50,18.22,28.55
1097.00,18.33,28.78
1127.50,18.33,28.78
1156.50,19.47,28.89
1187.50,19.59,28.89
1219.00,19.59,28.89
1248.50,19.70,28.89
1279.00,19.70,29.00
1309.50,19.70,29.56
1339.50,19.80,29.73
1369.50,19.80,29.84
1398.50,20.14,30.13
1428.50,20.14,30.24
1459.50,20.14,30.24
1489.50,20.14,30.43
1519.50,20.14,30.56
1549.50,20.14,30.79
1579.50,20.14,30.79
1609.50,20.14,30.82
1638.50,20.14,30.81
1668.50,20.14,30.81
1699.50,20.14,30.87
1729.50,20.14,31.09
1759.50,20.14,31.31
1789.50,20.14,31.42
1819.50,20.14,31.53
1849.50,20.14,31.53
1879.50,20.14,31.53
1909.50,20.14,31.53
1938.50,20.14,31.63
1968.50,20.14,31.79
1999.50,20.26,32.14
2029.50,20.26,32.32
2059.50,20.26,32.38
2089.50,20.26,32.43
2119.00,20.49,32.48
2149.00,20.49,32.48
2179.00,20.49,32.48
2207.00,20.71,32.48
2237.50,20.71,32.48
2269.50,20.71,32.48
2299.50,20.71,32.59
2329.50,20.71,32.92
2359.50,20.71,33.04
2389.50,20.71,32.42
2417.50,20.71,31.40
2447.00,20.71,30.62
2478.50,20.71,29.74
2509.00,20.71,28.87
2537.00,20.71,28.43
2567.00,20.71,27.88
2599.50,20.71,27.66
2629.50,20.71,27.33
2659.50,20.71,27.11
