Time,202-T-A2,202-T-B2,202-T-C2,202-T-D2,202-T-E2,202-T-F2,202-T-G2,301-T-A2,301-T-B2,301-T-C2,301-T-D2,301-T-E2,301-T-F2,301-T-G2,301-T-H2,302-T-A2,302-T-B2,302-T-C2,302-T-D2,302-T-E2,302-T-F2,302-T-G2,302-T-H2,303-T-A2,303-T-B2,303-T-C2,303-T-D2,303-T-E2,303-T-F2,303-T-G2,303-T-H2,304-T-A2,304-T-B2,304-T-C2,304-T-D2,304-T-E2,304-T-F2,304-T-G2,304-T-H2,205-T-A2,205-T-B2,205-T-C2,205-T-D2,205-T-E2,205-T-F2,205-T-G2,205-T-H2,305-T-A2,305-T-B2,305-T-C2,305-T-D2,305-T-E2,305-T-F2,305-T-G2,305-T-H2,306-T-A2,306-T-B2,306-T-C2,306-T-D2,306-T-E2,306-T-F2,306-T-G2,306-T-H2,307-T-A2,307-T-B2,307-T-C2,307-T-D2,307-T-E2,307-T-F2,307-T-G2,307-T-H2,207-T-A2,207-T-B2,207-T-C2,207-T-D2,207-T-E2,207-T-F2,207-T-G2,207-T-H2,208-T-A2,208-T-B2,208-T-C2,208-T-D2,208-T-E2,208-T-F2,208-T-G2,208-T-H2,209-T-A2,209-T-B2,209-T-C2,209-T-D2,209-T-E2,209-T-F2,209-T-G2,209-T-H2,211-T-A2,211-T-B2,211-T-C2,211-T-D2,211-T-E2,211-T-F2,211-T-G2,211-T-H2,213-T-A2,213-T-B2,213-T-C2,213-T-D2,213-T-E2,213-T-F2,213-T-G2,213-T-H2,214-T-A2,214-T-B2,214-T-C2,214-T-D2,214-T-E2,214-T-F2,214-T-G2
s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0.0,5,5,6,5,5,5,5,7,7,7,7,8,7,9,11,7,7,7,7,9,9,10,12,7,8,8,8,9,10,12,13,11,9,11,10,10,13,16,20,21,22,19,15,15,18,22,28,9,10,10,12,16,19,23,28,9,9,9,9,11,13,17,19,9,9,9,10,10,11,12,13,9,9,9,9,10,10,12,13,9,10,10,10,10,12,12,13,10,11,11,11,11,11,11,12,10,10,10,11,11,11,12,12,11,11,11,11,12,12,12,11,10,11,33,11,11,12,12
2.5,5,5,6,4,5,5,5,7,7,7,7,8,7,9,11,7,7,7,7,9,9,10,12,7,8,8,10,11,12,36,51,12,11,13,13,13,29,50,76,49,79,112,73,42,45,52,70,13,14,14,17,40,44,53,86,9,10,9,11,20,35,52,53,9,9,9,12,16,24,26,33,9,9,9,9,10,10,12,13,9,10,10,10,10,12,12,13,10,11,11,11,11,11,11,12,10,10,10,11,11,11,12,12,11,11,11,11,12,12,12,11,10,11,33,11,11,12,12
19.5,5,5,6,4,5,5,5,7,7,7,7,8,7,9,11,7,7,7,7,9,10,27,43,9,9,10,11,14,34,100,116,15,16,17,18,21,94,132,165,112,195,367,230,123,106,116,146,19,22,24,29,83,85,111,195,11,12,12,12,45,93,137,135,9,11,11,14,33,71,63,104,9,9,9,12,25,44,47,66,9,10,10,10,10,12,12,13,10,11,11,11,11,11,11,12,10,10,10,11,11,11,12,12,11,11,11,11,12,12,12,11,10,11,32,11,11,12,12
50.0,5,5,6,4,5,5,5,7,7,7,7,8,7,10,16,7,7,7,9,10,13,54,74,9,11,10,13,17,76,145,155,18,20,20,23,35,145,180,214,172,325,477,292,178,175,187,222,25,27,32,44,97,101,150,261,11,13,14,15,68,134,190,197,12,12,11,16,54,115,98,158,9,11,9,18,42,86,97,122,9,10,10,15,26,43,51,56,10,11,11,11,11,11,11,12,10,10,10,11,11,11,12,12,11,11,11,11,12,12,12,11,10,11,32,11,11,12,12
80.5,5,5,6,4,5,5,5,7,7,7,7,8,7,10,24,7,7,7,9,10,13,63,83,9,11,10,13,17,91,156,169,20,20,20,23,46,154,199,225,218,475,415,266,195,213,234,259,25,31,36,57,121,126,177,292,13,15,16,24,82,170,217,222,12,14,13,25,70,140,115,185,9,11,12,28,51,107,126,149,9,10,12,20,36,71,82,88,10,11,11,15,32,36,46,50,10,10,10,11,11,11,12,12,11,11,11,11,12,12,12,11,10,11,32,11,11,12,12
110.5,5,5,6,4,5,5,5,7,7,7,7,8,7,10,24,7,7,7,9,10,13,63,79,9,11,10,13,17,89,154,170,18,20,20,23,48,157,201,225,250,514,380,250,203,230,253,276,28,31,35,65,142,141,187,278,13,15,16,34,100,183,220,224,12,14,13,41,80,151,119,187,9,11,12,39,63,121,140,156,9,10,14,22,38,80,99,102,10,11,16,20,43,53,66,70,10,10,10,12,21,24,29,31,11,11,11,11,12,12,12,11,10,11,32,11,11,12,12
139.5,5,5,6,4,5,5,5,7,7,7,7,8,7,13,23,7,7,9,9,10,15,71,87,9,11,12,13,20,103,166,179,21,21,22,26,58,168,211,231,267,486,433,303,233,251,271,294,28,29,33,61,137,154,194,282,13,15,16,35,102,179,215,222,13,14,13,36,85,154,120,188,9,11,12,44,70,124,143,155,9,11,14,26,44,86,105,107,23,25,32,30,47,61,72,74,10,10,14,19,33,40,46,47,11,11,11,11,12,12,12,11,10,11,32,11,11,12,12
169.0,5,5,6,5,5,5,7,7,7,7,9,8,27,48,64,8,8,9,10,36,78,118,137,10,12,18,30,79,153,197,210,27,28,32,46,127,196,229,273,225,336,323,276,219,265,300,308,23,23,28,32,73,162,189,269,13,15,16,22,66,138,188,201,13,17,27,31,77,129,106,165,36,39,47,58,74,101,120,127,24,30,36,42,49,66,78,81,34,36,38,32,40,45,49,47,10,12,17,23,31,35,36,38,11,11,11,11,12,12,12,11,8,8,28,8,8,8,8
199.5,5,5,6,7,10,20,15,8,8,10,24,33,90,126,142,11,13,23,40,95,149,176,190,26,33,53,94,150,195,235,259,39,46,67,126,200,247,301,367,156,216,185,187,167,244,308,320,22,25,35,44,56,137,184,276,19,25,33,43,56,94,158,192,23,28,46,50,64,85,86,139,40,41,43,44,48,49,60,53,31,35,37,36,37,39,46,42,26,27,26,25,24,24,23,22,10,11,13,19,24,27,29,30,10,10,10,11,12,12,12,11,6,8,28,8,8,8,8
